Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-8.70575,1.32599,-592.971,-215158,4905.53,5859.56,58.2728,441.463,7.86,2.38556,2.94953,-160.463,-643.889,-1698.49,1676.1,85.4151,789.013,-478
1,1,-9.01092,4.37775,-592.36,-215433,5088.64,5310.24,58.5904,442.301,7.86,4.21662,-1.93329,-154.97,-552.336,2970.7,2088.09,115.17,788.564,-478
1,2,-9.92645,1.02082,-592.971,-212412,6187.27,4760.92,60.4344,436.831,7.86,2.99591,-1.32294,-161.074,-735.442,-2522.46,3049.39,80.3397,789.566,-478
1,3,-10.2316,0.105289,-589.308,-214060,4630.87,3799.62,57.8582,441.854,7.86,3.30109,-1.93329,-160.463,-369.231,-874.511,1676.1,90.5501,787.301,-478
1,4,-11.1472,-0.199887,-592.36,-213785,4813.98,5447.57,58.1268,439.519,7.86,3.60626,4.4754,-160.463,-460.784,-2797.12,1950.76,78.5685,787.872,-478
1,5,-5.95916,3.46222,-593.581,-214060,4997.08,5584.9,58.4185,439.239,7.86,6.35285,-0.102233,-151.308,-460.784,-1698.49,714.796,84.7747,788.045,-478
1,6,-9.62127,0.410465,-592.36,-209665,5180.19,5310.24,58.745,432.564,7.86,3.91144,0.813295,-159.853,180.085,-2797.12,1950.76,78.5019,783.873,-478
1,7,-7.48504,-0.505063,-591.14,-215433,5271.74,5035.58,58.9179,443.052,7.86,3.91144,0.202943,-156.801,-552.336,-1973.14,1950.76,83.4163,788.523,-478
1,8,-9.92645,-0.199887,-591.75,-214884,4813.98,5310.24,58.1352,441.747,7.86,3.91144,0.202943,-162.905,-186.126,-2247.8,1813.43,82.2017,786.143,-478
1,9,-5.04364,0.410464,-592.36,-215158,4630.87,5996.89,57.8177,441.837,7.86,6.9632,-1.01776,-158.632,-1010.1,-2247.8,1676.1,81.8301,791.368,-478
2,0,-10.842,0.715641,-588.088,-214609,4905.53,4760.92,58.3415,443.542,7.86,3.60626,0.508119,-160.463,-277.678,-2797.12,2088.09,78.5685,786.731,-478
2,1,-10.842,-0.199887,-592.971,-212961,5088.64,4760.92,58.5816,437.758,7.86,5.13214,0.813295,-159.243,-186.126,-1973.14,2362.75,83.6092,786.169,-478
2,2,-9.92645,-0.505063,-591.14,-214884,4813.98,5584.9,58.1436,442.122,7.86,-0.666197,1.11847,-156.801,-3.02007,-874.511,2500.07,90.4228,785.019,-478
2,3,-9.3161,0.410464,-596.022,-216257,4722.43,5035.58,57.9232,441.448,7.86,3.91144,-1.32294,-156.191,-1559.42,773.439,2225.42,100.952,794.984,-478
2,4,-9.62127,-0.810239,-590.529,-215158,5912.61,5172.91,60.0124,442.963,7.86,2.99591,0.813295,-161.074,-94.5728,-1973.14,2500.07,83.7501,785.587,-478
2,5,-9.92645,0.71564,-592.971,-214060,5088.64,5859.56,58.5816,439.61,7.86,3.60626,0.813295,-159.853,-552.336,-1423.83,2088.09,87.0929,788.455,-478
2,6,-8.70575,0.410464,-591.75,-215158,4813.98,6408.87,58.1352,442.212,7.86,2.08039,4.78058,-160.463,-460.784,-1973.14,2362.75,83.7035,787.872,-478
2,7,-9.3161,3.7674,-594.191,-216257,4630.87,5310.24,57.7936,442.567,7.86,3.60626,-0.712584,-156.801,-552.336,3245.36,2088.09,116.697,788.523,-478
2,8,-9.92645,1.02082,-591.75,-212137,6278.82,5310.24,60.6106,437.106,7.86,2.38556,-0.102233,-161.074,-735.442,-2247.8,3049.39,82.0449,789.566,-478
2,9,-9.3161,0.105289,-589.919,-215158,4905.53,4623.6,58.3156,443.34,7.86,3.91144,-2.84881,-161.074,-643.889,498.78,1264.11,99.0966,788.998,-478
3,0,-10.2316,0.71564,-593.581,-214609,4905.53,5447.57,58.2643,440.165,7.86,4.21662,1.42365,-161.074,-369.231,-1973.14,2088.09,83.7501,787.292,-478
3,1,-6.56952,2.85187,-593.581,-215433,5088.64,5310.24,58.5728,441.553,7.86,5.43732,-0.407408,-151.308,-552.336,-1973.14,852.125,82.9594,788.65,-478
3,2,-9.62127,0.410465,-591.14,-209390,5180.19,5447.57,58.7631,432.83,7.86,3.60626,-0.102233,-158.632,546.296,-3071.78,1813.43,76.6359,781.556,-478
3,3,-9.62127,-0.505063,-594.191,-215158,5637.95,6408.87,59.4885,440.718,7.86,3.60626,0.813295,-158.632,-369.231,-2797.12,1950.76,78.3673,787.328,-478
3,4,-9.3161,-0.199887,-591.14,-215707,5180.19,4898.25,58.7631,443.516,7.86,4.52179,0.202943,-164.736,-94.5728,-1149.17,2225.42,89.0242,785.574,-478
3,5,-6.56952,0.71564,-593.581,-215158,4630.87,5447.57,57.8016,441.09,7.86,6.35285,-1.01776,-159.243,-2017.18,-2247.8,2362.75,81.8844,797.667,-478
3,6,-9.01092,0.105289,-588.088,-213510,5180.19,4211.61,58.8085,441.673,7.86,4.21662,-0.102233,-161.074,88.5327,-3621.09,1813.43,73.519,784.45,-478
