Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,257.048,416.321,240.431,23.7878,542.334,216.862,-133.707,430.867,239.358,-3.69888,287.778,229.527,251.844,415.427,143.008,200.105,530.763,153.461,-66.2106,541.767,151.065,,,,111.909,577.224,464.78,-12.3442,581.498,513.428,-109.509,557.327,452.534,55.7419,515.447,562.462,69.965,385.541,624.861,70.9205,302.733,491.948,18.9802,275.093,383.254,115.792,280.605,378.943,51.773,574.933,391.369,159.59,514.937,769.657,72.0685,608.59,829.613,-17.7918,511.584,777.315,49.7817,404.832,743.313,67.4294,448.892,859.093
2,0,257.044,416.304,240.414,23.8105,542.321,216.848,-133.693,430.868,239.365,-3.69253,287.765,229.539,251.865,415.432,142.992,200.118,530.755,153.462,-66.2049,541.75,151.041,,,,111.915,577.206,464.743,-12.3426,581.489,513.405,-109.501,557.305,452.511,55.7433,515.438,562.447,69.9707,385.545,624.861,70.9332,302.722,491.949,18.9922,275.076,383.241,115.802,280.579,378.958,51.7866,574.92,391.347,159.606,514.938,769.62,72.1059,608.597,829.601,-17.7624,511.598,777.316,49.7955,404.841,743.311,67.4695,448.902,859.076
3,0,257.048,416.28,240.395,23.8048,542.305,216.826,-133.706,430.854,239.345,-3.68515,287.769,229.493,251.879,415.445,142.983,200.224,530.977,154.027,-66.213,541.742,151.03,,,,111.913,577.202,464.721,-12.346,581.478,513.381,-109.499,557.284,452.493,55.7419,515.426,562.424,69.9711,385.555,624.877,70.9448,302.73,491.971,19.0001,275.057,383.281,115.817,280.581,378.964,51.7903,574.905,391.328,159.638,514.952,769.593,72.1337,608.609,829.594,-17.7448,511.608,777.313,49.8027,404.856,743.306,67.5052,448.91,859.055
4,0,257.059,416.254,240.386,23.8047,542.307,216.82,-133.701,430.863,239.343,-3.69461,287.77,229.486,251.874,415.42,142.982,200.224,530.985,154.015,-66.2084,541.744,151.031,,,,111.904,577.208,464.715,-12.3519,581.479,513.368,-109.503,557.266,452.475,55.7395,515.423,562.403,69.9812,385.571,624.868,70.9612,302.736,491.958,19.0218,275.033,383.314,115.823,280.563,378.981,51.7845,574.902,391.32,159.661,514.958,769.568,72.167,608.623,829.586,-17.7269,511.637,777.318,49.8006,404.866,743.297,67.535,448.923,859.035
5,0,257.062,416.283,240.393,23.8088,542.317,216.814,-133.7,430.835,239.341,-3.69092,287.769,229.522,251.879,415.422,142.986,200.225,531.003,154.012,-66.2073,541.744,151.019,,,,111.894,577.202,464.69,-12.3624,581.472,513.346,-109.516,557.246,452.461,55.7411,515.417,562.402,69.9818,385.588,624.882,70.9546,302.706,492.093,19.0282,275.02,383.331,115.847,280.564,379.014,51.7743,574.892,391.335,159.671,514.975,769.548,72.192,608.646,829.569,-17.6995,511.653,777.315,49.8176,404.878,743.314,67.5592,448.943,859.027
6,0,257.046,416.306,240.395,23.8001,542.334,216.805,-133.713,430.823,239.343,-3.69788,287.768,229.561,251.852,415.412,142.981,200.217,531.023,154.017,-66.2196,541.744,150.993,,,,111.872,577.205,464.669,-12.3856,581.47,513.32,-109.534,557.235,452.439,55.7378,515.418,562.387,69.986,385.608,624.881,70.9474,302.691,492.182,19.0411,275.01,383.34,115.851,280.566,379.015,51.7626,574.875,391.299,159.676,515,769.524,72.2177,608.678,829.545,-17.6807,511.68,777.318,49.8224,404.889,743.316,67.5763,448.969,859.017
7,0,257.035,416.332,240.38,23.7719,542.351,216.783,-133.727,430.806,239.323,-3.70246,287.773,229.509,251.843,415.422,142.971,200.204,531.041,153.986,-66.2324,541.741,150.974,,,,111.849,577.205,464.651,-12.4037,581.48,513.299,-109.567,557.234,452.415,55.7261,515.421,562.369,69.9827,385.626,624.884,70.9404,302.679,492.23,19.0598,275.009,383.342,115.862,280.568,378.994,51.7584,574.851,391.26,159.666,515.028,769.487,72.2452,608.709,829.521,-17.6739,511.714,777.318,49.8192,404.916,743.294,67.5963,449.003,859.006
8,0,257.023,416.36,240.394,23.7519,542.389,216.779,-133.738,430.788,239.324,-3.70625,287.777,229.556,251.809,415.444,142.995,200.191,531.049,153.979,-66.235,541.76,150.979,,,,111.83,577.206,464.635,-12.4293,581.484,513.285,-109.588,557.233,452.407,55.7229,515.409,562.363,69.9744,385.652,624.891,70.9393,302.673,492.315,19.0654,275.003,383.356,115.872,280.577,379,51.7256,574.859,391.26,159.661,515.05,769.456,72.2679,608.744,829.502,-17.6648,511.752,777.331,49.8167,404.952,743.275,67.6041,449.041,859.007
9,0,257.017,416.361,240.367,23.7561,542.424,216.783,-133.732,430.793,239.337,-3.70133,287.779,229.578,251.817,415.444,142.995,200.2,531.074,153.961,-66.2358,541.763,150.95,,,,111.823,577.215,464.618,-12.4332,581.498,513.265,-109.602,557.237,452.389,55.7295,515.419,562.358,69.9695,385.679,624.88,70.929,302.654,492.404,19.069,275.016,383.371,115.881,280.578,379.04,51.72,574.88,391.273,159.649,515.079,769.431,72.3012,608.781,829.482,-17.6477,511.806,777.33,49.8024,404.972,743.291,67.6181,449.086,859.002
