Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-9.92645,-4.47235,-600.905,-208017,3349.13,4898.25,55.5735,424.788,7.86,3.91144,4.78058,-150.087,-186.126,1872.07,1813.43,108.473,786.24,-478
1,1,-11.1472,-6.3034,-603.347,-207468,3532.24,6408.87,55.8544,422.477,7.86,5.43732,3.55988,-144.594,180.085,-325.194,2774.73,93.751,783.755,-478
1,2,-11.1472,-5.69305,-603.957,-209390,2708.26,5996.89,54.4842,425.313,7.86,4.52179,3.86505,-145.815,546.296,224.122,2362.75,97.537,781.254,-478
1,3,-12.0627,-4.77752,-604.567,-207193,2708.26,5172.91,54.4797,421.328,7.86,5.74249,2.034,-147.646,271.638,-325.194,1813.43,93.7975,783.16,-478
1,4,-9.92645,-6.3034,-604.567,-208017,3166.03,5722.23,55.2369,422.691,7.86,3.91144,4.17023,-151.308,88.5327,-2247.8,1950.76,81.1442,784.415,-478
1,5,-9.01092,-5.0827,-603.347,-208566,2525.16,5722.23,54.1853,424.298,7.86,3.60626,5.08576,-147.646,-3.02007,-599.852,302.809,91.9372,785.02,-478
1,6,-11.1472,-4.47235,-600.905,-207193,3257.58,5035.58,55.4211,423.417,7.86,6.04767,4.17023,-147.646,180.085,224.122,2225.42,97.518,783.78,-478
1,7,-10.842,-5.69305,-603.347,-207193,3257.58,5584.9,55.3992,422.021,7.86,4.82697,5.69611,-145.815,546.296,-5818.36,2362.75,56.0976,781.254,-478
1,8,-8.70575,-4.16717,-603.957,-207468,1884.29,5584.9,53.1199,422.129,7.86,4.52179,6.91681,-144.594,546.296,-50.536,165.48,95.6505,781.222,-478
1,9,-9.92645,-5.99823,-601.516,-205545,3166.03,5310.24,55.2634,420.327,7.86,3.91144,5.69611,-145.815,1004.06,-325.194,2362.75,93.7698,778.114,-478
2,0,-10.842,-5.38788,-603.957,-208017,3074.48,5584.9,55.0906,423.039,7.86,1.16486,9.05304,-147.036,637.849,-50.536,1676.1,95.6563,780.662,-478
2,1,-9.92645,-1.72577,-603.957,-208566,2982.92,5310.24,54.939,423.948,7.86,4.52179,4.78058,-145.815,363.191,4893.31,2225.42,129.558,782.509,-478
2,2,-10.2316,-5.99823,-602.736,-205545,4264.66,4074.28,57.0755,419.635,7.86,3.60626,5.39093,-146.425,88.5327,224.122,3049.39,97.5306,784.395,-478
2,3,-8.70575,-6.3034,-603.347,-207742,2982.92,5172.91,54.944,422.932,7.86,4.82697,4.17023,-147.646,88.5327,1322.76,1538.77,104.959,784.4,-478
2,4,-9.92645,-5.0827,-604.567,-207193,2708.26,5722.23,54.4797,421.328,7.86,4.52179,1.42365,-148.867,271.638,-599.852,1676.1,91.9705,783.175,-478
2,5,-8.40057,-7.21893,-602.736,-207742,3257.58,5859.56,55.4047,423.281,7.86,5.74249,2.64435,-147.646,88.5327,-599.852,302.809,91.9372,784.4,-478
2,6,-10.5368,-5.0827,-599.684,-207468,3166.03,5447.57,55.2795,424.577,7.86,4.82697,2.64435,-148.867,820.955,-325.194,2088.09,93.8155,779.485,-478
2,7,-10.5368,-4.47235,-603.347,-207468,2525.16,6271.54,54.1853,422.477,7.86,4.52179,6.91681,-149.477,363.191,498.78,1538.77,99.3368,782.57,-478
2,8,-10.2316,-5.0827,-605.178,-207468,3074.48,5584.9,55.0803,421.436,7.86,3.91144,5.08576,-139.101,180.085,-50.536,1676.1,95.6367,783.705,-478
2,9,-12.3679,-5.38788,-603.347,-204172,3074.47,4760.92,55.0957,417.014,7.86,3.91144,5.08576,-148.867,1370.27,-50.536,3598.71,95.6605,775.795,-478
3,0,-10.842,-5.0827,-606.398,-208292,2982.92,8331.48,54.9191,422.105,7.86,3.91144,4.17023,-147.646,271.638,224.122,1676.1,97.518,783.16,-478
3,1,-9.3161,-4.47235,-602.736,-208017,3806.9,5310.24,56.316,423.736,7.86,4.52179,0.813295,-148.256,454.744,-325.194,2088.09,93.8065,781.933,-478
