Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,252.534,378.732,232.56,23.8218,514.861,221.608,-137.484,406.032,233.345,-12.6038,260.812,209.589,247.707,384.335,136.46,199.875,502.869,157.198,-65.9785,523.059,155.663,-129.222,410.998,149.373,117.197,538.922,467.601,-6.55581,548.766,517.233,-105.122,529.572,456.823,57.849,481.508,562.547,66.3908,346.905,623.362,63.6116,265.164,492.325,10.0247,242.14,382.293,107.145,242.973,378.161,56.6522,542.757,393.632,160.354,467.415,768.579,74.3669,554.043,840.401,-16.9162,465.977,775.924,48.7457,362.642,729.026,67.1633,391.972,849.052
2,0,252.542,378.759,232.563,23.8223,514.869,221.608,-137.474,406.048,233.366,-12.5946,260.811,209.584,247.706,384.361,136.458,199.884,502.886,157.202,-65.9749,523.06,155.673,-129.217,411.009,149.392,117.19,538.94,467.609,-6.55529,548.772,517.243,-105.13,529.579,456.833,57.8438,481.523,562.546,66.4023,346.908,623.36,63.6286,265.174,492.326,10.0315,242.157,382.291,107.157,242.975,378.152,56.6467,542.782,393.632,160.381,467.448,768.58,74.3656,554.043,840.408,-16.8986,465.949,775.943,48.7867,362.63,729.055,67.2063,391.969,849.063
3,0,252.55,378.753,232.569,23.844,514.869,221.621,-137.448,406.048,233.376,-12.5908,260.821,209.573,247.722,384.353,136.443,199.991,503.11,157.749,-65.9666,523.073,155.692,-129.216,411.006,149.376,117.194,538.955,467.613,-6.55193,548.782,517.244,-105.125,529.578,456.835,57.8546,481.516,562.549,66.4171,346.911,623.367,63.6383,265.18,492.334,10.0395,242.16,382.287,107.168,243.003,378.152,56.6489,542.811,393.651,160.408,467.478,768.586,74.377,554.042,840.411,-16.8678,465.93,775.96,48.8204,362.622,729.06,67.2552,391.963,849.064
4,0,252.574,378.718,232.542,23.8627,514.847,221.607,-137.449,406.059,233.38,-12.5778,260.819,209.587,247.729,384.337,136.424,200.006,503.107,157.742,-65.9533,523.065,155.694,-129.202,411.008,149.371,117.202,538.945,467.603,-6.55172,548.777,517.247,-105.127,529.569,456.833,57.8625,481.507,562.543,66.4293,346.916,623.366,63.6489,265.196,492.325,10.0471,242.171,382.296,107.18,243.015,378.154,56.6556,542.798,393.639,160.43,467.486,768.585,74.3906,554.036,840.424,-16.841,465.912,775.979,48.8624,362.616,729.079,67.3118,391.949,849.064
5,0,252.625,378.651,232.51,23.8908,514.826,221.594,-137.438,406.052,233.373,-12.5768,260.82,209.599,247.744,384.345,136.432,200.031,503.082,157.748,-65.939,523.06,155.684,-129.206,410.994,149.249,117.211,538.937,467.588,-6.55121,548.756,517.244,-105.125,529.559,456.826,57.8549,481.506,562.549,66.4452,346.919,623.358,63.6686,265.198,492.337,10.0623,242.171,382.291,107.186,243.018,378.152,56.6646,542.788,393.635,160.489,467.499,768.584,74.4156,554.023,840.428,-16.8165,465.895,775.994,48.9009,362.611,729.068,67.3684,391.931,849.065
6,0,252.657,378.596,232.498,23.9165,514.829,221.593,-137.44,406.082,233.382,-12.5762,260.836,209.59,247.767,384.352,136.433,200.056,503.082,157.746,-65.9223,523.064,155.679,-129.211,411.016,149.286,117.209,538.934,467.582,-6.54899,548.736,517.24,-105.128,529.548,456.815,57.8609,481.492,562.551,66.4597,346.928,623.372,63.6841,265.201,492.365,10.0832,242.167,382.3,107.216,243.035,378.128,56.662,542.78,393.631,160.531,467.498,768.579,74.4461,554.015,840.439,-16.7893,465.885,776.007,48.9421,362.612,729.047,67.411,391.918,849.069
7,0,252.647,378.645,232.514,23.9117,514.842,221.595,-137.435,406.084,233.373,-12.5743,260.839,209.599,247.771,384.386,136.442,200.057,503.112,157.747,-65.9255,523.085,155.688,-129.32,410.369,147.059,117.199,538.934,467.575,-6.56631,548.717,517.245,-105.148,529.531,456.819,57.8453,481.489,562.571,66.4829,346.931,623.364,63.707,265.195,492.386,10.1001,242.162,382.314,107.235,243.037,378.133,56.6415,542.779,393.629,160.542,467.494,768.572,74.4724,553.999,840.445,-16.7657,465.873,776.023,48.9612,362.609,729.059,67.4403,391.91,849.072
8,0,252.609,378.722,232.54,23.883,514.881,221.608,-137.447,406.092,233.363,-12.5707,260.848,209.599,247.758,384.425,136.421,200.037,503.13,157.724,-65.9367,523.126,155.689,-129.296,410.979,148.918,117.176,538.936,467.562,-6.58896,548.711,517.238,-105.168,529.528,456.81,57.899,481.493,562.488,66.4955,346.931,623.36,63.7223,265.191,492.405,10.1018,242.155,382.336,107.238,243.044,378.14,56.6079,542.786,393.634,160.544,467.484,768.542,74.4974,553.995,840.442,-16.7388,465.867,776.03,48.9738,362.602,729.067,67.4557,391.899,849.072
9,0,252.58,378.786,232.555,23.8665,514.933,221.635,-137.447,406.089,233.346,-12.5749,260.848,209.6,247.743,384.47,136.423,200.017,503.191,157.736,-65.9415,523.169,155.695,-129.319,410.98,148.817,117.154,538.965,467.569,-6.61278,548.71,517.245,-105.189,529.529,456.806,57.9073,481.492,562.464,66.508,346.934,623.355,63.7272,265.195,492.394,10.1095,242.159,382.32,107.252,243.049,378.106,56.5822,542.82,393.64,160.539,467.478,768.527,74.5219,553.991,840.443,-16.7151,465.87,776.037,48.9822,362.595,729.065,67.4693,391.894,849.068
