Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-10.2316,-12.4069,-623.488,-206369,3990,5172.91,56.3995,409.606,7.86,3.30109,9.35822,-122.621,-1101.65,-2797.12,989.454,73.189,793.984,-478
1,1,-11.1472,-10.2707,-631.423,-208566,2158.95,5584.9,53.4192,408.927,7.86,3.91144,9.05304,-121.401,-1376.31,-50.536,852.125,95.5837,796.337,-478
1,2,-11.1472,-9.66034,-631.423,-207468,4356.21,5447.57,56.899,407.187,7.86,4.52179,8.13751,-123.232,-1742.52,-874.511,1676.1,88.9035,799.14,-478
1,3,-11.4523,-10.2707,-630.812,-207468,4630.87,5172.91,57.3411,407.505,7.86,2.69074,12.7151,-123.842,-1376.31,-1423.83,1676.1,84.5029,796.113,-478
1,4,-11.1472,-7.52411,-631.423,-208841,3898.45,5310.24,56.1741,409.362,7.86,4.82697,9.35822,-118.959,-1193.21,773.439,1950.76,102.502,795.03,-478
1,5,-9.92645,-9.35516,-631.423,-206644,3990,5172.91,56.3191,405.882,7.86,3.30109,9.96857,-121.401,-735.442,-874.511,1264.11,88.7965,791.058,-478
1,6,-10.2316,-11.1862,-629.592,-207742,4081.56,4898.25,56.4829,408.579,7.86,-0.0558454,9.05304,-122.011,-1467.86,-325.194,852.125,93.3347,797.031,-478
1,7,-10.2316,-6.91375,-630.812,-209665,4081.56,5172.91,56.4703,410.988,7.86,2.69074,9.35822,-121.401,-1376.31,3520.02,1126.78,124.995,796.337,-478
1,8,-9.62128,-10.2707,-630.812,-205271,5454.85,5172.91,58.6473,404.022,7.86,1.47003,10.2737,-121.401,-1559.42,-50.536,2500.07,95.5837,797.845,-478
1,9,-9.92645,-9.96551,-630.202,-208292,3715.34,5172.91,55.8955,409.131,7.86,3.60626,11.1893,-120.18,-1101.65,1048.1,1401.44,104.721,794.167,-478
2,0,-7.79022,-10.2707,-630.202,-208566,3806.9,5584.9,56.0408,409.567,7.86,2.99591,7.22199,-120.79,-918.547,-50.536,2088.09,95.5816,792.604,-478
2,1,-9.3161,-13.6276,-630.202,-208841,4173.11,5584.9,56.6219,410.002,7.86,3.30109,9.96857,-124.453,-826.995,-599.852,1126.78,91.1801,791.645,-478
2,2,-10.5368,-9.66034,-629.592,-211313,4081.56,5584.9,56.4829,414.25,7.86,3.91144,10.8841,-121.401,-1467.86,1048.1,1676.1,104.633,797.091,-478
2,3,-9.3161,-9.04998,-631.423,-208292,3715.34,5035.58,55.8841,408.492,7.86,4.52179,9.96857,-120.18,-826.995,224.122,2362.75,97.8649,791.881,-478
2,4,-9.62128,-11.4914,-630.812,-206644,4173.11,5035.58,56.6155,406.199,7.86,3.91144,11.4944,-123.232,-918.547,-1973.14,1538.77,79.9884,792.454,-478
2,5,-7.79022,-9.96551,-631.423,-210489,3990,5584.9,56.3191,411.972,7.86,4.82697,10.2737,-118.959,-186.126,-325.194,1401.44,93.2663,786.565,-478
2,6,-10.5368,-9.96551,-632.033,-207742,3990,6271.54,56.313,407.304,7.86,3.91144,10.2737,-122.011,-1376.31,-2247.8,1401.44,77.5771,796.28,-478
2,7,-11.1472,-9.96551,-632.643,-206918,4539.32,5172.91,57.1752,405.685,7.86,3.60626,12.1048,-120.18,-1376.31,-1149.17,1126.78,86.438,796.452,-478
2,8,-10.2316,-7.82928,-632.033,-209940,4173.11,5172.91,56.6027,410.781,7.86,2.69074,9.05304,-120.79,-1467.86,-599.852,1126.78,91.034,797.152,-478
2,9,-11.7575,-9.66034,-632.033,-203623,4173.11,5172.91,56.6027,400.786,7.86,4.21662,9.05304,-123.842,-1650.97,224.122,1676.1,97.8097,798.331,-478
3,0,-9.62128,-9.96551,-632.033,-207742,4722.42,5584.9,57.4718,407.304,7.86,3.60626,9.35822,-121.401,-1467.86,224.122,1676.1,97.8461,797.091,-478
3,1,-10.2316,-9.96551,-631.423,-209665,3990,5722.23,56.3191,410.667,7.86,2.99591,9.35822,-125.673,-1284.76,1048.1,1401.44,104.34,795.223,-478
3,2,-12.3679,-9.66034,-631.423,-207742,3715.34,5035.58,55.8841,407.622,7.86,2.69074,9.96857,-122.011,-3115.81,224.122,1538.77,97.8369,810.537,-478
3,3,-9.92645,-11.1862,-633.254,-208841,4173.11,5310.24,56.59,408.405,7.86,2.69074,10.2737,-122.011,-1376.31,1048.1,1950.76,104.59,796.28,-478
3,4,-9.92645,-10.2707,-631.423,-208841,3349.13,5310.24,55.3041,409.362,7.86,2.99591,9.96857,-120.18,-918.547,-50.536,1813.43,95.5795,792.643,-478
3,5,-10.842,-9.35516,-630.202,-208292,3990,5584.9,56.3313,409.131,7.86,6.04767,9.96857,-121.401,-1284.76,773.439,1264.11,102.371,795.583,-478
3,6,-11.1472,-9.66034,-628.371,-209665,4081.56,4898.25,56.4955,412.279,7.86,3.60626,9.96857,-121.401,88.5327,-1973.14,1950.76,79.7469,784.271,-478
3,7,-10.5368,-8.13446,-630.812,-208292,3806.9,5447.57,56.0349,408.811,7.86,3.30109,10.5789,-123.232,-1101.65,-599.852,302.809,91.1323,793.94,-478
3,8,-10.5368,-8.74481,-632.643,-207468,4173.11,5447.57,56.5963,406.553,7.86,4.52179,10.2737,-121.401,-1650.97,773.439,2225.42,102.371,798.599,-478
3,9,-8.40057,-9.35516,-631.423,-207742,4539.32,5447.57,57.189,407.622,7.86,2.99591,11.7996,-120.79,-3.02007,-50.536,1401.44,95.5816,785.025,-478
4,0,-11.4523,-8.13446,-628.371,-208566,4173.11,5035.58,56.6412,410.531,7.86,2.99591,11.7996,-119.57,-918.547,-50.536,1538.77,95.5774,792.682,-478
4,1,-11.4523,-9.35516,-630.812,-206644,4356.21,5035.58,56.9057,406.199,7.86,4.52179,12.41,-120.18,-735.442,-50.536,1538.77,95.5795,791.12,-478
4,2,-9.01092,-9.66034,-630.812,-208017,4356.21,5310.24,56.9057,408.376,7.86,-0.0558454,10.2737,-119.57,-1193.21,-50.536,2088.09,95.5774,794.979,-478
4,3,-10.5368,-9.35516,-630.202,-208292,4356.21,5035.58,56.9124,409.131,7.86,3.30109,12.1048,-121.401,-1010.1,1872.07,1538.77,111.421,793.32,-478
4,4,-10.842,-10.5759,-630.202,-208017,4813.98,5584.9,57.6388,408.695,7.86,3.60626,10.2737,-117.128,-1010.1,224.122,3186.72,97.9135,793.624,-478
4,5,-10.842,-9.66034,-630.812,-209116,4356.21,5722.23,56.9057,410.117,7.86,2.99591,8.74786,-121.401,-1284.76,-325.194,989.454,93.3213,795.583,-478
4,6,-11.1472,-9.66034,-630.812,-208292,3806.9,4760.92,56.0349,408.811,7.86,4.21662,6.00128,-124.453,-1376.31,-874.511,1126.78,88.9731,796.059,-478
4,7,-9.3161,-11.7966,-634.474,-208841,4173.11,6546.2,56.5773,407.771,7.86,3.30109,9.05304,-124.453,-1284.76,-1149.17,1264.11,86.7662,795.323,-478
4,8,-8.40057,-9.04998,-630.812,-209390,4081.56,5722.23,56.4703,410.553,7.86,2.69074,9.05304,-123.232,-1467.86,-50.536,989.454,95.5899,796.911,-478
4,9,-11.1472,-9.35516,-629.592,-208017,4264.66,4898.25,56.7737,409.015,7.86,5.43732,9.35822,-123.232,-1467.86,773.439,1813.43,102.276,796.911,-478
5,0,-10.5368,-9.66034,-631.423,-207193,3990,5584.9,56.3191,406.752,7.86,2.99591,9.35822,-121.401,-1742.52,-3895.75,1538.77,63.91,799.353,-478
5,1,-9.01092,-9.35516,-630.812,-207193,3623.79,5447.57,55.7446,407.069,7.86,3.60626,9.96857,-121.401,-1101.65,-50.536,-521.166,95.5837,794.075,-478
5,2,-9.3161,-9.96551,-630.812,-206094,4264.66,5447.57,56.7606,405.328,7.86,3.91144,9.66339,-120.79,-1010.1,1048.1,1676.1,104.677,793.362,-478
5,3,-10.5368,-9.66034,-632.033,-207742,4081.56,6134.22,56.4578,407.304,7.86,1.77521,14.241,-121.401,-1284.76,-50.536,1813.43,95.5837,795.583,-478
5,4,-9.92645,-5.99823,-630.812,-208017,3990,5447.57,56.3252,408.376,7.86,2.08039,11.1893,-117.128,-1650.97,4069.34,1950.76,130.743,799.095,-478
5,5,-10.842,-9.35516,-632.033,-203897,4539.32,5172.91,57.1821,401.22,7.86,4.21662,9.66339,-120.18,-552.336,-325.194,3186.72,93.2941,789.596,-478
5,6,-9.62128,-9.35516,-633.254,-208292,4173.11,5859.56,56.59,407.538,7.86,3.30109,11.1893,-120.79,-1010.1,-599.852,1676.1,91.034,793.362,-478
5,7,-10.5368,-9.04998,-632.033,-208292,4173.11,5722.23,56.6027,408.173,7.86,4.52179,8.44269,-120.79,-918.547,2696.05,1126.78,118.32,792.604,-478
5,8,-10.842,-10.2707,-630.202,-207742,4081.56,4898.25,56.4766,408.259,7.86,2.69074,11.7996,-124.453,-1010.1,-50.536,4148.02,95.5939,793.116,-478
5,9,-10.2316,-8.74481,-633.254,-209116,3898.45,5310.24,56.1562,408.839,7.86,3.60626,11.7996,-120.79,-1650.97,773.439,1813.43,102.403,798.668,-478
6,0,-9.01092,-9.66034,-630.812,-207742,4264.66,4211.61,56.7606,407.94,7.86,4.21662,5.39093,-119.57,-1010.1,-50.536,1813.43,95.5774,793.448,-478
6,1,-9.92645,-12.1017,-632.643,-206918,4264.66,5310.24,56.741,405.685,7.86,3.91144,9.66339,-129.946,-1101.65,-4445.07,1676.1,61.7929,793.478,-478
6,2,-8.70575,-8.74481,-630.812,-213236,3990,5859.56,56.3252,416.648,7.86,3.60626,8.13751,-122.621,-2291.84,-325.194,-1757.13,93.348,803.69,-478
6,3,-9.62128,-8.43963,-627.761,-208841,4173.11,3662.29,56.6476,411.291,7.86,3.60626,9.05304,-122.011,-1467.86,224.122,989.454,97.8369,797.031,-478
6,4,-10.2316,-9.04998,-630.202,-207193,3898.45,5859.56,56.186,407.388,7.86,2.99591,13.6307,-123.232,-1284.76,224.122,1126.78,97.8187,795.426,-478
6,5,-5.95917,-8.74481,-630.812,-207742,4356.21,5584.9,56.9057,407.94,7.86,4.82697,9.05304,-115.297,-1650.97,773.439,-658.495,102.708,799.319,-478
6,6,-9.92645,-9.04998,-628.371,-204721,4447.77,5172.91,57.0783,404.412,7.86,3.30109,7.52716,-122.011,-186.126,-599.852,1401.44,91.0836,786.526,-478
6,7,-10.5368,-8.74481,-631.423,-208017,4081.56,6820.86,56.4641,408.057,7.86,3.60626,12.7151,-121.401,-1193.21,-325.194,440.138,93.3213,794.829,-478
6,8,-9.3161,-9.35516,-631.423,-208292,4081.56,5172.91,56.4641,408.492,7.86,3.60626,10.8841,-111.635,-1376.31,224.122,1538.77,98.0076,797.329,-478
6,9,-12.673,-9.35516,-630.202,-204447,4264.66,4623.6,56.7671,403.029,7.86,2.99591,11.7996,-121.401,-3.02007,-599.852,3598.71,91.0589,785.025,-478
7,0,-11.1472,-9.35516,-633.864,-207742,4356.21,7919.49,56.8725,406.355,7.86,3.91144,10.5789,-121.401,-1284.76,1048.1,1813.43,104.633,795.583,-478
7,1,-9.62128,-8.74481,-630.202,-208017,4539.32,4898.25,57.203,408.695,7.86,5.13214,6.61163,-121.401,-918.547,498.78,1676.1,100.109,792.566,-478
7,2,-14.1989,-9.66034,-628.371,-207742,3990,5172.91,56.3498,409.22,7.86,0.24933,10.5789,-129.335,-1284.76,-874.511,1538.77,89.2384,794.934,-478
7,3,-8.70575,-9.66034,-636.916,-210489,3990,5172.91,56.2646,409.097,7.86,2.69074,11.7996,-118.349,-2383.39,2146.73,1401.44,114.139,805.139,-478
7,4,-8.40057,-9.96551,-630.202,-207193,4630.87,3250.3,57.3482,407.388,7.86,4.52179,11.4944,-118.959,-918.547,498.78,2088.09,100.193,792.721,-478
7,5,-9.92645,-7.52411,-629.592,-206644,3990,5584.9,56.3374,406.834,7.86,4.21662,11.4944,-122.011,-1101.65,-325.194,1813.43,93.3347,794.029,-478
7,6,-5.34881,-8.13446,-630.202,-207193,3715.34,6408.87,55.8955,407.388,7.86,6.04767,9.66339,-119.57,-1925.63,498.78,1126.78,100.171,801.105,-478
7,7,-9.62128,-9.04998,-623.488,-207468,4264.66,3936.95,56.84,411.368,7.86,3.91144,10.5789,-123.232,-1101.65,-2522.46,989.454,75.5308,793.94,-478
7,8,-11.1472,-9.35516,-629.592,-206918,3532.24,5584.9,55.6104,407.27,7.86,2.99591,9.96857,-122.011,-1650.97,-50.536,28.1506,95.5858,798.531,-478
7,9,-6.56952,-8.74481,-631.423,-208292,3990,5722.23,56.3191,408.492,7.86,7.57355,8.13751,-115.908,-1467.86,-325.194,1401.44,93.1944,797.664,-478
8,0,-9.62128,-9.35516,-621.657,-208292,4539.32,5172.91,57.302,413.674,7.86,4.21662,9.66339,-122.011,180.085,-1973.14,1126.78,79.8282,783.524,-478
8,1,-9.3161,-8.74481,-630.202,-206918,3257.58,7232.85,55.1691,406.952,7.86,3.91144,8.74786,-120.79,-1467.86,-325.194,28.1506,93.3078,797.152,-478
8,2,-9.62128,-10.2707,-630.202,-206918,4264.66,5447.57,56.7671,406.952,7.86,4.21662,9.96857,-121.401,-1010.1,-325.194,1538.77,93.3213,793.32,-478
8,3,-13.2834,-10.2707,-630.202,-208841,4539.32,5035.58,57.203,410.002,7.86,0.24933,11.1893,-122.621,-918.547,-1149.17,1813.43,86.6283,792.491,-478
8,4,-9.3161,-8.43963,-637.526,-207468,4081.56,5859.56,56.4022,404.041,7.86,3.60626,10.2737,-118.349,-1284.76,3794.68,1813.43,128.063,795.856,-478
