Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,252.758,357.922,236.733,25.199,497.202,225.208,-137.381,389.573,238.906,-13.7667,241.827,216.391,248.118,364.595,140.492,200.886,481.81,159.894,-64.8982,504.367,158.839,-129.837,390.161,149.355,120.79,501.385,479.629,-2.31433,507.604,532.313,-102.108,496.172,472.236,60.3338,434.523,572.778,67.1715,297,621.195,64.3219,227.811,479.517,8.8347,216.61,367.101,105.851,217.557,361.15,59.7174,509.561,408.919,168.26,409.767,775.865,85.1678,502.335,844.585,-9.98392,413.008,787.204,52.9365,306.335,743.757,75.1039,340.874,862.024
2,0,252.763,357.903,236.741,25.1971,497.177,225.22,-137.392,389.565,238.902,-13.7667,241.821,216.378,248.11,364.588,140.484,200.886,481.805,159.91,-64.9036,504.356,158.843,-129.838,390.152,149.334,120.791,501.335,479.666,-2.3186,507.527,532.344,-102.104,496.109,472.255,60.3294,434.419,572.792,67.1646,296.911,621.206,64.3075,227.735,479.499,8.83708,216.564,367.126,105.847,217.522,361.131,59.7193,509.507,408.958,168.25,409.608,775.883,85.2059,502.183,844.614,-9.96848,412.915,787.215,52.9192,306.221,743.744,75.101,340.728,862.044
3,0,252.753,357.905,236.732,25.1957,497.169,225.228,-137.391,389.563,238.912,-13.7675,241.81,216.341,248.096,364.603,140.484,200.97,482.045,160.453,-64.908,504.366,158.865,-129.843,390.155,149.337,120.784,501.286,479.699,-2.33519,507.458,532.389,-102.188,495.946,472.227,60.3152,434.338,572.804,67.1525,296.816,621.22,64.2998,227.665,479.472,8.83663,216.525,367.097,105.877,217.501,361.047,59.7045,509.447,409,168.242,409.431,775.859,85.2331,502.046,844.642,-9.85144,412.575,787.443,52.9177,306.105,743.703,75.1004,340.609,862.062
4,0,252.743,357.908,236.739,25.1735,497.182,225.261,-137.394,389.56,238.936,-13.7704,241.8,216.301,248.107,364.602,140.478,200.96,482.059,160.484,-64.9164,504.375,158.884,-129.853,390.169,149.374,120.768,501.231,479.748,-2.3586,507.379,532.451,-102.13,495.989,472.335,60.2876,434.267,572.835,67.1377,296.72,621.228,64.3058,227.602,479.469,8.84672,216.487,367.08,105.889,217.479,360.995,59.6853,509.411,409.062,168.242,409.274,775.872,85.2542,501.916,844.686,-9.85442,412.46,787.491,52.8943,305.959,743.723,75.1027,340.47,862.058
5,0,252.733,357.914,236.737,25.1589,497.165,225.264,-137.383,389.554,238.92,-13.7566,241.818,216.347,248.082,364.623,140.48,200.957,482.091,160.509,-64.9159,504.383,158.89,-129.865,390.199,149.467,120.745,501.19,479.801,-2.38029,507.297,532.512,-102.152,495.9,472.372,60.2586,434.193,572.855,67.1248,296.628,621.235,64.3197,227.542,479.454,8.85947,216.447,367.092,105.907,217.45,360.985,59.6614,509.383,409.107,168.254,409.151,775.886,85.2591,501.78,844.714,-9.84872,412.345,787.516,52.8942,305.837,743.741,75.1117,340.335,862.066
6,0,252.737,357.935,236.735,25.1587,497.133,225.255,-137.39,389.549,238.92,-13.7472,241.851,216.333,248.077,364.638,140.447,200.958,482.11,160.515,-64.9205,504.402,158.902,-129.833,390.125,149.369,120.717,501.139,479.86,-2.40841,507.212,532.572,-102.175,495.8,472.416,60.2358,434.125,572.888,67.1293,296.533,621.198,64.3359,227.483,479.428,8.88871,216.401,367.055,105.934,217.439,360.927,59.6372,509.349,409.168,168.284,409.054,775.911,85.2662,501.627,844.767,-9.86339,412.194,787.554,52.8902,305.719,743.766,75.112,340.175,862.069
7,0,252.749,357.951,236.753,25.1639,497.101,225.234,-137.383,389.538,238.912,-13.7287,241.88,216.304,248.079,364.702,140.481,200.965,482.104,160.489,-64.9098,504.4,158.897,-129.802,390.127,149.348,120.69,501.08,479.915,-2.43688,507.121,532.629,-102.449,495.533,472.399,60.2364,434.034,572.899,67.1211,296.422,621.182,64.3582,227.424,479.385,8.9243,216.375,366.959,105.974,217.423,360.876,59.6147,509.311,409.223,168.28,408.912,775.934,85.2536,501.454,844.816,-9.86355,412.017,787.585,52.8974,305.603,743.739,75.1169,339.981,862.081
8,0,252.761,357.952,236.76,25.182,497.059,225.211,-137.373,389.539,238.912,-13.7283,241.897,216.298,248.071,364.668,140.447,200.988,482.103,160.5,-64.889,504.391,158.887,-129.762,390.117,149.326,120.666,501.024,479.974,-2.46468,507.031,532.683,-102.227,495.556,472.499,60.2262,433.941,572.946,67.1269,296.317,621.153,64.3695,227.363,479.381,8.95554,216.329,366.893,106.006,217.403,360.823,59.5893,509.272,409.276,168.275,408.771,775.971,85.215,501.24,844.874,-9.97717,412.007,787.501,52.8894,305.439,743.745,75.1266,339.787,862.085
9,0,252.767,357.949,236.771,25.1946,497.022,225.192,-137.365,389.542,238.903,-13.7153,241.937,216.351,248.098,364.693,140.477,201.012,482.104,160.51,-64.8832,504.389,158.881,-129.758,390.132,149.305,120.641,500.962,480.025,-2.48731,506.93,532.732,-102.249,495.455,472.533,60.213,433.869,572.972,67.129,296.21,621.123,64.3801,227.309,479.383,8.9938,216.284,366.884,106.042,217.384,360.834,59.5718,509.22,409.314,168.239,408.624,775.987,85.1708,501.054,844.949,-9.8673,411.658,787.613,52.8772,305.287,743.789,75.112,339.581,862.063
