Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-4.12811,0.715639,-607.009,-220651,-2601.79,3799.62,45.7138,442.121,7.86,0.554506,-3.45917,-146.425,-3.02007,-8015.62,-658.495,41.2579,785.021,-478
1,1,-5.95916,2.24152,-603.957,-221475,-2144.03,3524.96,46.45,445.322,7.86,1.77521,-1.93329,-141.542,-94.5728,-6642.33,1950.76,49.0718,785.668,-478
1,2,-5.95917,0.71564,-605.178,-221750,-2235.58,3250.3,46.3059,445.036,7.86,2.69074,-4.98504,-142.153,180.085,-7466.31,1264.11,43.4768,783.733,-478
1,3,-5.95916,1.32599,-612.502,-222025,-2052.48,3112.98,46.649,441.103,7.86,0.24933,-3.15399,-141.542,-94.5728,-4994.38,1126.78,60.7146,785.668,-478
1,4,-6.56952,1.32599,-603.347,-220651,-1228.5,2838.32,47.9639,444.327,7.86,0.859682,-3.45917,-144.594,180.085,-8290.28,1950.76,38.6652,783.755,-478
1,5,-4.12811,1.63117,-605.788,-220651,-2235.58,3799.62,46.3096,442.854,7.86,-2.80243,-3.45917,-142.763,-186.126,-8564.94,165.48,36.0059,786.304,-478
1,6,-6.26434,1.32599,-599.684,-220102,-1411.61,3250.3,47.6461,445.645,7.86,0.859682,-1.93329,-144.594,912.507,-8839.6,852.125,34.8661,778.689,-478
1,7,-5.95916,1.93634,-606.398,-220926,-3517.32,4760.92,44.1997,442.94,7.86,-0.0558454,-4.67987,-145.815,-277.678,-7466.31,-246.508,44.796,786.904,-478
1,8,-6.56952,1.32599,-603.347,-220377,-2144.03,3799.62,46.4464,443.872,7.86,0.24933,-4.98504,-146.425,-643.889,-8015.62,989.454,41.2579,789.397,-478
1,9,-3.21258,2.24152,-604.567,-220651,-2510.24,3799.62,45.8479,443.589,7.86,2.99591,-5.29022,-145.815,-2017.18,-8290.28,1126.78,39.1451,798.834,-478
2,0,-5.65399,0.105288,-606.398,-220926,-2418.69,3799.62,46.0114,442.94,7.86,0.859682,-4.06952,-143.373,-94.5728,-6367.68,1401.44,51.5868,785.66,-478
2,1,-4.43329,2.24152,-605.178,-221750,-1136.95,3524.96,48.1213,445.036,7.86,1.77521,-8.0368,-144.594,-94.5728,-7466.31,1401.44,44.3637,785.654,-478
2,2,-8.40057,3.46222,-605.788,-220102,-2144.03,2838.32,46.4608,441.947,7.86,-0.666197,-4.06952,-146.425,-186.126,-8015.62,1126.78,41.2579,786.271,-478
2,3,-5.95916,1.32599,-605.178,-214609,-1869.37,3112.98,46.911,433.236,7.86,1.16486,-3.45917,-145.204,546.296,-8015.62,989.454,40.7977,781.238,-478
2,4,-6.26434,2.54669,-605.788,-220102,-2327.13,4348.94,46.1585,441.947,7.86,0.859682,-1.01776,-145.204,-94.5728,-8015.62,852.125,40.7977,785.651,-478
2,5,-6.26434,0.71564,-603.957,-219278,-1686.26,3387.63,47.208,441.684,7.86,0.859682,-2.84881,-146.425,-369.231,-9663.57,714.796,30.0033,787.522,-478
2,6,-3.82293,2.54669,-606.398,-225595,-2144.03,3799.62,46.4643,450.64,7.86,1.77521,-2.84881,-143.373,-643.889,-8015.62,-1757.13,40.0927,789.491,-478
2,7,-5.04364,0.715639,-602.126,-220651,-2052.48,2151.67,46.5913,445.069,7.86,0.554506,-1.93329,-141.542,363.191,-6367.68,1676.1,51.0122,782.434,-478
2,8,-5.04364,2.24152,-605.788,-221750,-2144.03,3250.3,46.4608,444.667,7.86,0.859682,-7.42645,-142.153,363.191,-6916.99,1676.1,47.3411,782.445,-478
2,9,-6.87469,0.71564,-605.178,-221201,-2052.48,2700.99,46.6085,444.129,7.86,0.859682,-2.23846,-145.815,88.5327,-8015.62,4285.35,41.0287,784.393,-478
