Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,244.728,419.28,236.313,8.09286,540.199,220.747,-145.788,423.166,238.423,-12.0812,284.998,219.574,238.947,419.22,139.027,184.532,537.598,156.797,-82.0932,540.981,155.216,-139.389,422.033,146.878,99.7984,559.404,480.229,-25.9766,561.589,526.003,-121.872,542.592,460.843,46.6611,489.781,571.207,57.6701,356.399,625.361,56.2321,282.798,486.74,7.80806,265.367,372.91,104.986,269.971,373.111,40.9005,562.672,404.12,143.563,503.649,772.698,53.2011,601.28,821.322,-33.7007,498.502,775.073,36.0319,390.065,752.661,49.307,444.397,864.799
2,0,244.699,419.306,236.339,8.05818,540.208,220.78,-145.811,423.14,238.424,-12.0911,284.982,219.511,238.956,419.266,139.086,184.49,537.614,156.835,-82.132,540.971,155.227,-139.406,422.026,146.889,99.7536,559.353,480.276,-26.025,561.515,526.031,-121.915,542.533,460.864,46.6447,489.658,571.21,57.6444,356.31,625.33,56.2193,282.737,486.716,7.7941,265.321,372.858,104.977,269.963,373.037,40.8623,562.646,404.158,143.508,503.531,772.727,53.1339,601.122,821.381,-33.7589,498.373,775.101,35.9695,389.914,752.64,49.2502,444.249,864.809
3,0,244.673,419.275,236.297,8.02676,540.227,220.842,-145.807,423.093,238.345,-12.1033,284.978,219.496,238.88,419.238,139,184.468,537.622,156.881,-82.1612,540.953,155.258,-139.417,422.006,146.871,99.72,559.304,480.298,-26.0653,561.443,526.055,-121.952,542.481,460.883,46.6051,489.546,571.226,57.6208,356.23,625.322,56.2042,282.688,486.729,7.7829,265.291,372.811,104.963,269.928,373.009,40.9022,562.743,404.519,143.433,503.415,772.739,53.0802,600.979,821.471,-33.8123,498.233,775.117,35.9248,389.785,752.637,49.1872,444.093,864.802
4,0,244.638,419.243,236.257,7.99512,540.216,220.873,-145.831,423.045,238.325,-12.11,284.943,219.514,238.847,419.253,139.001,184.437,537.625,156.896,-82.1894,540.948,155.268,-139.455,421.995,146.856,99.6872,559.249,480.313,-26.0936,561.385,526.064,-121.981,542.421,460.904,46.5792,489.43,571.196,57.5956,356.141,625.293,56.1914,282.635,486.729,7.77882,265.249,372.789,104.941,269.888,373.03,40.8586,562.72,404.534,143.371,503.31,772.776,53.0049,600.807,821.521,-33.8611,498.098,775.099,35.8895,389.626,752.648,49.1273,443.932,864.777
5,0,244.669,419.263,236.33,7.99096,540.158,220.852,-145.878,422.994,238.338,-12.1266,284.911,219.471,238.903,419.295,139.078,184.431,537.624,156.912,-82.177,540.917,155.246,-139.469,421.979,146.819,99.6648,559.199,480.315,-26.1187,561.319,526.062,-122.004,542.349,460.89,46.5484,489.347,571.205,57.5714,356.074,625.263,56.1852,282.586,486.736,7.75725,265.212,372.739,104.937,269.876,372.933,40.8448,562.68,404.527,143.349,503.205,772.822,52.9277,600.66,821.577,-33.8916,497.967,775.105,35.8672,389.503,752.587,49.0831,443.768,864.764
6,0,244.68,419.242,236.342,7.98503,540.106,220.87,-145.891,422.954,238.275,-12.1483,284.895,219.426,238.932,419.302,139.133,184.415,537.6,156.936,-82.1881,540.88,155.255,-139.468,421.956,146.79,99.64,559.142,480.334,-26.1518,561.258,526.068,-122.028,542.28,460.89,46.5507,489.282,571.229,57.5463,356.01,625.257,56.1716,282.534,486.741,7.7407,265.189,372.722,104.923,269.891,372.829,40.8261,562.646,404.535,143.325,503.067,772.874,52.8582,600.532,821.648,-33.9271,497.838,775.125,35.8132,389.35,752.638,49.0499,443.578,864.765
7,0,244.661,419.221,236.332,7.9748,540.073,220.883,-145.914,422.891,238.269,-12.1659,284.864,219.404,238.912,419.287,139.12,184.402,537.591,156.942,-82.2025,540.868,155.271,-139.489,421.911,146.722,99.6103,559.109,480.366,-26.1844,561.205,526.076,-122.061,542.231,460.888,46.5137,489.242,571.249,57.5099,355.916,625.235,56.1591,282.477,486.734,7.73237,265.151,372.695,104.893,269.886,372.775,40.7687,562.662,404.59,143.255,502.955,772.893,52.7859,600.398,821.719,-33.9694,497.686,775.131,35.7921,389.257,752.627,49.0129,443.421,864.761
8,0,244.645,419.19,236.317,7.95652,540.055,220.907,-145.94,422.862,238.259,-12.1807,284.843,219.363,238.87,419.246,139.061,184.383,537.588,156.959,-82.2284,540.857,155.296,-139.514,421.904,146.698,99.5768,559.083,480.397,-26.2176,561.158,526.085,-122.09,542.199,460.895,46.4674,489.227,571.285,57.472,355.838,625.226,56.1407,282.423,486.734,7.71322,265.124,372.63,104.879,269.912,372.628,40.737,562.635,404.594,143.208,502.871,772.927,52.716,600.262,821.777,-34.0195,497.567,775.146,35.7687,389.163,752.597,48.9681,443.258,864.767
9,0,244.63,419.152,236.286,7.94189,540.026,220.938,-145.956,422.833,238.227,-12.1895,284.831,219.31,238.865,419.265,139.074,184.382,537.577,156.981,-82.2407,540.828,155.329,-139.536,421.884,146.692,99.5402,559.06,480.44,-26.2527,561.12,526.119,-122.121,542.171,460.914,46.4453,489.211,571.326,57.4341,355.777,625.221,56.1225,282.381,486.739,7.70357,265.126,372.588,104.86,269.918,372.592,40.7013,562.628,404.637,143.143,502.78,772.949,52.6596,600.129,821.839,-34.0789,497.431,775.196,35.7377,389.074,752.563,48.9151,443.125,864.809
