Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-10.5368,-4.77752,-594.191,-208841,8201.43,5172.91,63.8027,430.086,7.86,-0.0558454,3.2547,-154.36,-2566.5,-1423.83,2362.75,86.7759,801.627,-478
1,1,-9.01092,-4.47235,-596.633,-208566,8018.32,5310.24,63.4393,428.188,7.86,3.91144,2.94953,-154.36,-3573.58,3520.02,2362.75,118.804,808.151,-478
1,2,-9.62127,-5.0827,-595.412,-209116,9208.51,5584.9,65.4658,429.827,7.86,4.82697,3.86505,-151.308,-2566.5,-1149.17,3598.71,88.4051,801.962,-478
1,3,-9.3161,-4.16717,-596.633,-209940,8201.43,5584.9,63.7462,430.489,7.86,4.82697,3.86505,-155.58,-2200.29,-1698.49,2500.07,85.0829,799.142,-478
1,4,-12.9782,-4.77752,-595.412,-209390,8384.54,5310.24,64.0819,430.288,7.86,1.16486,4.78058,-154.97,-2108.73,-1149.17,2225.42,88.5846,798.607,-478
1,5,-9.3161,-5.0827,-604.567,-209940,8109.88,5447.57,63.4143,425.871,7.86,4.52179,5.08576,-149.477,-2383.39,3245.36,2637.4,117.711,800.945,-478
1,6,-9.62127,-4.47235,-594.802,-207742,9208.51,5172.91,65.4817,427.878,7.86,5.43732,5.69611,-151.918,-1834.07,-1423.83,3873.37,86.6277,797.073,-478
1,7,-9.01092,-5.0827,-596.022,-209116,8292.98,5172.91,63.9139,429.467,7.86,0.554506,4.78058,-153.139,-2200.29,-1423.83,2774.73,86.7024,799.368,-478
1,8,-10.842,-3.55682,-594.191,-208566,8842.3,5172.91,64.8812,429.624,7.86,3.91144,6.00128,-153.749,-2932.71,2146.73,2362.75,109.963,804.075,-478
1,9,-10.5368,-4.16717,-596.022,-209390,7835.22,6820.86,63.1459,429.928,7.86,5.43732,3.55988,-151.308,-2566.5,-1149.17,2500.07,88.4051,801.962,-478
2,0,-9.3161,-3.25164,-597.243,-208841,8109.88,4898.25,63.5789,428.29,7.86,3.91144,2.64435,-156.191,-2566.5,-1423.83,1950.76,86.8841,801.432,-478
2,1,-12.3679,-5.69305,-596.633,-209116,8567.64,5447.57,64.36,429.108,7.86,-0.0558454,4.17023,-155.58,-2108.73,-1149.17,1950.76,88.6137,798.554,-478
2,2,-9.3161,-2.94647,-599.074,-209116,8201.43,5447.57,63.6902,427.68,7.86,3.91144,2.034,-155.58,-2749.6,2146.73,2088.09,109.798,802.673,-478
2,3,-10.2316,-4.47235,-594.802,-207193,8659.19,5310.24,64.5581,426.955,7.86,4.52179,2.33917,-155.58,-2566.5,-874.511,2500.07,90.379,801.496,-478
2,4,-8.40057,-4.16717,-596.633,-209665,8201.43,5584.9,63.7462,430.029,7.86,1.77521,2.94953,-154.36,-2658.05,-1149.17,2362.75,88.5553,802.22,-478
2,5,-8.70575,-4.77752,-591.75,-208566,8476.09,5310.24,64.3238,431.072,7.86,3.60626,4.78058,-155.58,-2474.94,1322.76,2088.09,104.502,800.908,-478
2,6,-10.842,-3.55682,-596.022,-208017,7377.45,7232.85,62.3778,427.624,7.86,4.52179,2.94953,-152.529,-2383.39,-874.511,2637.4,90.2666,800.626,-478
2,7,-10.2316,-5.0827,-596.633,-208566,8292.98,6134.22,63.8996,428.188,7.86,3.91144,3.55988,-153.749,-2200.29,-874.511,2088.09,90.3121,799.311,-478
2,8,-13.5886,-5.69305,-594.191,-208566,8292.98,4898.25,63.9568,429.624,7.86,0.859682,5.39093,-153.749,-1834.07,-1149.17,2225.42,88.5257,796.929,-478
