Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,263.141,392.198,234.659,31.4491,525.641,223.09,-127.312,411.138,233.73,0.926831,268.654,211.011,257.51,396.12,136.098,208.122,515.253,158.786,-58.151,529.648,156.165,-118.649,412.79,149.631,118.457,554.337,459.47,-6.44641,561.763,507.403,-103.518,537.064,446.5,62.9462,497.595,559.844,74.0309,367.031,624.774,72.9931,280.739,494.997,21.4708,250.969,386.409,118.438,254.906,382.701,61.7247,552.48,387.896,165.853,530.308,752.563,75.8468,636.685,781.219,-11.2915,525.801,760.139,58.2692,414.632,760.853,74.0672,492.724,857.675
2,0,263.163,392.168,234.656,31.4524,524.485,222.422,-127.297,411.09,233.72,0.939156,268.62,210.988,257.564,396.112,136.167,208.135,515.203,158.819,-58.1175,529.576,156.149,-118.63,412.72,149.595,118.491,554.264,459.456,-6.4091,561.701,507.392,-103.483,536.994,446.496,62.6752,497.155,559.692,74.0489,366.98,624.778,72.9947,280.662,494.966,21.4728,250.903,386.412,118.433,254.835,382.677,61.7531,552.392,387.873,165.885,530.488,752.441,75.7391,636.798,781.049,-11.2689,525.784,760.091,58.4144,414.674,760.893,74.1795,492.903,857.631
3,0,263.176,392.146,234.653,31.4617,525.48,223.118,-127.284,411.047,233.711,0.949568,268.581,210.978,257.595,396.093,136.236,208.248,515.352,159.355,-58.1066,529.525,156.16,-118.623,412.667,149.587,118.515,554.201,459.447,-6.37885,561.645,507.391,-103.455,536.929,446.491,62.6725,497.096,559.692,74.0625,366.916,624.8,72.9996,280.594,494.954,21.4619,250.848,386.4,118.431,254.759,382.687,61.7735,552.307,387.852,165.873,530.655,752.286,75.6486,636.911,780.868,-11.2644,525.781,760.044,58.5348,414.72,760.927,74.2688,493.079,857.599
4,0,263.172,392.141,234.665,31.4759,525.442,223.157,-127.275,410.983,233.706,0.956313,268.546,210.988,257.595,396.032,136.235,208.259,515.287,159.377,-58.1011,529.483,156.177,-118.619,412.632,149.609,118.533,554.135,459.446,-6.3553,561.589,507.388,-103.427,536.885,446.505,62.688,497.033,559.695,74.0713,366.852,624.81,73.0104,280.526,494.957,21.449,250.803,386.43,118.427,254.692,382.706,61.7879,552.264,387.86,165.818,530.812,752.126,75.5679,637.014,780.691,-11.256,525.789,760.002,58.6494,414.795,760.931,74.3433,493.234,857.534
5,0,263.172,392.139,234.67,31.4752,525.303,223.129,-127.266,410.96,233.73,0.960605,268.511,210.961,257.616,396.004,136.25,208.269,515.258,159.371,-58.0971,529.453,156.189,-118.466,411.744,146.736,118.564,554.068,459.445,-6.31615,561.539,507.388,-103.405,536.834,446.508,62.7154,496.958,559.704,74.0787,366.794,624.826,73.0017,280.444,495.022,21.4593,250.746,386.409,118.426,254.629,382.698,61.8013,552.216,387.862,165.799,530.942,752.029,75.4926,637.104,780.498,-11.2461,525.799,759.947,58.748,414.885,760.912,74.4125,493.393,857.464
6,0,263.173,392.127,234.653,31.4768,525.172,223.086,-127.265,410.905,233.711,0.954042,268.478,210.932,257.616,395.99,136.264,208.276,515.222,159.372,-58.2425,529.429,156.382,-118.459,411.702,146.717,118.365,554.073,459.685,-6.27584,561.481,507.378,-103.372,536.793,446.511,62.7584,496.868,559.681,74.0953,366.734,624.828,72.9958,280.356,495.073,21.4611,250.685,386.408,118.423,254.572,382.686,61.8157,552.147,387.845,165.815,531.066,751.954,75.4195,637.189,780.335,-11.2432,525.818,759.882,58.81,414.946,760.919,74.4569,493.547,857.398
7,0,263.148,392.101,234.646,31.4707,525.108,223.089,-127.002,409.891,233.288,0.958092,268.439,210.948,257.603,395.944,136.228,208.261,515.214,159.387,-58.1093,529.408,156.21,-118.477,411.672,146.742,118.608,553.907,459.426,-6.2511,561.427,507.387,-103.355,536.748,446.519,62.7349,496.813,559.702,74.1066,366.664,624.839,72.9958,280.277,495.142,21.4666,250.623,386.424,118.431,254.509,382.704,61.8285,552.114,387.866,165.788,531.166,751.868,75.3652,637.236,780.2,-11.2411,525.835,759.808,58.853,414.983,760.945,74.4791,493.69,857.366
8,0,263.128,392.089,234.649,31.4731,525.075,223.101,-127.011,409.893,233.314,0.951507,268.388,210.994,257.578,395.892,136.186,208.245,515.181,159.39,-58.1202,529.407,156.22,-118.489,411.661,146.771,118.631,553.836,459.425,-6.22271,561.37,507.388,-103.33,536.705,446.528,62.7381,496.716,559.678,74.1221,366.598,624.813,72.9938,280.196,495.194,21.4729,250.557,386.389,118.426,254.454,382.681,61.8437,552.086,387.885,165.773,531.268,751.803,75.315,637.294,780.048,-11.2415,525.873,759.726,58.9114,415.059,760.914,74.4777,493.805,857.331
9,0,263.144,392.079,234.647,31.469,525.017,223.099,-127.022,409.905,233.324,0.931469,268.371,210.946,257.58,395.903,136.21,208.246,515.167,159.398,-58.1123,529.392,156.229,-118.717,412.362,149.197,118.664,553.765,459.423,-6.18516,561.319,507.386,-103.307,536.674,446.536,62.7757,496.58,559.681,74.1357,366.537,624.77,72.9796,280.127,495.238,21.4743,250.51,386.359,118.416,254.409,382.667,61.8577,552.049,387.892,165.771,531.403,751.718,75.288,637.351,779.893,-11.2483,525.905,759.652,58.9643,415.153,760.861,74.4706,493.946,857.283
