Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-9.92645,-13.9328,-611.891,-208292,4997.08,5722.23,58.1666,419.021,7.86,3.60626,10.5789,-138.491,-6320.16,-325.194,1401.44,93.6519,830.636,-478
1,1,-5.34882,-11.7966,-612.502,-208566,4905.53,5996.89,58.009,419.131,7.86,5.74249,10.8841,-140.322,-5313.08,-599.852,1813.43,91.7252,822.864,-478
1,2,-9.3161,-11.7966,-607.619,-208017,4997.08,5035.58,58.224,420.963,7.86,2.99591,11.1893,-139.711,-5862.4,-2522.46,2225.42,77.9452,826.961,-478
1,3,-11.1472,-12.7121,-613.723,-207193,4630.87,6271.54,57.5456,416.216,7.86,2.69074,12.1048,-138.491,-6228.61,-874.511,577.467,89.6854,829.975,-478
1,4,-5.34882,-12.1017,-613.723,-209116,4997.08,7095.52,58.1423,419.348,7.86,6.65802,12.7151,-129.335,-5862.4,-325.194,1950.76,93.4857,830.327,-478
1,5,-10.5368,-13.0173,-605.788,-208841,5546.4,5859.56,59.1557,423.358,7.86,3.60626,12.7151,-136.66,-3939.79,-3895.75,2088.09,67.493,813.829,-478
1,6,-10.2316,-9.96551,-613.723,-209390,4264.66,6820.86,56.9488,419.796,7.86,2.69074,11.7996,-137.88,-5862.4,224.122,577.467,97.6255,827.518,-478
1,7,-12.0627,-12.1017,-613.112,-208017,4997.08,5447.57,58.1504,417.896,7.86,4.52179,11.4944,-138.491,-6320.16,224.122,1950.76,97.6183,830.636,-478
1,8,-3.82294,-12.4069,-611.891,-209390,4905.53,6408.87,58.017,420.817,7.86,6.35285,9.66339,-139.711,-5953.95,-1149.17,1676.1,87.7747,827.616,-478
1,9,-9.62128,-12.1017,-605.788,-208292,5088.64,5722.23,58.4,422.451,7.86,2.99591,9.66339,-141.542,-6137.05,-3621.09,1950.76,70.4169,828.358,-478
2,0,-11.4523,-12.4069,-610.671,-208292,4447.77,5859.56,57.2834,419.702,7.86,2.99591,10.2737,-140.322,-6503.27,-50.536,302.809,95.6399,831.345,-478
2,1,-6.26434,-12.4069,-613.112,-208841,5088.64,5722.23,58.2997,419.24,7.86,6.65802,10.5789,-132.387,-6137.05,-325.194,2088.09,93.5436,831.357,-478
2,2,-10.2316,-12.4069,-606.398,-209116,5180.19,4486.27,58.5426,423.464,7.86,3.60626,11.1893,-136.66,-4122.89,-4445.07,2225.42,63.4734,815.169,-478
2,3,-9.92645,-11.4914,-611.891,-209116,4630.87,5859.56,57.5681,420.368,7.86,2.69074,10.2737,-139.101,-5953.95,-874.511,989.454,89.7131,827.803,-478
2,4,-9.92645,-12.7121,-611.891,-208292,5454.85,5722.23,58.9147,419.021,7.86,3.60626,11.1893,-138.491,-6228.61,-50.536,2225.42,95.6351,829.975,-478
2,5,-4.12811,-12.4069,-612.502,-208017,4905.53,6408.87,58.009,418.234,7.86,6.65802,10.8841,-136.66,-5770.84,-874.511,2225.42,89.6008,827.228,-478
2,6,-9.62128,-12.1017,-607.009,-208566,4905.53,4623.6,58.0815,422.212,7.86,2.99591,11.1893,-140.322,-5953.95,-3346.43,1676.1,72.1517,827.431,-478
