Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,27.0475,509.036,229.831,-132.154,395.313,235.18,-5.50296,253.029,204.545,252.964,385.635,133.252,203.322,502.214,164.229,-63.0564,517.494,163.606,-125.244,404.886,152.758,119.23,520.964,464.208,-6.07031,529.402,510.854,-103.204,513.268,446.428,61.1746,454.879,563.691,66.7665,318.669,617.117,63.9886,246.354,477.747,13.5776,227.602,365.392,111.087,229.305,362.595,58.9766,526.913,397.129,163.633,425.944,772.874,82.6767,516.567,845.347,-13.4147,434.872,779.85,46.0417,328.157,731.309,66.0486,354.841,851.908
2,0,,,,27.0643,509.035,229.826,-132.131,395.299,235.17,-5.48216,253.038,204.543,252.966,385.648,133.257,203.339,502.216,164.232,-63.0412,517.493,163.606,-125.224,404.884,152.755,119.253,520.964,464.196,-6.04857,529.416,510.844,-102.894,513.366,446.421,61.1965,454.887,563.68,66.7799,318.685,617.124,64.0079,246.367,477.764,13.6055,227.603,365.395,111.115,229.316,362.603,58.9839,526.925,397.121,163.651,425.939,772.876,82.6986,516.557,845.363,-13.3957,434.864,779.854,46.0591,328.157,731.327,66.075,354.834,851.906
3,0,,,,27.074,509.041,229.826,-132.13,395.299,235.176,-5.47141,253.04,204.51,252.982,385.689,133.304,203.435,502.411,164.662,-63.0249,517.485,163.61,-125.221,404.887,152.76,119.274,520.977,464.197,-6.02919,529.421,510.843,-103.14,513.254,446.402,61.2117,454.886,563.671,66.7985,318.688,617.126,64.0391,246.367,477.757,13.6175,227.604,365.424,111.132,229.303,362.627,59.0011,526.933,397.121,163.666,425.939,772.87,82.708,516.544,845.368,-13.3838,434.857,779.85,46.0818,328.148,731.304,66.09,354.816,851.894
4,0,,,,27.0665,509.047,229.837,-132.135,395.314,235.195,-5.46143,253.026,204.503,252.976,385.664,133.263,203.418,502.403,164.648,-63.0461,517.515,163.636,-125.24,404.935,152.819,119.294,520.988,464.212,-6.01603,529.432,510.846,-102.868,513.377,446.423,61.2245,454.908,563.69,66.8226,318.695,617.124,64.0505,246.366,477.76,13.6328,227.604,365.413,111.146,229.289,362.608,59.0052,526.947,397.134,163.675,425.947,772.87,82.703,516.536,845.375,-13.3712,434.853,779.839,46.1069,328.151,731.257,66.0953,354.807,851.874
5,0,,,,27.0515,509.013,229.819,-132.123,395.296,235.171,-5.4529,253.045,204.514,252.972,385.656,133.261,203.407,502.418,164.668,-63.0547,517.542,163.634,-125.249,405.013,152.849,119.302,520.988,464.198,-5.98927,529.451,510.842,-102.849,513.412,446.432,61.2374,454.921,563.666,66.842,318.698,617.135,64.066,246.371,477.795,13.6549,227.63,365.388,111.159,229.29,362.658,59.0118,526.957,397.14,163.673,425.952,772.864,82.7009,516.538,845.381,-13.3577,434.842,779.818,46.1346,328.179,731.265,66.0927,354.805,851.868
6,0,,,,27.0554,508.961,229.785,-132.12,395.326,235.179,-5.45544,253.043,204.501,252.978,385.663,133.268,203.407,502.419,164.642,-63.053,517.564,163.642,-125.243,405.075,152.833,119.325,520.999,464.188,-5.96484,529.471,510.838,-102.83,513.438,446.428,61.2666,454.987,563.661,66.8628,318.693,617.126,64.0829,246.378,477.786,13.6591,227.655,365.367,111.163,229.283,362.655,59.0276,526.966,397.132,163.679,425.965,772.861,82.7011,516.53,845.382,-13.3461,434.845,779.812,46.1657,328.199,731.218,66.0982,354.799,851.854
7,0,,,,27.0763,508.914,229.753,-132.123,395.365,235.188,-5.45761,253.061,204.476,252.973,385.649,133.241,203.43,502.431,164.646,-63.0393,517.574,163.643,-125.217,405.079,152.726,119.357,521.007,464.175,-5.93335,529.489,510.828,-102.797,513.455,446.422,61.2984,455.057,563.679,66.8827,318.708,617.106,64.0896,246.391,477.769,13.6669,227.689,365.32,111.151,229.294,362.629,59.0576,526.984,397.109,163.704,425.98,772.879,82.719,516.529,845.39,-13.3311,434.847,779.809,46.1793,328.225,731.208,66.1138,354.798,851.846
8,0,,,,27.0933,508.853,229.695,-132.119,395.398,235.195,-5.45296,253.078,204.508,252.98,385.645,133.237,203.445,502.413,164.634,-63.0202,517.567,163.611,-125.217,405.118,152.686,119.385,521.003,464.149,-5.90048,529.495,510.812,-102.775,513.465,446.414,61.3076,455.093,563.681,66.9049,318.733,617.124,64.0964,246.413,477.776,13.6762,227.723,365.296,111.148,229.303,362.631,59.0726,526.978,397.083,163.724,425.982,772.888,82.7491,516.523,845.411,-13.3024,434.846,779.814,46.2116,328.248,731.217,66.1405,354.795,851.849
9,0,,,,27.1147,508.802,229.634,-132.117,395.419,235.203,-5.4415,253.068,204.544,253.002,385.662,133.264,203.475,502.408,164.587,-62.9868,517.542,163.572,-125.171,405.104,152.598,119.408,521.002,464.112,-5.86698,529.496,510.788,-102.747,513.453,446.393,61.3375,455.122,563.665,66.9192,318.756,617.128,64.105,246.413,477.768,13.6863,227.748,365.259,111.149,229.305,362.627,59.0788,526.964,397.048,163.747,425.987,772.881,82.788,516.516,845.418,-13.2783,434.849,779.823,46.2457,328.271,731.2,66.183,354.791,851.832
