Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,252.975,361.196,239.821,24.9279,498.413,222.705,-137.219,390.673,235.546,-12.8239,243.238,218.898,249.702,367.401,140.042,201.625,483.202,160.242,-64.1313,504.314,154.853,,,,113.99,513.582,478.994,-9.98092,520.359,529.011,-108.499,507.173,466.65,53.2367,446.365,569.742,60.6356,312.607,620.263,58.6432,240.244,482.338,5.75937,226.399,369.495,102.944,227.496,365.594,54.0062,519.317,403.725,154.886,443.585,775.2,68.556,538.954,833.794,-22.6388,443.445,781.311,43.4161,335.108,748.649,60.8931,379.53,864.135
2,0,252.969,361.227,239.825,24.9244,498.428,222.712,-137.22,390.692,235.554,-12.8283,243.239,218.891,249.694,367.419,140.041,201.622,483.217,160.251,-64.1334,504.315,154.855,,,,114.004,513.587,478.991,-9.96845,520.37,529.009,-108.491,507.186,466.661,53.2596,446.374,569.737,60.6519,312.62,620.266,58.6422,240.26,482.336,5.74766,226.418,369.488,102.934,227.499,365.599,54.0118,519.325,403.727,154.921,443.598,775.181,68.6156,538.982,833.774,-22.586,443.476,781.308,43.4476,335.136,748.633,60.9363,379.564,864.128
3,0,252.96,361.228,239.84,24.9122,498.41,222.69,-137.228,390.671,235.535,-12.8326,243.235,218.884,249.689,367.393,140.051,201.715,483.416,160.748,-64.1379,504.311,154.84,,,,114.016,513.586,478.976,-9.9552,520.383,529.001,-108.485,507.21,466.662,53.2771,446.379,569.727,60.6698,312.624,620.274,58.6485,240.257,482.337,5.7512,226.413,369.473,102.925,227.496,365.596,54.013,519.329,403.714,154.964,443.587,775.149,68.676,539.001,833.757,-22.5484,443.513,781.314,43.4691,335.151,748.645,60.9783,379.591,864.137
4,0,252.949,361.193,239.831,24.9098,498.398,222.689,-137.225,390.659,235.53,-12.8381,243.232,218.944,249.018,365.458,137.567,201.716,483.419,160.74,-64.1337,504.299,154.84,,,,114.025,513.582,478.958,-9.9409,520.388,528.998,-108.48,507.221,466.671,53.293,446.386,569.726,60.6744,312.636,620.266,58.6471,240.27,482.329,5.74005,226.412,369.518,102.932,227.496,365.585,54.0243,519.329,403.7,155.007,443.572,775.132,68.7383,539.023,833.745,-22.5039,443.54,781.322,43.4931,335.169,748.659,61.0249,379.618,864.148
5,0,252.951,361.183,239.813,24.9181,498.283,222.612,-137.227,390.657,235.531,-12.8304,243.225,218.909,249.033,365.487,137.593,201.727,483.409,160.734,-64.1367,504.302,154.837,,,,114.042,513.591,478.951,-9.92296,520.402,528.991,-108.462,507.225,466.667,53.2984,446.396,569.716,60.6876,312.653,620.25,58.6498,240.279,482.331,5.72663,226.428,369.5,102.911,227.495,365.589,54.0287,519.327,403.694,155.053,443.556,775.11,68.8116,539.043,833.725,-22.462,443.567,781.334,43.508,335.19,748.655,61.0705,379.643,864.147
6,0,252.968,361.188,239.822,24.9217,498.203,222.564,-137.224,390.647,235.532,-12.8274,243.216,218.919,249.083,365.583,137.717,201.728,483.424,160.75,-64.1298,504.279,154.823,,,,114.062,513.592,478.934,-9.90718,520.412,528.993,-108.45,507.239,466.666,53.3016,446.409,569.703,60.6907,312.664,620.27,58.6491,240.284,482.333,5.72654,226.435,369.48,102.914,227.498,365.576,54.0309,519.336,403.692,155.088,443.547,775.093,68.8792,539.067,833.711,-22.4115,443.59,781.341,43.5264,335.222,748.642,61.1173,379.67,864.146
7,0,252.986,361.159,239.808,24.9276,498.103,222.499,-137.224,390.614,235.529,-12.8202,243.212,218.941,249.692,367.368,140.034,201.732,483.418,160.734,-64.1284,504.266,154.812,,,,114.075,513.597,478.923,-9.88964,520.423,528.988,-108.429,507.247,466.661,53.3136,446.423,569.705,60.6971,312.685,620.277,58.6497,240.296,482.332,5.72163,226.454,369.483,102.916,227.513,365.561,54.0407,519.336,403.688,155.122,443.539,775.078,68.9502,539.096,833.7,-22.3709,443.621,781.357,43.5351,335.239,748.665,61.1621,379.697,864.154
8,0,252.992,361.175,239.829,24.9316,498.05,222.474,-137.223,390.595,235.518,-12.8116,243.2,218.967,249.697,367.368,140.032,201.728,483.409,160.726,-64.1325,504.262,154.809,,,,114.085,513.6,478.915,-9.87914,520.435,528.993,-108.426,507.258,466.677,53.3233,446.435,569.707,60.7114,312.692,620.276,58.6528,240.305,482.345,5.72338,226.45,369.514,102.907,227.517,365.608,54.0552,519.343,403.688,155.152,443.543,775.073,69.0079,539.114,833.69,-22.3342,443.652,781.368,43.5551,335.256,748.675,61.2041,379.723,864.149
9,0,252.985,361.176,239.831,24.9321,497.995,222.436,-137.216,390.613,235.536,-12.8152,243.213,218.914,249.702,367.378,140.051,201.729,483.439,160.734,-64.1306,504.273,154.818,,,,114.082,513.616,478.92,-9.88062,520.445,528.991,-108.426,507.276,466.673,53.3266,446.449,569.702,60.7157,312.709,620.262,58.6562,240.318,482.345,5.72511,226.463,369.498,102.908,227.527,365.602,54.0523,519.365,403.703,155.173,443.555,775.059,69.062,539.136,833.68,-22.2811,443.66,781.377,43.5744,335.28,748.651,61.2425,379.746,864.144
