Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
193,0,247.421,352.235,240.955,16.6058,483.214,220.462,-143.034,373.052,237.417,-15.5259,228.913,223.274,241.478,354.12,140.351,193.251,470.789,158.135,-72.8714,486.413,153.577,,,,107.91,510.414,477.823,-16.0551,518.097,527.649,-114.511,502.284,465.676,49.5823,446.43,570.425,58.1605,313.282,625.399,54.5308,235.341,488.45,1.47833,218.949,375.723,98.795,220.416,371.621,47.5058,514.039,401.793,149.484,451.927,773.505,59.9712,545.556,830.6,-28.2538,447.429,777.588,40.8175,340.664,746.398,55.9154,386.377,861.563
194,0,247.453,352.193,240.937,16.6146,483.186,220.472,-143.028,373.038,237.413,-15.5145,228.895,223.251,241.501,354.09,140.323,193.255,470.777,158.135,-72.861,486.397,153.612,,,,107.923,510.414,477.821,-16.0396,518.084,527.642,-114.493,502.266,465.677,49.5937,446.439,570.414,58.1865,313.284,625.396,54.5546,235.336,488.445,1.49658,218.928,375.733,98.8156,220.392,371.639,47.5205,514.034,401.791,149.516,451.897,773.509,60.0129,545.532,830.616,-28.2247,447.417,777.603,40.839,340.659,746.376,55.9514,386.349,861.555
195,0,247.464,352.161,240.922,16.6188,483.163,220.475,-143.022,373.006,237.42,-15.5071,228.887,223.255,241.498,354.085,140.303,193.357,471.014,158.707,-72.8762,486.38,153.628,,,,107.943,510.403,477.8,-16.0195,518.065,527.636,-114.477,502.245,465.674,49.6006,446.449,570.432,58.2181,313.289,625.397,54.5875,235.33,488.456,1.51922,218.917,375.746,98.8223,220.375,371.662,47.5316,514.028,401.793,149.546,451.866,773.512,60.0549,545.514,830.622,-28.195,447.412,777.604,40.8545,340.654,746.38,55.9798,386.33,861.547
196,0,247.477,352.126,240.89,16.6191,483.145,220.464,-143.019,373.001,237.428,-15.4937,228.874,223.267,241.507,354.076,140.273,193.352,471.005,158.694,-72.8747,486.367,153.628,,,,107.954,510.394,477.776,-15.9987,518.058,527.623,-114.462,502.227,465.667,49.6253,446.451,570.408,58.2438,313.286,625.405,54.611,235.324,488.457,1.55184,218.901,375.734,98.854,220.373,371.646,47.5424,514.01,401.764,149.563,451.849,773.505,60.0944,545.504,830.618,-28.1593,447.418,777.593,40.8707,340.64,746.382,56.0013,386.318,861.533
197,0,247.495,352.115,240.879,16.6259,483.131,220.455,-143.017,372.971,237.413,-15.4873,228.881,223.19,241.51,354.095,140.272,193.353,471.025,158.69,-72.8695,486.371,153.623,,,,107.971,510.385,477.758,-15.9888,518.021,527.606,-114.449,502.207,465.653,49.6439,446.466,570.4,58.2781,313.282,625.409,54.6436,235.311,488.448,1.56952,218.885,375.735,98.8791,220.363,371.602,47.5541,513.983,401.739,149.589,451.844,773.495,60.1142,545.504,830.603,-28.1349,447.43,777.586,40.8869,340.652,746.36,56.0169,386.323,861.527
198,0,247.478,352.15,240.89,16.6224,483.159,220.475,-143.003,372.981,237.41,-15.4772,228.884,223.185,241.5,354.098,140.263,193.356,471.031,158.689,-72.8699,486.391,153.627,,,,107.98,510.387,477.738,-15.982,517.998,527.6,-114.442,502.189,465.655,49.6708,446.475,570.393,58.3055,313.282,625.407,54.6694,235.309,488.448,1.59293,218.867,375.764,98.897,220.358,371.608,47.561,513.973,401.728,149.609,451.844,773.495,60.1326,545.523,830.593,-28.1051,447.44,777.572,40.9074,340.653,746.38,56.0291,386.338,861.531
199,0,247.464,352.175,240.902,16.623,483.18,220.488,-143.004,373.01,237.411,-15.4864,228.872,223.228,241.48,354.109,140.242,193.363,471.04,158.681,-72.861,486.395,153.616,,,,107.983,510.386,477.724,-15.9748,517.982,527.597,-114.438,502.186,465.647,49.6957,446.476,570.382,58.3304,313.273,625.396,54.6878,235.299,488.448,1.61181,218.848,375.765,98.9205,220.346,371.612,47.5667,513.981,401.716,149.617,451.851,773.47,60.1535,545.55,830.565,-28.0675,447.462,777.55,40.9282,340.654,746.388,56.0509,386.367,861.532
200,0,247.469,352.169,240.902,16.6332,483.179,220.486,-143.006,373.009,237.398,-15.4919,228.862,223.247,241.481,354.1,140.225,193.362,471.044,158.687,-72.8541,486.397,153.613,,,,107.989,510.384,477.705,-15.9643,517.959,527.583,-114.426,502.174,465.639,49.7027,446.498,570.376,58.3528,313.272,625.399,54.714,235.297,488.43,1.63015,218.842,375.77,98.9307,220.341,371.582,47.5715,513.973,401.704,149.635,451.861,773.445,60.1816,545.584,830.532,-28.0437,447.482,777.544,40.9542,340.658,746.412,56.0852,386.404,861.528
201,0,247.477,352.147,240.9,16.6496,483.163,220.481,-142.995,373.025,237.406,-15.4876,228.874,223.167,241.48,354.09,140.224,193.374,471.047,158.7,-72.8393,486.4,153.609,,,,108.018,510.378,477.695,-15.9489,517.94,527.582,-114.403,502.165,465.635,49.7229,446.508,570.378,58.3734,313.275,625.385,54.7194,235.288,488.432,1.6309,218.841,375.731,98.9353,220.339,371.595,47.586,513.981,401.7,149.672,451.872,773.425,60.2225,545.611,830.512,-28.004,447.506,777.544,40.9794,340.671,746.418,56.1349,386.443,861.528
