Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,248.381,338.861,232.183,18.8271,472.691,223.631,-142.011,363.138,232.224,-16.5614,218.371,209.306,242.284,347.578,138.492,195.069,463.458,159.681,-70.9149,482.334,157.682,-136.17,369.255,146.527,115.293,493.654,473.121,-8.99025,504.875,521.895,-107.251,493.26,458.882,56.0589,431.157,571.682,58.1412,293.248,622.22,51.7408,219.416,482.039,-0.713508,206.057,368.186,96.6529,204.266,365.235,56.0825,499.043,404.67,162.132,417.238,772.101,80.647,513.763,836.392,-15.6297,423.677,782.848,45.312,314.299,744.49,67.7791,353.94,860.689
2,0,248.353,338.9,232.184,18.8171,472.703,223.642,-142.016,363.126,232.201,-16.5686,218.375,209.279,242.28,347.581,138.484,195.054,463.463,159.689,-70.928,482.34,157.681,-136.227,369.445,146.722,115.292,493.636,473.125,-8.99104,504.862,521.895,-107.274,493.073,458.891,56.0803,431.125,571.675,58.1476,293.228,622.215,51.7446,219.396,482.041,-0.925437,205.387,369.354,96.6632,204.259,365.201,56.0783,499.048,404.685,162.139,417.234,772.077,80.6621,513.759,836.376,-15.611,423.659,782.85,45.3382,314.285,744.501,67.8136,353.934,860.692
3,0,248.326,338.921,232.217,18.8043,472.733,223.667,-142.016,363.121,232.215,-16.5729,218.384,209.261,242.26,347.579,138.506,195.15,463.687,160.195,-70.9355,482.372,157.701,-136.246,369.552,146.823,115.29,493.63,473.135,-8.99078,504.861,521.905,-107.268,493.074,458.906,56.0955,431.115,571.672,58.1671,293.212,622.217,51.7515,219.384,482.032,-0.921412,205.374,369.352,96.6494,204.242,365.238,56.0778,499.053,404.695,162.143,417.234,772.051,80.6827,513.753,836.363,-15.5868,423.647,782.86,45.3667,314.261,744.51,67.8492,353.927,860.695
4,0,248.331,338.929,232.218,18.8041,472.741,223.678,-142.013,363.144,232.233,-16.5701,218.36,209.37,242.273,347.591,138.506,195.146,463.68,160.188,-70.9376,482.379,157.703,-135.815,371.198,149.826,115.303,493.624,473.135,-8.97536,504.847,521.914,-107.258,493.066,458.916,56.1114,431.1,571.685,58.1887,293.202,622.204,51.7673,219.37,482.023,-0.922401,205.366,369.351,96.6697,204.245,365.168,56.0888,499.049,404.7,162.169,417.228,772.033,80.7129,513.75,836.352,-15.5552,423.636,782.855,45.3925,314.247,744.53,67.8901,353.922,860.7
5,0,248.339,338.908,232.206,18.8065,472.713,223.67,-142.024,363.151,232.239,-16.5612,219.096,206.062,242.274,347.628,138.51,195.15,463.68,160.179,-70.9339,482.361,157.703,-136.249,369.492,146.774,115.316,493.608,473.137,-8.9525,504.825,521.919,-107.216,493.207,458.913,56.1353,431.08,571.679,58.2108,293.191,622.204,51.7812,219.368,482.017,-0.684462,206.025,368.135,96.6833,204.251,365.148,56.1035,499.033,404.707,162.221,417.223,772.04,80.7344,513.743,836.344,-15.5329,423.622,782.869,45.4235,314.232,744.544,67.9277,353.916,860.71
6,0,248.351,338.881,232.192,18.8175,472.69,223.665,-142.022,363.173,232.266,-16.5532,219.088,206.047,242.25,347.636,138.447,195.153,463.677,160.168,-70.9257,482.361,157.706,-135.845,371.044,149.635,115.341,493.596,473.124,-8.92334,504.801,521.93,-107.214,493.036,458.943,56.1565,431.075,571.683,58.2411,293.187,622.196,51.7968,219.359,482.012,-0.873296,205.423,369.244,96.6853,204.244,365.148,56.1292,499.018,404.705,162.278,417.2,772.057,80.7594,513.729,836.346,-15.5011,423.614,782.874,45.4489,314.213,744.57,67.9713,353.903,860.71
7,0,248.384,338.852,232.183,18.825,472.67,223.657,-142.027,363.158,232.247,-16.5473,219.092,206.058,242.245,347.665,138.454,195.163,463.694,160.166,-70.9301,482.358,157.708,-136.171,369.288,146.528,115.365,493.582,473.118,-8.89906,504.784,521.94,-107.197,493.023,458.955,56.1723,431.064,571.69,58.2752,293.178,622.186,51.8111,219.354,482.015,-0.855535,205.448,369.208,96.6966,204.236,365.133,56.1422,499.018,404.717,162.324,417.17,772.063,80.7944,513.712,836.354,-15.4625,423.603,782.878,45.4839,314.2,744.563,68.0052,353.887,860.714
8,0,248.408,338.839,232.185,18.8277,472.662,223.647,-142.028,363.169,232.261,-16.542,218.306,209.569,242.23,347.675,138.467,195.163,463.695,160.147,-70.9228,482.352,157.698,-136.154,369.196,146.441,115.388,493.566,473.107,-8.88086,504.774,521.949,-107.177,493.013,458.969,56.1985,431.054,571.68,58.3117,293.168,622.173,51.8269,219.351,482.005,-0.671395,205.988,368.167,96.7069,204.24,365.137,56.1487,499.011,404.719,162.361,417.157,772.068,80.8325,513.696,836.356,-15.4275,423.592,782.886,45.5072,314.188,744.557,68.0467,353.866,860.71
9,0,248.387,338.815,232.148,18.8257,472.668,223.655,-142.021,363.164,232.257,-16.5333,219.076,206.068,242.222,347.691,138.434,195.164,463.701,160.149,-70.9232,482.36,157.698,-136.16,369.262,146.524,115.394,493.567,473.118,-8.86726,504.765,521.967,-107.17,493.015,458.987,56.2251,431.046,571.688,58.3333,293.154,622.164,51.8436,219.34,482.014,-0.657517,205.986,368.184,96.7186,204.223,365.127,56.1582,499.006,404.724,162.377,417.138,772.057,80.8767,513.682,836.36,-15.3886,423.581,782.895,45.5385,314.169,744.547,68.0788,353.852,860.714
