Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,248.226,348.898,233.905,21.4748,488.02,219.244,-141.159,382.188,233.69,-18.474,234.645,215.687,242.487,353.171,141.919,197.215,472.158,155.29,-68.3218,495.814,153.065,,,,114.488,504.496,480.876,-9.95467,513.791,529.478,-107.933,503.821,465.829,54.495,441.55,572.343,56.387,303.461,621.667,52.444,231.655,481.587,0.506092,220.952,367.033,97.7287,219.599,364.385,55.3563,512.099,405.457,156.803,427.493,777.443,74.0787,524.428,838.97,-20.778,433.381,784.904,41.2512,323.565,749.356,61.0614,364.794,865.639
2,0,248.224,348.9,233.918,21.4615,488.012,219.251,-141.116,382.093,233.626,-18.473,234.619,215.717,242.471,353.17,141.916,197.2,472.151,155.306,-68.3373,495.781,153.064,,,,114.491,504.454,480.889,-9.94884,513.743,529.501,-107.932,503.789,465.859,54.5181,441.503,572.358,56.4176,303.398,621.644,52.4555,231.611,481.569,0.516303,220.934,367.027,97.7357,219.565,364.41,55.3567,512.074,405.479,156.806,427.456,777.428,74.0903,524.393,838.96,-20.7826,433.344,784.922,41.2907,323.498,749.392,61.1014,364.762,865.655
3,0,248.232,348.891,233.92,21.4687,487.969,219.235,-141.118,382.074,233.639,-18.4604,234.613,215.65,242.491,353.146,141.925,197.319,472.355,155.826,-68.33,495.755,153.066,,,,114.508,504.414,480.905,-9.93856,513.691,529.522,-107.915,503.781,465.875,54.5277,441.443,572.374,56.4417,303.339,621.624,52.4797,231.577,481.55,0.520182,220.913,366.996,97.75,219.551,364.325,55.3569,512.058,405.505,156.833,427.411,777.438,74.1111,524.35,838.955,-20.6619,433.095,785.079,41.3256,323.45,749.391,61.1448,364.723,865.671
4,0,248.229,348.872,233.92,21.4862,487.895,219.213,-140.986,381.492,233.906,-18.4551,234.59,215.678,242.543,353.106,141.911,197.334,472.341,155.838,-68.3093,495.711,153.063,,,,114.534,504.355,480.91,-9.91675,513.636,529.538,-107.901,503.692,465.896,54.5339,441.388,572.395,56.4604,303.288,621.624,52.4935,231.539,481.551,0.525727,220.87,367.038,97.7573,219.531,364.303,55.3576,512.01,405.512,156.893,427.358,777.457,74.1461,524.287,838.963,-20.6274,433.028,785.096,41.3612,323.402,749.4,61.1913,364.664,865.684
5,0,248.252,348.847,233.915,21.5151,487.819,219.174,-141.329,382.007,234.207,-18.4435,234.561,215.7,242.592,353.087,141.898,197.354,472.289,155.819,-68.3084,495.651,153.031,,,,114.552,504.297,480.899,-9.89473,513.577,529.55,-107.876,503.642,465.901,54.5419,441.365,572.4,56.485,303.235,621.632,52.5087,231.5,481.535,0.539304,220.817,367.082,97.7756,219.483,364.298,55.3755,511.949,405.512,156.931,427.291,777.436,74.1764,524.218,838.969,-20.6038,432.955,785.111,41.3862,323.34,749.408,61.2401,364.579,865.682
6,0,248.289,348.826,233.903,21.5237,487.769,219.161,-141.024,381.503,233.912,-18.436,234.542,215.659,242.639,353.076,141.901,197.373,472.252,155.799,-68.2971,495.61,153.027,,,,114.569,504.242,480.886,-9.87344,513.52,529.553,-107.818,503.699,465.854,54.5472,441.346,572.403,56.5093,303.205,621.619,52.5277,231.482,481.508,0.560865,220.786,367.064,97.78,219.453,364.302,55.3908,511.891,405.496,156.98,427.222,777.425,74.2096,524.151,838.982,-20.5816,432.889,785.116,41.4083,323.28,749.377,61.2719,364.497,865.686
7,0,248.279,348.816,233.897,21.519,487.748,219.172,-141.146,381.96,233.69,-18.4327,234.513,215.609,242.631,353.058,141.87,197.365,472.248,155.806,-68.2967,495.579,153.017,,,,114.577,504.201,480.887,-9.8677,513.477,529.555,-107.856,503.546,465.908,54.5538,441.309,572.426,56.5317,303.159,621.624,52.5532,231.448,481.511,0.563432,220.73,367.081,97.8011,219.413,364.26,55.3914,511.864,405.495,157.007,427.119,777.416,74.2462,524.069,839.008,-20.5545,432.826,785.125,41.4169,323.22,749.36,61.2935,364.414,865.689
8,0,248.253,348.802,233.893,21.5028,487.742,219.187,-141.15,381.928,233.705,-18.4249,234.482,215.552,242.569,353.07,141.836,197.348,472.265,155.804,-68.31,495.571,153.036,,,,114.561,504.17,480.886,-9.87853,513.447,529.561,-107.829,503.602,465.874,54.5651,441.272,572.423,56.5545,303.118,621.619,52.5652,231.411,481.516,0.574804,220.664,367.102,97.8146,219.365,364.26,55.367,511.844,405.498,156.997,427.021,777.395,74.2788,523.985,839.032,-20.5219,432.772,785.119,41.4364,323.155,749.322,61.31,364.314,865.666
9,0,248.231,348.796,233.869,21.4762,487.756,219.224,-141.164,381.902,233.726,-18.412,234.46,215.567,242.501,353.082,141.816,197.33,472.265,155.811,-68.3363,495.554,153.045,,,,114.543,504.136,480.876,-9.88355,513.416,529.566,-107.839,503.575,465.885,54.8076,441.319,572.049,56.5773,303.084,621.622,52.5761,231.382,481.516,0.595638,220.621,367.12,97.844,219.326,364.262,55.3461,511.821,405.509,156.995,426.929,777.399,74.313,523.9,839.071,-20.4899,432.722,785.124,41.4502,323.097,749.32,61.3171,364.235,865.659
