Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-6.56952,-7.21893,-621.047,-189340,11314.2,4623.6,68.218,383.488,7.86,1.77521,8.13751,-128.725,2652.01,773.439,1813.43,102.008,764.398,-478
1,1,-6.26434,-5.99823,-621.657,-191538,10764.9,4623.6,67.3165,386.723,7.86,7.26837,6.30646,-128.725,2926.67,-50.536,2637.4,95.6074,762.264,-478
1,2,-7.17987,-8.74481,-622.267,-189066,11222.7,4898.25,68.0351,382.448,7.86,2.69074,9.66339,-131.166,3292.88,-1973.14,1813.43,80.9569,759.895,-478
1,3,-4.73846,-7.52411,-622.267,-190164,12412.9,4898.25,69.9478,384.214,7.86,2.69074,9.35822,-128.725,3750.64,224.122,3186.72,97.7411,755.863,-478
1,4,-7.79022,-8.13446,-621.047,-189615,11131.1,4486.27,67.9231,383.93,7.86,-1.27655,8.13751,-128.725,3018.22,-874.511,2225.42,89.2064,761.553,-478
1,5,-6.87469,-7.21893,-626.54,-188791,11314.2,4760.92,68.0583,379.938,7.86,2.99591,10.2737,-128.115,2194.25,3520.02,1401.44,123.476,767.873,-478
1,6,-7.17987,-6.91375,-619.826,-189615,10490.2,6683.53,66.9245,384.531,7.86,2.69074,9.96857,-125.063,3292.88,-325.194,1538.77,93.3998,758.67,-478
1,7,-6.87469,-7.21893,-624.709,-188516,11405.8,4211.61,68.2577,380.382,7.86,1.77521,8.74786,-128.115,3109.77,224.122,2500.07,97.7494,760.727,-478
1,8,-3.51776,-6.91376,-622.878,-189340,11497.3,5584.9,68.4584,382.592,7.86,4.21662,9.35822,-126.894,4208.41,498.78,1813.43,99.9307,751.835,-478
1,9,-6.87469,-7.82928,-617.385,-189615,11314.2,3112.98,68.326,385.741,7.86,2.08039,11.4944,-128.115,3292.88,-1698.49,2637.4,82.7425,759.297,-478
2,0,-7.17987,-7.21893,-621.657,-189615,10673.3,5172.91,67.1692,383.63,7.86,2.08039,12.1048,-125.063,3292.88,1322.76,2225.42,106.577,758.67,-478
2,1,-7.17987,-6.91375,-619.826,-189890,11405.8,4486.27,68.4016,384.975,7.86,4.21662,8.44269,-128.725,3109.77,1322.76,2637.4,106.276,760.842,-478
2,2,-7.17987,-7.21893,-627.761,-193186,11039.6,4623.6,67.5856,386.353,7.86,2.69074,8.44269,-126.284,1919.59,1872.07,2362.75,110.824,769.799,-478
2,3,-5.95917,-7.21893,-621.047,-189340,11772,3387.63,68.9551,383.488,7.86,3.91144,9.05304,-125.673,3109.77,-50.536,2912.06,95.5979,760.255,-478
2,4,-6.56952,-8.13446,-622.267,-190164,11039.6,4898.25,67.7409,384.214,7.86,2.38556,8.13751,-129.946,3384.43,498.78,2088.09,99.8384,758.955,-478
2,5,-9.3161,-7.82928,-621.047,-188242,11588.9,4211.61,68.6602,381.719,7.86,0.859682,9.35822,-130.556,3109.77,498.78,3186.72,99.8204,761.181,-478
2,6,-6.56952,-6.91375,-625.319,-190714,10948,7507.51,67.5079,383.601,7.86,2.38556,6.91681,-129.335,3018.22,224.122,1538.77,97.7329,761.664,-478
2,7,-7.48505,-7.21893,-620.436,-189615,11680.4,4348.94,68.8262,384.23,7.86,2.38556,9.96857,-128.725,3018.22,-874.511,1401.44,89.2064,761.553,-478
2,8,-4.12811,-4.47235,-622.267,-190164,11314.2,5172.91,68.1822,384.214,7.86,4.52179,9.05304,-120.18,3109.77,224.122,1676.1,97.8649,759.124,-478
2,9,-7.79022,-6.91375,-620.436,-186319,11497.3,4486.27,68.531,378.918,7.86,2.69074,8.74786,-126.894,4208.41,-874.511,1950.76,89.1083,751.835,-478
3,0,-6.56952,-6.91375,-622.878,-190439,10856.5,5035.58,67.4295,384.355,7.86,2.69074,10.8841,-129.335,3018.22,-50.536,1950.76,95.6093,761.664,-478
3,1,-6.87469,-9.35516,-621.047,-187692,11405.8,5035.58,68.3654,380.834,7.86,2.08039,9.96857,-129.946,3384.43,-2522.46,2225.42,76.5884,758.955,-478
3,2,-4.73846,-7.21893,-621.047,-194009,11405.8,4486.27,68.3654,391.006,7.86,2.69074,10.2737,-126.284,2194.25,498.78,-383.837,99.9497,767.625,-478
3,3,-7.17987,-7.82928,-619.826,-189340,11131.1,3524.96,67.9585,384.088,7.86,2.38556,8.74786,-125.673,3201.33,2146.73,2637.4,113.082,759.527,-478
3,4,-6.26434,-7.52411,-621.047,-189066,11039.6,4486.27,67.7757,383.046,7.86,2.08039,4.4754,-128.115,3201.33,1322.76,2088.09,106.325,760.012,-478
3,5,-8.70575,-7.82928,-621.047,-189066,11222.7,4348.94,68.0706,383.046,7.86,2.38556,9.96857,-129.335,3201.33,224.122,4834.67,97.7329,760.248,-478
3,6,-6.87469,-7.52411,-624.709,-189340,11405.8,4486.27,68.2577,381.701,7.86,2.69074,12.1048,-127.504,3567.54,224.122,2912.06,97.7578,757.02,-478
3,7,-6.56952,-8.43963,-621.047,-189890,11222.7,4898.25,68.0706,384.372,7.86,-0.971373,12.7151,-126.284,3384.43,224.122,2500.07,97.7748,758.2,-478
3,8,-7.48504,-3.55682,-621.657,-190439,11314.2,4760.92,68.2001,384.956,7.86,1.77521,10.8841,-120.79,3109.77,5991.94,2637.4,145.606,759.255,-478
3,9,-9.01092,-7.52411,-621.657,-186868,10856.5,4486.27,67.4637,379.212,7.86,3.60626,8.44269,-127.504,3842.2,773.439,2912.06,102.066,754.866,-478
4,0,-7.17987,-6.3034,-621.657,-189340,11314.2,5172.91,68.2001,383.189,7.86,2.99591,9.05304,-128.725,3292.88,224.122,1950.76,97.7411,759.419,-478
4,1,-8.70575,-6.91375,-620.436,-187967,11680.4,5310.24,68.8262,381.574,7.86,2.38556,11.4944,-128.725,3018.22,-4719.73,1950.76,59.3348,761.553,-478
4,2,-5.34881,-6.91376,-623.488,-189615,10673.3,4760.92,67.1188,382.735,7.86,2.08039,8.44269,-129.946,3018.22,498.78,302.809,99.8384,761.773,-478
4,3,-6.56952,-6.91375,-620.436,-189890,11314.2,4623.6,68.2359,384.673,7.86,1.16486,9.05304,-129.946,2652.01,1322.76,1676.1,106.179,764.591,-478
4,4,-6.26434,-6.60858,-622.267,-189890,10948,4211.61,67.5937,383.773,7.86,5.43732,5.69611,-128.725,3018.22,-325.194,1676.1,93.4737,761.553,-478
4,5,-6.56952,-7.82928,-628.371,-189615,10948,4760.92,67.4228,380.371,7.86,2.38556,8.44269,-129.946,3475.98,1048.1,2362.75,104.066,758.251,-478
4,6,-6.87469,-8.43963,-622.267,-189066,12596,4074.28,70.242,382.448,7.86,2.69074,8.13751,-128.115,3659.09,773.439,3461.38,102.037,756.439,-478
4,7,-6.26434,-8.43963,-621.657,-189615,11405.8,4486.27,68.3474,383.63,7.86,-0.971373,9.66339,-126.894,3109.77,-599.852,2088.09,91.2728,760.493,-478
4,8,-5.95917,-7.82928,-616.164,-188791,11772,4486.27,69.1053,385.012,7.86,2.08039,10.2737,-129.335,4025.3,-50.536,1950.76,95.6093,753.877,-478
4,9,-6.87469,-6.91375,-622.267,-189066,10581.8,7095.52,67.0052,382.448,7.86,2.38556,8.44269,-128.725,3201.33,-50.536,1264.11,95.6074,760.131,-478
5,0,-6.56952,-6.3034,-621.657,-188242,11405.8,4486.27,68.3474,381.421,7.86,2.08039,9.66339,-126.894,3018.22,1048.1,2637.4,104.26,761.215,-478
5,1,-1.38153,-6.60858,-621.047,-189340,11222.7,5310.24,68.0706,383.488,7.86,5.13214,9.05304,-128.115,3201.33,-50.536,1950.76,95.6055,760.012,-478
5,2,-6.87469,-8.13446,-617.995,-189066,11497.3,3112.98,68.6042,384.549,7.86,1.77521,10.5789,-129.335,3292.88,-1973.14,2774.73,80.744,759.54,-478
5,3,-5.95917,-7.82928,-621.047,-189890,10673.3,4898.25,67.1861,384.372,7.86,2.08039,10.2737,-126.284,3384.43,224.122,2912.06,97.7748,758.2,-478
5,4,-10.842,-7.52411,-619.826,-189340,11131.1,4211.61,67.9585,384.088,7.86,0.24933,11.1893,-136.049,3384.43,-50.536,2500.07,95.6286,760.123,-478
5,5,-6.26434,-6.60858,-627.15,-191263,11039.6,4486.27,67.6027,383.586,7.86,2.08039,10.8841,-128.725,2102.69,2696.05,1950.76,116.944,768.665,-478
5,6,-6.56952,-7.82928,-621.047,-189615,11772,5310.24,68.9551,383.93,7.86,3.30109,11.1893,-126.284,3109.77,224.122,1950.76,97.7748,760.375,-478
5,7,-6.87469,-6.3034,-624.709,-189340,11405.8,4348.94,68.2577,381.701,7.86,2.69074,8.44269,-121.401,3018.22,773.439,2362.75,102.371,760.138,-478
5,8,-6.56952,-7.82928,-621.047,-187692,11222.7,4348.94,68.0706,380.834,7.86,3.30109,7.52716,-130.556,4574.62,224.122,3598.71,97.7167,749.961,-478
5,9,-6.26434,-6.60858,-622.878,-189340,11222.7,5447.57,68.0174,382.592,7.86,2.38556,6.61163,-131.777,2835.11,-1149.17,2362.75,87.2794,763.485,-478
6,0,-7.48505,-7.52411,-623.488,-188242,11131.1,5172.91,67.853,380.532,7.86,1.77521,13.6307,-129.946,3201.33,224.122,2225.42,97.7247,760.364,-478
6,1,-5.34882,-8.43963,-622.878,-190164,11680.4,4898.25,68.7524,383.915,7.86,2.99591,9.05304,-129.335,3018.22,-874.511,577.467,89.2384,761.664,-478
6,2,-7.17987,-7.21893,-618.605,-193186,11314.2,4623.6,68.2899,390.907,7.86,2.08039,9.05304,-129.946,2835.11,1597.41,1401.44,108.293,763.182,-478
6,3,-6.56952,-6.60858,-621.657,-189066,10948,2838.32,67.611,382.747,7.86,2.38556,3.86505,-129.335,3109.77,773.439,2500.07,101.98,760.956,-478
6,4,-6.56952,-7.52411,-621.657,-189890,11314.2,4760.92,68.2001,384.072,7.86,2.38556,9.35822,-136.049,3475.98,-1973.14,2088.09,81.4968,759.451,-478
6,5,-7.17987,-7.52411,-621.657,-187143,12412.9,4074.28,69.9674,379.654,7.86,1.16486,11.1893,-126.894,3109.77,-50.536,3461.38,95.6018,760.493,-478
6,6,-7.79022,-8.13446,-622.878,-189615,11314.2,5584.9,68.1644,383.033,7.86,2.99591,9.66339,-129.335,3018.22,-874.511,2500.07,89.2384,761.664,-478
6,7,-7.48505,-7.82928,-621.657,-190164,11314.2,4348.94,68.2001,384.514,7.86,2.38556,9.96857,-128.725,3292.88,2146.73,1401.44,112.677,759.419,-478
6,8,-6.56952,-5.0827,-622.267,-189615,10764.9,4623.6,67.2995,383.331,7.86,3.30109,10.5789,-123.842,3292.88,-50.536,2774.73,95.5919,758.411,-478
6,9,-5.95917,-7.21893,-621.047,-187143,11588.9,4623.6,68.6602,379.95,7.86,2.99591,10.8841,-127.504,3750.64,498.78,2362.75,99.9119,755.584,-478
7,0,-7.79022,-6.3034,-621.657,-190439,11131.1,5447.57,67.9056,384.956,7.86,3.30109,13.9359,-126.284,3018.22,773.439,2500.07,102.125,761.1,-478
7,1,-7.48505,-9.35516,-615.554,-188516,10673.3,4348.94,67.3394,384.87,7.86,1.77521,10.5789,-129.946,3384.43,-4719.73,2362.75,59.6792,758.955,-478
7,2,-5.95917,-8.13446,-622.878,-191263,10856.5,4486.27,67.4295,385.678,7.86,2.38556,10.5789,-128.725,3109.77,498.78,1264.11,99.8748,760.842,-478
