Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,268.675,343.43,242.358,35.3065,469.95,220.13,-122.566,357.603,238.134,8.36824,215.094,224.682,267.971,352.841,135.088,212.508,460.324,158.353,-53.9204,470.991,152.988,-115.074,350.092,145.028,124.737,502.017,487.412,-0.323631,509.319,534.847,-97.2992,488.599,472.386,70.878,443.303,568.116,79.338,310.823,630.525,77.2087,229.138,508.148,26.2538,205.189,397.517,123.285,208.058,395.349,68.5711,506.183,395.65,167.425,425.973,776.028,78.2915,513.41,844.571,-10.8379,423.343,778.723,57.5327,319.9,734.292,72.7062,350.853,854.87
2,0,268.65,343.451,242.342,35.3099,469.974,220.141,-122.815,358.835,238.695,8.37986,215.109,224.67,267.95,352.839,135.067,212.503,460.323,158.351,-53.9219,471.007,153.002,-115.066,350.084,145.046,124.758,502.086,487.405,-0.306276,509.381,534.834,-97.1986,488.661,472.343,71.2542,442.709,567.562,79.3831,310.894,630.55,77.2314,229.19,508.189,26.2667,205.224,397.556,123.305,208.1,395.377,68.5777,506.272,395.656,167.477,426.034,775.989,78.362,513.468,844.576,-10.7921,423.416,778.727,57.5728,319.974,734.282,72.752,350.916,854.864
3,0,268.635,343.468,242.329,35.3055,469.974,220.143,-122.801,358.864,238.722,8.38713,215.107,224.714,267.94,352.868,135.093,212.47,460.56,158.941,-53.9258,471.021,153.007,-115.064,350.069,145.045,124.783,502.137,487.384,-0.284853,509.437,534.82,-97.1736,488.718,472.333,71.2703,442.785,567.552,79.411,310.943,630.57,77.2536,229.234,508.196,26.2783,205.26,397.561,123.322,208.123,395.396,68.5923,506.326,395.648,167.52,426.097,775.956,78.4262,513.522,844.576,-10.739,423.495,778.742,57.6089,320.031,734.282,72.8013,350.981,854.855
4,0,268.644,343.467,242.32,35.3061,469.987,220.147,-122.806,358.873,238.728,8.38103,215.116,224.767,267.94,352.864,135.099,212.481,460.573,158.938,-53.9206,471.024,153.016,-115.071,350.081,145.059,124.806,502.179,487.364,-0.254533,509.499,534.797,-97.4602,488.674,472.363,71.2667,443.079,567.608,79.4315,311.008,630.57,77.2604,229.275,508.194,26.2664,205.289,397.57,123.326,208.148,395.376,68.617,506.38,395.646,167.585,426.169,775.957,78.484,513.577,844.578,-10.689,423.581,778.751,57.648,320.107,734.267,72.8521,351.041,854.846
5,0,268.684,343.455,242.343,35.3345,469.988,220.154,-122.788,358.868,238.754,8.37826,215.114,224.767,267.992,352.86,135.141,212.493,460.563,158.932,-53.9026,471.004,153.009,-115.063,350.088,145.074,124.848,502.217,487.354,-0.201832,509.525,534.785,-97.1166,488.823,472.312,70.9885,443.53,568.06,79.4438,311.064,630.592,77.2618,229.295,508.24,26.2751,205.32,397.565,123.328,208.189,395.374,68.6667,506.419,395.638,167.626,426.218,775.947,78.545,513.639,844.577,-10.6367,423.666,778.742,57.6872,320.193,734.228,72.9035,351.103,854.845
6,0,268.722,343.413,242.333,35.3607,469.973,220.139,-122.529,357.649,238.2,8.36974,215.121,224.772,268.016,352.82,135.087,212.528,460.56,158.917,-53.8723,470.999,152.99,-115.056,350.092,145.054,124.891,502.244,487.337,-0.209324,509.214,534.804,-97.0825,488.868,472.302,71.038,443.56,568.026,79.4563,311.099,630.614,77.264,229.305,508.293,26.2739,205.351,397.567,123.328,208.211,395.382,68.7136,506.434,395.615,167.659,426.248,775.915,78.6138,513.699,844.552,-10.589,423.736,778.736,57.7286,320.258,734.196,72.951,351.168,854.849
7,0,268.762,343.384,242.346,35.378,469.967,220.139,-122.779,358.888,238.746,8.35695,215.13,224.789,268.07,352.8,135.092,212.555,460.544,158.914,-53.8529,471.007,152.991,-115.068,350.129,145.05,124.932,502.261,487.322,-0.101684,509.548,534.76,-97.0477,488.909,472.283,71.3654,443.087,567.548,79.4761,311.136,630.623,77.2643,229.317,508.328,26.2709,205.379,397.563,123.326,208.239,395.378,68.7634,506.441,395.61,167.697,426.271,775.89,78.6637,513.769,844.519,-10.5429,423.791,778.724,57.7529,320.301,734.226,72.9921,351.243,854.847
8,0,268.78,343.355,242.369,35.4018,469.976,220.143,-122.524,357.705,238.208,8.33596,215.148,224.82,268.099,352.816,135.089,212.583,460.529,158.893,-53.8331,471.01,152.977,-115.062,350.15,145.036,124.975,502.278,487.307,-0.0625274,509.568,534.763,-97.013,488.947,472.275,71.1305,443.627,567.976,79.4934,311.173,630.62,77.2563,229.338,508.355,26.2783,205.399,397.573,123.337,208.266,395.381,68.8141,506.472,395.605,167.723,426.295,775.873,78.7034,513.841,844.494,-10.5011,423.846,778.719,57.7737,320.359,734.244,73.0225,351.316,854.859
9,0,268.762,343.351,242.356,35.4152,470.017,220.173,-122.515,357.728,238.209,8.31473,215.16,224.796,268.104,352.839,135.11,212.592,460.537,158.907,-53.8109,471.038,152.984,-115.064,350.17,145.017,124.998,502.301,487.302,-0.0285009,509.59,534.769,-96.9893,488.995,472.281,71.1491,443.675,567.971,79.5088,311.2,630.622,77.2554,229.34,508.383,26.2729,205.421,397.557,123.334,208.293,395.368,68.8344,506.5,395.609,167.739,426.341,775.849,78.7362,513.908,844.461,-10.4643,423.896,778.721,57.7923,320.406,734.267,73.0429,351.375,854.874
