Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-5.34881,-6.3034,-632.033,-186868,13236.8,3799.62,70.9433,374.277,7.86,0.859682,7.22199,-123.842,3842.2,-50.536,1676.1,95.5919,753.975,-478
1,1,-8.0954,-5.69305,-629.592,-187967,13236.8,5722.23,71.0245,377.169,7.86,1.16486,7.83234,-122.621,4208.41,-874.511,1126.78,88.8682,750.68,-478
1,2,-8.40057,-5.38788,-632.643,-188242,12962.2,3387.63,70.4889,376.163,7.86,0.859682,6.91681,-113.466,4208.41,-874.511,1676.1,88.2928,747.911,-478
1,3,-6.87469,-6.3034,-628.371,-187143,13236.8,4074.28,71.0653,376.438,7.86,1.47003,6.91681,-122.011,5581.7,-1423.83,3049.39,84.3304,739.253,-478
1,4,-6.56952,-5.69305,-629.592,-187418,13236.8,3799.62,71.0245,376.296,7.86,1.77521,7.52716,-122.621,4299.96,-3621.09,1950.76,66.4693,749.933,-478
1,5,-7.17987,-5.38788,-630.202,-187143,12870.6,4348.94,70.423,375.572,7.86,0.554506,13.3255,-122.011,4208.41,-1423.83,1401.44,84.3304,750.508,-478
1,6,-2.90741,-5.38788,-630.202,-187967,13236.8,4623.6,71.0041,376.88,7.86,2.99591,7.52716,-117.128,4025.3,-1973.14,28.1506,79.154,750.633,-478
1,7,-5.65399,-6.60858,-625.93,-189340,13145.3,3387.63,71.0012,381.11,7.86,1.77521,7.22199,-122.011,4574.62,-599.852,1813.43,91.0836,747.507,-478
1,8,-5.95917,-4.77752,-626.54,-187692,12321.3,2838.32,69.6656,378.185,7.86,0.859682,6.00128,-120.18,4391.51,-1149.17,2500.07,86.438,748.459,-478
1,9,-7.17987,-8.74481,-629.592,-186594,13236.8,4211.61,71.0245,374.988,7.86,0.859682,9.05304,-125.063,4299.96,-4719.73,1813.43,58.2612,750.618,-478
2,0,-4.43329,-5.69305,-628.371,-191263,13236.8,4348.94,71.0653,382.994,7.86,0.859682,10.2737,-120.18,3475.98,-1149.17,-383.837,86.438,756.077,-478
2,1,-6.56952,-5.99823,-625.93,-187967,13511.5,3112.98,71.5863,378.916,7.86,-0.0558454,9.96857,-118.959,4391.51,-50.536,1813.43,95.5752,748.084,-478
2,2,-5.34881,-5.69305,-628.371,-188516,12962.2,3936.95,70.6282,378.623,7.86,1.16486,3.55988,-121.401,4757.72,498.781,1950.76,100.109,745.81,-478
2,3,-7.17987,-8.13446,-627.15,-187143,12962.2,3250.3,70.6684,377.017,7.86,-0.666197,8.44269,-126.284,4025.3,-1423.83,4010.7,84.7252,753.125,-478
2,4,-6.87469,-5.99823,-629.592,-188242,12779.1,4486.27,70.2974,377.605,7.86,0.24933,7.52716,-122.011,4116.85,-1423.83,1813.43,84.3304,751.258,-478
2,5,-6.87469,-6.91375,-627.761,-187692,13419.9,3387.63,71.3775,377.602,7.86,-0.361021,5.39093,-122.621,4025.3,-874.511,989.454,88.8682,752.173,-478
2,6,-8.40057,-2.64129,-627.761,-189890,13145.3,3936.95,70.9399,381.102,7.86,0.554506,5.39093,-123.232,4025.3,2970.7,1676.1,120.107,752.336,-478
2,7,-8.70575,-5.38788,-627.761,-183847,14335.5,3112.98,72.8359,371.477,7.86,0.554506,6.00128,-123.232,4757.72,-1698.49,4285.35,82.2172,746.392,-478
2,8,-6.56952,-5.99823,-629.592,-188791,13511.5,5035.58,71.4607,378.478,7.86,0.859682,6.61163,-124.453,4391.51,-2247.8,1264.11,77.9385,749.713,-478
2,9,-7.79022,-6.60858,-626.54,-186868,13694.6,4348.94,71.8575,376.87,7.86,1.16486,9.66339,-120.79,4116.85,773.439,1538.77,102.403,750.917,-478
3,0,-5.65399,-3.25165,-628.981,-187692,12229.7,4074.28,69.4437,377.022,7.86,2.08039,6.61163,-118.959,4208.41,-874.511,165.48,88.6487,749.623,-478
3,1,-6.56952,-5.69305,-627.761,-187418,13419.9,3662.29,71.3775,377.165,7.86,1.16486,6.61163,-123.842,4391.51,-874.511,1264.11,88.9385,749.539,-478
3,2,-6.56952,-5.69305,-627.761,-186868,12870.6,4348.94,70.5024,376.29,7.86,3.91144,7.22199,-121.401,4208.41,-874.511,1950.76,88.7965,750.335,-478
3,3,-5.95917,-8.13446,-623.488,-186594,13236.8,3799.62,71.2303,377.889,7.86,1.16486,7.83234,-125.673,4299.96,-5818.36,1676.1,49.7025,750.785,-478
3,4,-5.95917,-5.99823,-626.54,-189066,12504.4,4623.6,69.9579,380.377,7.86,0.859682,8.44269,-122.011,4025.3,-2247.8,28.1506,77.5771,752.009,-478
3,5,-6.87469,-6.60858,-625.319,-187143,13145.3,3250.3,71.0217,377.891,7.86,2.08039,7.83234,-121.401,4299.96,-1149.17,1813.43,86.5341,749.581,-478
3,6,-5.95917,-5.69305,-631.423,-187967,12687.5,4074.28,70.0935,376.303,7.86,0.859682,6.91681,-120.18,3750.64,224.122,1950.76,97.8649,753.791,-478
3,7,-6.26434,-7.52411,-626.54,-187967,14976.3,3524.96,73.9032,378.623,7.86,0.859682,9.96857,-120.79,4483.06,-874.511,2912.06,88.7601,747.886,-478
3,8,-8.40057,-5.69305,-627.761,-189615,12962.2,4074.28,70.6483,380.665,7.86,0.859682,8.74786,-118.349,4757.72,-1973.14,1950.76,79.3278,744.799,-478
3,9,-9.3161,-5.99823,-625.93,-187143,13145.3,3524.96,71.0012,377.599,7.86,-1.58172,8.13751,-122.011,4666.17,-1423.83,1538.77,84.3304,746.756,-478
4,0,-6.26434,-4.16717,-636.306,-188516,13419.9,3662.29,71.0904,374.882,7.86,1.16486,7.83234,-119.57,4391.51,2696.05,1813.43,118.548,748.272,-478
4,1,-6.56952,-5.69305,-628.371,-186319,13786.1,3799.62,71.9395,375.126,7.86,2.38556,7.22199,-122.621,4757.72,-1973.14,2362.75,79.9087,746.2,-478
4,2,-4.43329,-5.0827,-628.371,-186868,13145.3,4074.28,70.9196,376,7.86,-0.0558454,6.30646,-122.621,4208.41,-2797.12,1676.1,73.189,750.68,-478
4,3,-6.56952,-5.0827,-622.267,-187418,13694.6,4074.28,72.0076,379.8,7.86,0.859682,7.52716,-122.621,4940.83,-1149.17,1676.1,86.6283,744.707,-478
4,4,-7.48504,-4.16717,-627.761,-187692,12229.7,6134.22,69.4815,377.602,7.86,0.554506,7.22199,-122.621,4116.85,-1698.49,577.467,82.1485,751.426,-478
4,5,-7.17987,-3.862,-628.371,-185770,13145.3,4074.28,70.9196,374.252,7.86,1.16486,7.22199,-123.232,4116.85,-1149.17,1538.77,86.6747,751.593,-478
4,6,-4.12811,-5.69305,-626.54,-187692,13145.3,4623.6,70.9808,378.185,7.86,2.08039,7.83234,-123.842,5032.38,-1698.49,1401.44,82.2851,744.365,-478
4,7,-7.17987,-4.77752,-621.657,-187967,13145.3,3662.29,71.1455,380.98,7.86,0.554506,7.22199,-123.842,4208.41,-3621.09,1538.77,66.7604,751.018,-478
4,8,-7.48504,-5.0827,-625.93,-186868,12596,4211.61,70.1236,377.16,7.86,-0.361021,7.83234,-122.011,4208.41,-1423.83,852.125,84.3304,750.508,-478
4,9,-4.43329,-5.69305,-627.761,-186594,13145.3,3662.29,70.9399,375.852,7.86,4.52179,7.52716,-117.128,4574.62,-874.511,1813.43,88.5337,745.944,-478
5,0,-6.87469,-5.69305,-624.099,-189066,13053.7,4348.94,70.9161,381.557,7.86,1.47003,5.69611,-120.79,4757.72,-2247.8,1676.1,77.3909,745.612,-478
5,1,-5.65399,-5.38788,-625.93,-187967,13419.9,1327.7,71.44,378.916,7.86,1.47003,8.44269,-122.011,4299.96,-1423.83,2225.42,84.3304,749.758,-478
5,2,-8.0954,-5.38788,-626.54,-187692,13328.4,3799.62,71.273,378.185,7.86,1.47003,8.74786,-126.284,4574.62,-1973.14,1950.76,80.3753,748.775,-478
5,3,-9.62127,-6.60858,-625.93,-186868,13145.3,3799.62,71.0012,377.16,7.86,-0.0558454,9.05304,-120.18,2835.12,-874.511,1950.76,88.7233,761.409,-478
5,4,-6.87469,-6.60858,-630.812,-187692,13236.8,4898.25,70.9838,376.156,7.86,0.859682,10.2737,-118.959,4391.51,1048.1,1676.1,104.811,748.084,-478
5,5,-5.95917,-5.69305,-625.93,-187967,13694.6,4898.25,71.8788,378.916,7.86,1.47003,4.78058,-120.18,4849.27,-1698.49,1950.76,81.8672,744.65,-478
5,6,-10.5368,-5.69305,-629.592,-187418,13236.8,3524.96,71.0245,376.296,7.86,-0.666197,6.91681,-124.453,4391.51,-1423.83,1813.43,84.5593,749.713,-478
5,7,-6.26434,-5.99823,-627.761,-181925,13328.4,3936.95,71.2316,368.414,7.86,1.47003,7.83234,-122.621,4666.17,-1149.17,1813.43,86.6283,746.947,-478
5,8,-7.48504,-5.69305,-626.54,-187143,12779.1,5722.23,70.3963,377.308,7.86,0.554506,8.44269,-123.842,4208.41,-1698.49,440.138,82.2851,751.018,-478
5,9,-7.17987,-5.99823,-628.371,-186868,13328.4,4486.27,71.211,376,7.86,-0.0558454,6.00128,-116.518,4025.3,-1149.17,1126.78,86.1374,750.453,-478
6,0,-6.26434,-5.38788,-626.54,-189066,13511.5,4211.61,71.5652,380.377,7.86,1.77521,5.08576,-123.232,5398.59,-1973.14,2088.09,79.9884,741.192,-478
6,1,-5.95917,-5.0827,-625.319,-186594,12687.5,3250.3,70.2897,377.013,7.86,1.47003,6.00128,-125.673,4299.96,-3071.78,1676.1,71.5574,750.785,-478
6,2,-6.56952,-5.99823,-625.93,-186868,12962.2,4074.28,70.7087,377.16,7.86,1.16486,12.1048,-122.621,4483.06,-1698.49,1950.76,82.1485,748.44,-478
6,3,-6.56952,-7.82928,-625.319,-187143,13236.8,4623.6,71.1681,377.891,7.86,1.77521,7.22199,-123.842,4391.51,-1973.14,302.809,80.0673,749.539,-478
6,4,-6.87469,-5.0827,-625.319,-190164,13145.3,4348.94,71.0217,382.723,7.86,1.16486,7.52716,-123.232,3750.64,-325.194,1813.43,93.3611,754.564,-478
6,5,-4.12811,-4.77752,-625.93,-187143,13053.7,2838.32,70.8549,377.599,7.86,0.554506,2.034,-121.401,4299.96,-1149.17,2088.09,86.5341,749.581,-478
6,6,-5.34881,-6.91376,-625.93,-186868,13236.8,4211.61,71.1475,377.16,7.86,0.859682,7.22199,-130.556,4574.62,-4445.07,1676.1,61.9528,749.961,-478
6,7,-5.95917,-5.0827,-626.54,-190714,13786.1,4211.61,72.0036,383.007,7.86,0.24933,7.83234,-122.621,3750.64,-1698.49,1126.78,82.1485,754.413,-478
6,8,-6.56952,-5.38788,-624.709,-187418,13328.4,3524.96,71.3353,378.623,7.86,2.38556,7.22199,-121.401,4391.51,-874.511,1676.1,88.7965,748.826,-478
6,9,-5.65399,-5.69305,-627.15,-188242,13145.3,4074.28,70.9603,378.769,7.86,1.16486,4.17023,-121.401,4483.06,498.781,1676.1,100.109,748.072,-478
7,0,-8.70575,-7.82928,-626.54,-187692,13328.4,3387.63,71.273,378.185,7.86,-0.361021,9.66339,-126.284,4574.62,-1149.17,4285.35,86.9001,748.775,-478
7,1,-6.87469,-5.69305,-629.592,-187967,12962.2,4211.61,70.5882,377.169,7.86,1.16486,10.8841,-120.18,4391.51,-874.511,2088.09,88.7233,748.459,-478
7,2,-6.26434,-5.38788,-625.319,-187418,13328.4,3387.63,71.3145,378.33,7.86,-0.971373,7.83234,-121.401,4299.96,-1149.17,1538.77,86.5341,749.581,-478
7,3,-7.79022,-1.11541,-625.319,-188516,13236.8,3799.62,71.1681,380.087,7.86,0.859682,7.52716,-119.57,4574.62,3520.02,1813.43,125.439,746.741,-478
7,4,-7.48504,-5.38788,-626.54,-183847,14243.9,3387.63,72.7342,372.048,7.86,1.47003,6.91681,-122.011,4940.83,-1973.14,3736.04,79.8282,744.505,-478
7,5,-6.87469,-5.69305,-627.761,-187692,13328.4,4486.27,71.2316,377.602,7.86,0.859682,5.39093,-125.673,4208.41,-2247.8,1126.78,78.1139,751.513,-478
