Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,267.819,328.104,240.211,36.3281,460.572,227.851,-122.953,348.125,238.453,5.30008,204.553,215.236,267.418,346.246,132.252,213.235,451.517,164.815,-53.1349,465.596,160.34,-116.355,350.786,145.291,127.721,466.244,503.168,2.92952,471.713,551.198,-94.8271,460.726,487.356,70.0984,401.632,576.753,75.897,261.857,622.194,72.7394,193.888,496.234,21.4984,183.716,381.908,118.631,184.876,379.491,71.9428,482.079,411.589,169.217,397.114,778.372,81.2522,493.158,835.925,-8.95859,396.236,783.263,58.5688,287.643,752.125,75.1405,333.319,868.05
2,0,267.832,328.108,240.203,36.321,460.557,227.82,-122.952,348.11,238.439,5.3046,204.548,215.23,267.433,346.243,132.244,213.232,451.513,164.794,-53.1361,465.592,160.331,-116.364,350.783,145.286,127.719,466.266,503.174,2.93451,471.728,551.196,-94.8231,460.737,487.354,70.1223,401.633,576.726,75.902,261.878,622.201,72.7397,193.903,496.259,21.5022,183.712,381.935,118.639,184.905,379.469,71.944,482.093,411.589,169.231,397.16,778.382,81.2531,493.197,835.92,-8.95436,396.271,783.274,58.5753,287.677,752.14,75.1482,333.359,868.062
3,0,267.83,328.134,240.214,36.3213,460.563,227.819,-122.957,348.113,238.449,5.29744,204.56,215.276,267.141,346.438,133.089,213.229,451.51,164.784,-53.1348,465.594,160.323,-116.371,350.779,145.29,127.721,466.282,503.159,2.93303,471.748,551.195,-94.8251,460.759,487.358,70.1074,401.666,576.739,75.9034,261.909,622.203,72.7422,193.924,496.269,21.5082,183.728,381.952,118.636,184.91,379.528,71.9351,482.11,411.578,169.224,397.202,778.382,81.2495,493.25,835.908,-8.9596,396.311,783.277,58.587,287.707,752.156,75.1533,333.406,868.077
4,0,267.815,328.131,240.216,36.3226,460.584,227.83,-122.958,348.14,238.465,5.3036,204.556,215.256,267.139,346.474,133.114,213.221,451.526,164.784,-53.1416,465.601,160.326,-116.356,350.795,145.303,127.716,466.314,503.163,2.9302,471.78,551.194,-94.8298,460.778,487.349,70.1037,401.696,576.728,75.9091,261.942,622.203,72.738,193.945,496.28,21.4903,183.748,381.964,118.627,184.919,379.538,71.9341,482.125,411.573,169.219,397.246,778.375,81.2488,493.308,835.89,-8.95633,396.365,783.268,58.5876,287.745,752.165,75.154,333.456,868.078
5,0,267.826,328.133,240.193,36.3251,460.516,227.786,-122.951,348.148,238.471,5.3273,204.565,215.265,267.157,346.485,133.071,213.226,451.54,164.779,-53.1447,465.618,160.312,-116.348,350.752,145.276,127.716,466.34,503.146,2.92694,471.802,551.184,-94.6895,460.544,487.102,70.1127,401.734,576.717,75.9146,261.97,622.201,72.7438,193.969,496.297,21.5106,183.76,381.95,118.639,184.934,379.529,71.9317,482.146,411.552,169.226,397.286,778.363,81.2424,493.359,835.859,-8.94923,396.41,783.27,58.5935,287.793,752.16,75.1581,333.517,868.088
6,0,267.832,328.125,240.166,36.3263,460.442,227.739,-122.947,348.135,238.46,5.34895,204.571,215.251,267.169,346.497,133.043,213.229,451.546,164.753,-53.1422,465.617,160.313,-116.343,350.713,145.259,127.716,466.362,503.128,2.92923,471.816,551.171,-94.7589,460.682,487.209,70.112,401.773,576.701,75.9261,262.006,622.2,72.75,194,496.323,21.5125,183.772,381.99,118.639,184.939,379.564,71.9254,482.151,411.521,169.227,397.318,778.351,81.2391,493.408,835.838,-8.94748,396.457,783.266,58.5977,287.839,752.178,75.1628,333.569,868.087
7,0,267.843,328.14,240.183,36.3318,460.389,227.704,-122.932,348.148,238.471,5.37424,204.564,215.265,267.185,346.525,133.019,213.245,451.552,164.763,-53.1346,465.632,160.319,-116.329,350.686,145.257,127.715,466.38,503.106,2.92487,471.829,551.155,-94.777,460.711,487.217,70.1187,401.815,576.685,75.9365,262.036,622.179,72.7567,194.014,496.332,21.5117,183.773,382.024,118.642,184.944,379.599,71.9295,482.172,411.497,169.223,397.357,778.324,81.234,493.451,835.81,-8.94399,396.5,783.265,58.5936,287.882,752.191,75.1701,333.62,868.077
8,0,267.853,328.146,240.17,36.3403,460.326,227.667,-122.928,348.153,238.457,5.38226,204.575,215.222,267.203,346.513,132.957,213.247,451.558,164.75,-53.1229,465.639,160.311,-116.302,350.67,145.227,127.719,466.41,503.087,2.92636,471.839,551.137,-94.7522,460.702,487.154,70.1253,401.863,576.659,75.9445,262.059,622.183,72.7677,194.046,496.336,21.5313,183.791,381.989,118.644,184.961,379.594,71.9341,482.192,411.472,169.227,397.399,778.307,81.2281,493.504,835.779,-8.93636,396.546,783.262,58.5866,287.937,752.212,75.1828,333.676,868.078
9,0,267.864,328.126,240.143,36.3423,460.262,227.625,-122.938,348.153,238.451,5.39827,204.58,215.192,267.227,346.543,132.942,213.256,451.563,164.731,-53.1123,465.638,160.309,-116.297,350.619,145.201,127.721,466.426,503.059,2.92825,471.843,551.118,-94.6823,460.591,487.023,70.1304,401.893,576.645,75.9524,262.086,622.188,72.7783,194.06,496.338,21.5331,183.801,382.008,118.661,184.966,379.59,71.9361,482.206,411.45,169.233,397.441,778.285,81.2244,493.552,835.748,-8.93325,396.599,783.24,58.5896,287.988,752.224,75.1925,333.732,868.074
