Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-8.0954,0.410464,-617.385,-188791,8567.64,2563.66,63.8773,384.407,7.86,1.77521,0.508119,-134.218,5307.04,-1698.49,1676.1,83.3453,745.46,-478
1,1,-8.0954,0.71564,-616.774,-188516,8842.3,5172.91,64.3364,384.264,7.86,2.38556,0.202943,-134.218,5032.38,-1149.17,1950.76,87.4381,747.506,-478
1,2,-4.43329,0.105288,-616.774,-189340,8384.53,5584.9,63.5942,385.6,7.86,4.21662,-0.102233,-129.946,3933.75,-1698.49,1538.77,82.9293,754.728,-478
1,3,-7.79022,-0.810239,-614.333,-189340,8750.74,3524.96,64.2443,386.82,7.86,2.38556,2.33917,-129.335,5032.38,-3071.78,1538.77,72.2495,746.09,-478
1,4,-8.70575,0.410464,-616.774,-188791,8109.87,5310.24,63.1489,384.709,7.86,0.554506,0.508119,-131.166,5215.49,-1423.83,1676.1,85.1449,745.238,-478
1,5,-7.79022,1.02082,-616.164,-188516,8567.64,5447.57,63.9048,384.567,7.86,4.82697,1.11847,-129.335,4849.27,-1973.14,2088.09,80.744,747.506,-478
1,6,-7.48504,0.105288,-616.164,-190988,8750.74,5172.91,64.202,388.578,7.86,1.77521,-1.93329,-132.387,5398.59,-3895.75,1676.1,66.573,744.221,-478
1,7,-7.79022,1.02082,-615.554,-188516,8292.98,3936.95,63.4724,384.87,7.86,2.08039,-0.712584,-133.608,4757.72,-2247.8,1126.78,79.1761,749.39,-478
1,8,-8.40057,0.105289,-615.554,-187418,8933.85,5310.24,64.5135,383.085,7.86,1.77521,-1.93329,-134.828,4757.72,-1423.83,1126.78,85.4397,749.713,-478
