Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,264.234,347.267,240.899,31.5889,475.657,220.764,-126.731,364.56,239.57,3.1492,221.212,224.895,263.368,358.197,138.926,208.427,465.405,157.945,-57.9319,477.778,154.372,,,,123.393,499.267,490.714,-1.39307,507.521,538.621,-98.8357,491.468,475.707,68.9399,436.644,570.601,75.4692,303.169,625.431,69.7578,227.525,501.78,18.311,208.82,389.705,115.502,210.027,387.186,66.6709,506.901,399.247,169.113,436.754,776.2,81.609,535.006,829.035,-8.32785,435.822,780.682,58.6421,326.606,753.615,74.7885,376.61,867.765
2,0,264.207,347.33,240.935,31.5542,475.7,220.791,-126.746,364.587,239.606,3.14022,221.227,224.947,263.773,357.652,136.964,208.392,465.454,157.973,-57.9628,477.809,154.396,,,,123.363,499.291,490.718,-1.41439,507.525,538.635,-98.8682,491.458,475.741,68.9267,436.649,570.621,75.4915,303.197,625.456,69.7738,227.536,501.782,18.3195,208.834,389.712,115.509,210.04,387.203,66.6327,506.914,399.277,169.141,436.806,776.176,81.6306,535.071,829.001,-8.30957,435.869,780.69,58.674,326.651,753.65,74.8341,376.693,867.775
3,0,264.191,347.356,240.937,31.5321,475.715,220.782,-126.761,364.589,239.603,3.14808,221.257,224.936,263.763,357.673,136.977,208.328,465.722,158.572,-57.9833,477.823,154.394,,,,123.333,499.313,490.725,-1.43716,507.531,538.652,-98.8951,491.451,475.77,68.9189,436.638,570.609,75.5296,303.226,625.462,69.7913,227.545,501.799,18.3485,208.842,389.722,115.517,210.066,387.206,66.5983,506.934,399.276,169.164,436.853,776.123,81.6537,535.145,828.959,-8.27944,435.914,780.682,58.7188,326.716,753.635,74.8859,376.777,867.771
4,0,264.196,347.397,240.956,31.5248,475.742,220.78,-126.764,364.613,239.629,3.13878,221.276,224.961,263.763,357.7,137.017,208.316,465.753,158.577,-57.9931,477.832,154.39,,,,123.309,499.334,490.714,-1.45665,507.524,538.664,-98.9158,491.418,475.787,68.9263,436.636,570.601,75.5795,303.255,625.459,69.8152,227.547,501.804,18.3558,208.842,389.748,115.536,210.082,387.208,66.558,506.948,399.265,169.2,436.922,776.098,81.6775,535.214,828.918,-8.25241,435.962,780.677,58.7732,326.785,753.598,74.924,376.851,867.763
5,0,264.209,347.448,240.966,31.5604,475.829,220.838,-126.771,364.616,239.623,3.1335,221.287,225.025,263.774,357.759,137.069,208.311,465.781,158.56,-57.9982,477.846,154.384,,,,123.286,499.34,490.689,-1.46453,507.496,538.672,-98.9331,491.381,475.785,68.9293,436.641,570.604,75.6129,303.278,625.459,69.8503,227.553,501.808,18.389,208.843,389.757,115.552,210.113,387.174,66.5276,506.965,399.26,169.23,436.986,776.075,81.6889,535.275,828.873,-8.23046,435.999,780.669,58.8242,326.837,753.579,74.9655,376.917,867.764
6,0,264.226,347.481,240.959,31.5606,475.874,220.833,-126.773,364.633,239.611,3.12883,221.312,225.03,263.762,357.744,137.01,208.315,465.799,158.532,-58.0024,477.838,154.343,,,,123.26,499.351,490.648,-1.48497,507.47,538.675,-98.9569,491.342,475.782,68.9235,436.638,570.575,75.6649,303.304,625.439,69.8955,227.561,501.806,18.422,208.835,389.776,115.581,210.137,387.145,66.5061,506.97,399.24,169.255,437.044,776.047,81.6915,535.333,828.822,-8.21789,436.03,780.659,58.8812,326.887,753.541,75.011,376.98,867.743
7,0,264.215,347.507,240.947,31.56,475.882,220.801,-126.785,364.632,239.584,3.12839,221.338,225.022,263.762,357.805,137.057,208.314,465.827,158.495,-58.0013,477.86,154.311,,,,123.241,499.366,490.623,-1.50176,507.447,538.68,-98.9771,491.304,475.776,68.9089,436.632,570.565,75.7084,303.317,625.446,69.9249,227.565,501.827,18.4645,208.824,389.759,115.606,210.161,387.08,66.4721,506.948,399.202,169.276,437.09,776.03,81.6841,535.391,828.773,-8.20304,436.057,780.647,58.9231,326.919,753.534,75.0683,377.044,867.723
8,0,264.224,347.55,240.926,31.629,476.056,220.928,-126.773,364.675,239.594,3.13213,221.362,225.027,263.745,357.815,137.013,208.322,465.883,158.514,-58.0023,477.889,154.298,,,,123.222,499.398,490.603,-1.51047,507.43,538.686,-98.994,491.276,475.782,68.9155,436.652,570.565,75.7323,303.339,625.446,69.9636,227.575,501.837,18.4846,208.824,389.755,115.622,210.171,387.081,66.435,506.933,399.191,169.293,437.159,775.993,81.6739,535.45,828.726,-8.18178,436.084,780.636,58.9567,326.937,753.574,75.1086,377.111,867.722
9,0,264.216,347.632,240.95,31.6213,476.087,220.915,-126.763,364.727,239.601,3.13689,221.399,225.066,263.531,358.457,138.796,208.312,465.945,158.501,-58.0104,477.926,154.293,,,,123.194,499.422,490.577,-1.52448,507.42,538.702,-99.0227,491.256,475.791,68.9153,436.652,570.548,75.7652,303.353,625.446,69.9919,227.585,501.845,18.513,208.837,389.737,115.648,210.205,387.07,66.4068,506.936,399.18,169.305,437.237,775.956,81.6582,535.511,828.677,-8.16643,436.108,780.632,58.9997,326.96,753.607,75.1539,377.189,867.724
