Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-5.34881,-2.64129,-613.723,-182474,9757.82,4623.6,65.8994,375.938,7.86,0.554506,3.55988,-134.828,4299.96,-2797.12,165.48,75.2543,753.108,-478
1,1,-5.65399,-2.64129,-615.554,-183298,9391.61,4486.27,65.2572,376.392,7.86,1.16486,2.64435,-133.608,4849.27,-2522.46,1401.44,77.1204,748.705,-478
1,2,-4.43329,-2.64129,-613.723,-183298,9208.5,4898.25,65.0043,377.281,7.86,0.859682,-1.01776,-134.218,4940.83,773.439,577.467,101.763,748.188,-478
1,3,-7.17987,-1.11541,-614.943,-182199,9025.4,4348.94,64.6768,374.901,7.86,1.77521,3.2547,-132.997,4849.27,-2797.12,3049.39,74.9686,748.539,-478
1,4,-6.26434,-1.72577,-619.216,-179727,9483.16,4623.6,65.3148,368.865,7.86,0.859682,2.94953,-133.608,5398.59,-3071.78,989.454,73.009,744.594,-478
1,5,-5.04364,-3.25165,-614.333,-181650,9483.16,5310.24,65.4365,374.301,7.86,-2.19208,8.74786,-132.997,4940.83,-1698.49,1126.78,83.2292,747.85,-478
1,6,-5.95917,-1.11542,-613.112,-180551,9574.71,4623.6,65.6166,373.098,7.86,1.47003,3.2547,-132.387,4940.83,-1973.14,1676.1,81.0956,747.679,-478
1,7,-6.26434,-1.72577,-614.333,-181925,7560.55,4898.25,62.3069,374.749,7.86,0.554506,4.78058,-132.387,5032.38,-2247.8,-521.166,79.021,746.987,-478
1,8,-6.56952,-1.42059,-614.333,-181375,9300.06,4074.28,65.1385,373.854,7.86,2.69074,4.17023,-132.997,5032.38,-1149.17,1264.11,87.3595,747.162,-478
1,9,-5.65399,-2.64129,-616.774,-181375,9116.95,5722.23,64.7817,372.686,7.86,1.47003,2.64435,-133.608,4849.27,-6642.33,1676.1,46.2848,748.705,-478
2,0,-4.73846,-3.55682,-611.281,-180826,10581.8,3799.62,67.3109,374.43,7.86,-0.361021,3.55988,-135.439,5215.49,-2797.12,1126.78,75.3477,746.492,-478
2,1,-5.65399,-2.03094,-613.723,-182749,9300.06,4348.94,65.1535,376.386,7.86,2.08039,5.69611,-131.777,5215.49,-2247.8,1264.11,78.9424,745.422,-478
2,2,-6.87469,-2.03094,-614.333,-181375,9208.5,4348.94,64.9894,373.854,7.86,1.77521,2.64435,-131.166,5032.38,-2247.8,1401.44,78.863,746.634,-478
2,3,-6.26434,-2.33612,-624.709,-181925,9116.95,4898.25,64.5939,369.83,7.86,1.47003,5.08576,-131.166,5215.49,224.122,1264.11,97.7087,745.238,-478
2,4,-5.95917,-2.33612,-615.554,-181650,10124,4760.92,66.447,373.715,7.86,1.77521,3.2547,-131.777,5490.14,-2522.46,2500.07,76.8581,743.338,-478
2,5,-5.65399,-2.94647,-616.774,-181650,9391.61,4486.27,65.227,373.131,7.86,-4.02313,4.4754,-133.608,5123.93,-2522.46,1126.78,77.1204,746.649,-478
2,6,-6.26434,-3.25165,-613.723,-181101,9666.27,4623.6,65.7502,373.7,7.86,1.47003,5.08576,-134.218,4940.83,-599.852,1264.11,91.5308,748.188,-478
2,7,-7.17987,-1.11541,-614.943,-181925,8292.98,7095.52,63.4858,374.455,7.86,2.08039,1.72882,-132.997,4757.72,-3346.43,714.796,70.8384,749.227,-478
2,8,-6.26434,-2.94647,-616.164,-180551,9849.37,4486.27,65.985,371.64,7.86,1.16486,1.72882,-135.439,4574.62,-2522.46,852.125,77.3757,751.224,-478
2,9,-1.38153,-2.94647,-614.943,-181375,9483.16,4760.92,65.4212,373.561,7.86,4.21662,2.034,-133.608,5307.04,-2797.12,852.125,75.0647,745.279,-478
3,0,-6.56952,-2.64129,-613.112,-181375,9574.71,3112.98,65.6166,374.442,7.86,0.859682,2.94953,-135.439,5123.93,-4445.07,1676.1,63.1803,747.168,-478
3,1,-5.34881,-2.33612,-614.943,-182474,8750.74,4623.6,64.2302,375.348,7.86,1.16486,2.33917,-134.218,5215.49,-2797.12,1676.1,75.1599,746.142,-478
3,2,-9.01092,-2.94647,-613.723,-180826,9116.95,4211.61,64.8552,373.253,7.86,-0.361021,2.94953,-142.153,4849.27,-3071.78,989.454,74.391,750.887,-478
3,3,-5.65399,-2.03094,-620.436,-185220,8750.74,4486.27,64.1042,377.147,7.86,1.47003,2.64435,-132.997,3384.43,-50.536,1126.78,95.62,759.553,-478
3,4,-7.17987,-2.64129,-614.943,-181650,9849.37,3524.96,66.0167,374.008,7.86,0.859682,3.55988,-131.777,5032.38,-1698.49,1401.44,83.1109,746.811,-478
3,5,-6.56952,-2.64129,-617.385,-182749,9300.06,4486.27,65.0636,374.619,7.86,1.77521,3.2547,-132.997,5215.49,-3346.43,1813.43,70.8384,745.785,-478
3,6,-8.70575,-3.25165,-617.995,-180277,9300.06,3524.96,65.0488,370.327,7.86,-0.666197,5.39093,-134.218,5581.7,-2797.12,2774.73,75.1599,743.413,-478
