Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,264.138,328.066,237.807,32.3902,459.502,224.138,-126.48,347.021,235.433,2.36143,203.315,213.592,258.612,340.448,129.373,209.57,451.855,162.545,-56.7831,464.641,157.283,-120.689,342.089,143.752,121.47,474.932,483.355,-3.37855,482.347,531.419,-100.715,466.068,468.26,66.6077,411.303,566.072,71.1221,277.278,621.706,69.0432,203.277,495.742,17.7882,183.808,383.621,114.852,186.068,379.937,65.1412,481.644,396.163,167.338,402.682,775.188,79.8846,493.368,840.562,-10.055,399.936,781.745,57.1575,294.741,741.25,74.6392,331.405,860.116
2,0,264.143,328.076,237.811,32.3905,459.533,224.106,-126.485,347.044,235.42,2.37098,203.318,213.641,258.614,340.425,129.339,209.578,451.835,162.507,-56.7823,464.642,157.233,-120.685,342.08,143.735,121.496,474.914,483.327,-3.34078,482.35,531.401,-100.679,466.069,468.239,66.6293,411.283,566.046,71.1359,277.285,621.722,69.0531,203.269,495.759,17.7965,183.787,383.649,114.857,186.04,380.006,65.1811,481.594,396.129,167.359,402.691,775.166,79.9244,493.396,840.534,-10.0273,399.977,781.732,57.1699,294.762,741.27,74.655,331.437,860.103
3,0,264.152,328.075,237.775,32.3994,459.548,224.06,-126.48,347.037,235.385,2.36379,203.335,213.634,258.482,340.527,129.808,209.587,451.818,162.463,-56.7729,464.617,157.193,-120.687,342.098,143.744,121.532,474.897,483.295,-3.30047,482.351,531.373,-100.642,466.068,468.208,66.6535,411.246,566.019,71.1475,277.288,621.727,69.0649,203.264,495.77,17.8057,183.772,383.653,114.868,186.018,380.033,65.2304,481.531,396.07,167.399,402.695,775.135,79.9688,493.432,840.502,-9.99608,400.019,781.718,57.1766,294.786,741.264,74.6804,331.471,860.087
4,0,264.173,328.091,237.767,32.4199,459.606,224.041,-126.475,347.076,235.405,2.34607,203.338,213.637,258.477,340.526,129.817,209.607,451.836,162.466,-56.7487,464.638,157.189,-120.673,342.1,143.741,121.584,474.88,483.277,-3.25756,482.358,531.351,-100.604,466.073,468.185,66.6921,411.244,566.022,71.1669,277.284,621.706,69.078,203.252,495.77,17.8143,183.761,383.657,114.872,186.013,379.975,65.286,481.529,396.07,167.421,402.704,775.116,80.0097,493.473,840.479,-9.9629,400.052,781.708,57.1923,294.816,741.235,74.704,331.513,860.071
5,0,264.166,328.067,237.729,32.4191,459.656,224.023,-126.461,347.085,235.374,2.36813,203.35,213.647,258.485,340.497,129.781,209.606,451.826,162.423,-56.7423,464.647,157.163,-120.677,342.117,143.743,121.613,474.856,483.272,-3.21969,482.354,531.343,-100.564,466.078,468.182,66.7071,411.218,566.02,71.1789,277.276,621.721,69.0906,203.239,495.794,17.8226,183.746,383.675,114.858,185.969,380.06,65.3131,481.518,396.06,167.442,402.716,775.106,80.0438,493.504,840.455,-9.93212,400.072,781.704,57.2161,294.834,741.262,74.7142,331.558,860.073
6,0,264.165,328.076,237.733,32.414,459.713,224.016,-126.454,347.126,235.381,2.36121,203.349,213.657,258.495,340.501,129.773,209.614,451.845,162.389,-56.7606,464.687,157.161,-120.677,342.131,143.744,121.634,474.84,483.27,-3.18035,482.356,531.349,-100.538,466.098,468.184,66.7261,411.188,566.017,71.1992,277.268,621.731,69.0874,203.213,495.798,17.8176,183.736,383.669,114.863,185.94,380.08,65.3305,481.532,396.074,167.466,402.714,775.081,80.0724,493.537,840.424,-9.89242,400.094,781.689,57.2416,294.85,741.272,74.7237,331.603,860.068
7,0,264.181,328.096,237.729,32.4352,459.738,224.003,-126.436,347.139,235.381,2.35947,203.355,213.647,258.51,340.508,129.767,209.625,451.828,162.364,-56.7432,464.695,157.135,-120.675,342.14,143.751,121.677,474.821,483.27,-3.12892,482.349,531.353,-100.493,466.102,468.185,66.7632,411.129,566.011,71.221,277.252,621.714,69.0942,203.203,495.795,17.8243,183.731,383.621,114.848,185.912,380.061,65.385,481.51,396.067,167.503,402.721,775.081,80.1057,493.565,840.39,-9.8628,400.119,781.671,57.2725,294.874,741.253,74.7429,331.651,860.063
8,0,264.183,328.1,237.731,32.4482,459.758,223.998,-126.42,347.152,235.374,2.36614,203.371,213.652,258.521,340.501,129.769,209.653,451.813,162.355,-56.7191,464.71,157.113,-120.66,342.157,143.768,121.73,474.793,483.271,-3.0704,482.341,531.369,-100.449,466.103,468.199,66.8205,411.08,566.02,71.2442,277.23,621.699,69.0991,203.178,495.793,17.8128,183.719,383.647,114.842,185.883,380.057,65.4196,481.511,396.095,167.529,402.71,775.071,80.1491,493.579,840.36,-9.82423,400.128,781.661,57.2905,294.873,741.284,74.7713,331.689,860.067
9,0,264.194,328.079,237.718,32.4574,459.772,223.988,-126.4,347.16,235.36,2.38622,203.361,213.69,258.527,340.474,129.744,209.675,451.801,162.329,-56.7019,464.702,157.078,-120.648,342.155,143.762,121.785,474.75,483.26,-3.00927,482.327,531.393,-100.397,466.103,468.229,66.8726,411.017,566.004,71.266,277.2,621.705,69.1112,203.15,495.812,17.8127,183.71,383.654,114.828,185.843,380.08,65.4569,481.517,396.115,167.558,402.7,775.059,80.2019,493.592,840.329,-9.77182,400.139,781.643,57.3244,294.868,741.316,74.8054,331.701,860.077
