Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-6.87469,-5.69305,-617.385,-180826,10581.8,3662.29,67.1397,371.505,7.86,1.47003,8.13751,-125.063,5673.25,-4445.07,1950.76,60.4573,739.637,-478
1,1,-5.95917,-5.69305,-625.93,-181650,8933.85,4074.28,64.2729,368.823,7.86,-0.0558454,6.30646,-126.894,3933.75,-2797.12,1264.11,73.957,754,-478
1,2,-5.95917,-5.69305,-627.15,-180002,10124,3250.3,66.1429,365.631,7.86,0.859682,7.22199,-126.284,4025.3,-1423.83,2225.42,84.7252,753.125,-478
1,3,-2.90741,-5.69305,-626.54,-181101,9757.82,3799.62,65.5742,367.664,7.86,3.60626,6.91681,-123.842,2560.46,-2247.8,2225.42,77.8495,764.325,-478
1,4,-6.26434,-7.52411,-624.709,-180551,10215.6,2700.99,66.3526,367.632,7.86,0.554506,8.74786,-123.842,4208.41,-2797.12,1813.43,73.4138,751.018,-478
1,5,-5.34881,-6.3034,-626.54,-181101,9940.93,3799.62,65.8664,367.664,7.86,1.16486,6.30646,-123.232,4483.06,-1698.49,2500.07,82.2172,748.621,-478
1,6,-10.5368,-6.60858,-624.099,-181650,10032.5,2975.65,66.0752,369.675,7.86,-2.49725,7.52716,-134.218,4025.3,-2522.46,1676.1,77.2063,755.009,-478
1,7,-6.87469,-6.3034,-627.761,-178354,10124,3799.62,66.1272,362.726,7.86,0.859682,8.13751,-125.673,3750.64,-874.511,1401.44,89.0414,755.156,-478
1,8,-6.26434,-7.21893,-625.93,-181375,10307.1,5310.24,66.4669,368.384,7.86,0.554506,7.83234,-126.284,4116.85,-1973.14,577.467,80.3753,752.4,-478
1,9,-6.56952,-6.60858,-628.371,-179727,10032.5,3799.62,65.9659,364.636,7.86,-0.0558454,5.69611,-118.349,3750.64,-2247.8,1401.44,77.007,753.309,-478
2,0,-3.82294,-6.3034,-625.93,-183847,10215.6,3799.62,66.3207,372.334,7.86,2.08039,4.4754,-126.894,4391.51,-1973.14,1264.11,80.4505,750.392,-478
2,1,-6.87469,-5.99823,-622.267,-181375,10307.1,2014.34,66.5638,370.09,7.86,-0.361021,6.00128,-125.673,4116.85,-3346.43,1538.77,69.3719,752.242,-478
2,2,-5.65399,-6.60858,-625.93,-180002,9849.37,3662.29,65.7356,366.19,7.86,1.16486,7.83234,-126.284,4116.85,-2247.8,2500.07,78.2004,752.4,-478
2,3,-5.95917,-10.881,-623.488,-180826,10307.1,3799.62,66.5314,368.638,7.86,-0.666197,6.91681,-131.166,4116.85,-2247.8,1676.1,78.863,753.614,-478
2,4,-6.26434,-6.3034,-626.54,-184122,10032.5,3524.96,66.0125,372.486,7.86,1.16486,6.91681,-125.063,3475.98,-325.194,1401.44,93.3998,757.206,-478
2,5,-5.34881,-6.91376,-625.93,-180826,10215.6,2563.66,66.3207,367.507,7.86,1.16486,0.813295,-125.063,4025.3,-2522.46,1813.43,75.8305,752.814,-478
2,6,-6.26434,-4.77752,-626.54,-181925,10032.5,4074.28,66.0125,368.979,7.86,1.16486,7.52716,-126.284,4116.85,-599.852,1950.76,91.25,752.4,-478
2,7,-7.48505,-6.60858,-628.371,-177805,11497.3,2838.32,68.297,361.576,7.86,-0.361021,6.00128,-124.453,4299.96,-1973.14,3873.37,80.1454,750.449,-478
2,8,-6.26434,-6.91375,-628.371,-181101,10307.1,4348.94,66.4029,366.822,7.86,0.24933,6.30646,-125.673,3933.75,-2247.8,2088.09,78.1139,753.699,-478
2,9,-6.87469,-6.60858,-625.319,-178903,10581.8,3799.62,66.9222,364.714,7.86,-0.0558454,10.5789,-123.842,3842.2,-599.852,1950.76,91.1563,753.975,-478
3,0,-5.04364,-4.47235,-624.709,-181101,9116.95,4211.61,64.5939,368.511,7.86,1.47003,8.44269,-120.79,4299.96,-1973.14,165.48,79.6647,749.401,-478
3,1,-6.56952,-6.60858,-623.488,-178354,9940.92,3799.62,65.944,364.673,7.86,0.24933,8.44269,-123.232,3750.64,-1149.17,2225.42,86.6747,754.564,-478
3,2,-5.95917,-6.60858,-625.319,-180277,10032.5,3936.95,66.0438,366.91,7.86,3.91144,7.52716,-124.453,4208.41,-2522.46,2637.4,75.7315,751.185,-478
3,3,-6.56952,-9.04999,-618.605,-179453,10215.6,3662.29,66.5139,368.707,7.86,0.24933,6.91681,-128.115,4208.41,-6642.33,1950.76,44.1532,752.151,-478
3,4,-4.43329,-6.91376,-624.709,-182474,10307.1,4486.27,66.4991,370.709,7.86,-0.971373,7.52716,-126.284,3933.75,-2522.46,989.454,76.0254,753.85,-478
3,5,-5.95917,-5.69305,-622.878,-181375,10032.5,2975.65,66.1067,369.804,7.86,-1.27655,6.91681,-125.673,4208.41,-2797.12,1813.43,73.7429,751.513,-478
3,6,-5.65399,-5.99823,-629.592,-181375,9849.37,3662.29,65.6441,366.699,7.86,0.554506,4.17023,-127.504,2835.11,2421.39,1401.44,114.991,762.765,-478
3,7,-6.56952,-7.52411,-624.709,-181101,10764.9,4898.25,67.2319,368.511,7.86,0.554506,5.69611,-125.063,3842.2,-1973.14,2500.07,80.2228,754.278,-478
3,8,-5.95917,-7.21893,-626.54,-181101,10398.7,3524.96,66.597,367.664,7.86,0.859682,6.30646,-128.725,4208.41,-2247.8,1538.77,78.538,752.307,-478
3,9,-7.79022,-7.52411,-625.319,-180277,10581.8,3799.62,66.9222,366.91,7.86,-2.19208,8.74786,-126.894,5032.38,-1973.14,1401.44,80.4505,745.342,-478
4,0,-5.04364,-5.69305,-619.216,-181375,10032.5,3387.63,66.2019,371.526,7.86,0.554506,6.30646,-126.284,3933.75,-2797.12,2225.42,73.8505,753.85,-478
4,1,-7.79022,-6.60858,-625.319,-179727,9666.27,3662.29,65.4581,366.032,7.86,0.859682,7.83234,-125.063,3933.75,-2522.46,989.454,75.8305,753.546,-478
4,2,-3.21258,-6.3034,-625.319,-179178,10032.5,3799.62,66.0438,365.153,7.86,4.52179,7.52716,-118.959,4116.85,-2522.46,1676.1,74.7956,750.393,-478
4,3,-8.0954,-6.3034,-624.709,-182474,10032.5,3662.29,66.0594,370.709,7.86,0.24933,5.39093,-126.284,4483.06,-4170.41,1538.77,62.9758,749.5,-478
4,4,-4.73846,-7.21893,-624.099,-180551,10032.5,503.722,66.0752,367.914,7.86,0.24933,7.22199,-125.673,4116.85,-2247.8,2088.09,78.1139,752.242,-478
