Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,264.606,322.972,234.956,30.8051,451.905,227.317,-126.273,335.998,236.767,,,,264.239,343.859,130.579,207.399,447.027,162.233,-59.2178,456.223,160.625,-119.591,339.276,146.389,123.245,461.207,492.548,-2.203,466.867,538.929,-99.0565,450.408,474.728,68.749,398.935,570.31,75.3386,263.021,624.315,73.0787,188.11,499.007,23.1098,170.659,386.049,120.341,174.106,383.315,66.991,472.503,401.374,170.074,390.795,771.508,83.8847,485.582,832.722,-7.34355,390.127,779.353,58.6366,282.516,743.85,77.2229,324.952,860.597
2,0,264.603,322.999,234.984,30.5944,452.793,227.614,-126.268,336.017,236.768,,,,264.219,343.828,130.515,207.388,447.034,162.249,-59.2213,456.227,160.617,-119.59,339.287,146.402,123.255,461.243,492.517,-2.19023,466.915,538.9,-99.0522,450.441,474.712,68.7846,399.023,570.298,75.3531,263.075,624.312,73.0897,188.15,499.004,23.1046,170.678,386.057,120.33,174.128,383.297,66.9951,472.494,401.331,170.096,390.836,771.504,83.9328,485.647,832.727,-7.30913,390.201,779.363,58.6619,282.564,743.835,77.2619,325.004,860.588
3,0,264.623,323.045,234.999,30.5935,452.799,227.603,-126.282,336.005,236.768,,,,264.242,343.853,130.543,207.361,447.241,162.73,-59.215,456.226,160.604,-119.599,339.274,146.385,123.272,461.27,492.477,-2.18059,466.942,538.871,-99.0445,450.456,474.702,68.7936,399.085,570.273,75.3741,263.137,624.345,73.106,188.184,499.023,23.1147,170.705,386.069,120.352,174.153,383.295,66.999,472.474,401.284,170.14,390.884,771.494,83.9875,485.707,832.739,-7.27387,390.265,779.372,58.6758,282.623,743.851,77.319,325.06,860.575
4,0,264.656,323.045,234.988,30.616,452.784,227.582,-126.273,336.015,236.778,,,,264.32,343.93,130.669,207.38,447.241,162.71,-59.2075,456.219,160.604,-119.589,339.27,146.406,123.293,461.293,492.429,-2.16906,466.972,538.847,-99.0304,450.462,474.686,68.809,399.134,570.253,75.3932,263.192,624.347,73.1341,188.221,499.03,23.1292,170.707,386.097,120.354,174.165,383.333,66.9963,472.474,401.247,170.182,390.925,771.452,84.0477,485.76,832.74,-7.24108,390.315,779.382,58.705,282.683,743.855,77.3917,325.115,860.55
5,0,264.68,323.016,234.988,30.6574,452.682,227.538,-126.26,336.036,236.798,,,,264.347,343.965,130.711,207.638,446.639,162.56,-59.1937,456.221,160.583,-119.907,340.72,147.088,123.316,461.32,492.39,-2.16278,467.002,538.822,-99.0236,450.479,474.664,68.8243,399.204,570.241,75.4065,263.227,624.348,73.1525,188.254,499.042,23.1538,170.741,386.074,120.373,174.182,383.329,67.0065,472.512,401.227,170.233,390.996,771.416,84.1057,485.821,832.71,-7.21177,390.375,779.388,58.7324,282.738,743.856,77.4693,325.181,860.536
6,0,264.668,323.053,234.983,30.6558,452.593,227.51,-126.255,335.995,236.784,,,,264.342,343.958,130.718,207.396,447.248,162.696,-59.1997,456.222,160.594,-119.607,339.28,146.411,123.315,461.347,492.358,-2.15906,467.03,538.802,-99.0266,450.51,474.653,68.8248,399.263,570.235,75.4118,263.262,624.354,73.169,188.291,499.062,23.1756,170.776,386.082,120.384,174.219,383.359,67.004,472.56,401.199,170.266,391.064,771.391,84.1461,485.89,832.681,-7.18287,390.434,779.392,58.7682,282.8,743.879,77.516,325.257,860.54
7,0,264.661,323.044,234.978,30.6514,452.541,227.51,-126.264,335.98,236.771,,,,264.308,343.942,130.689,207.377,447.264,162.701,-59.216,456.222,160.604,-119.632,339.293,146.408,123.315,461.387,492.344,-2.16089,467.069,538.785,-99.0222,450.546,474.636,68.8357,399.358,570.256,75.4204,263.3,624.369,73.1796,188.317,499.081,23.1812,170.824,386.047,120.383,174.234,383.408,67.0031,472.602,401.163,170.283,391.121,771.366,84.1905,485.969,832.633,-7.14707,390.492,779.403,58.7978,282.853,743.913,77.5486,325.327,860.549
8,0,264.657,323.041,234.974,30.6521,452.495,227.525,-126.246,335.975,236.787,,,,264.264,343.946,130.675,207.385,447.29,162.739,-59.2188,456.268,160.645,-119.618,339.316,146.417,123.321,461.445,492.344,-2.14752,467.114,538.791,-99.0052,450.598,474.639,68.8585,399.438,570.254,75.4336,263.341,624.381,73.1829,188.345,499.085,23.1921,170.864,386.005,120.4,174.254,383.382,67.0207,472.646,401.165,170.313,391.216,771.358,84.2267,486.065,832.596,-7.10608,390.557,779.406,58.8256,282.891,743.957,77.5909,325.416,860.563
9,0,264.646,323.041,234.999,30.6594,452.437,227.527,-126.24,335.966,236.802,,,,264.236,343.905,130.644,207.385,447.295,162.766,-59.2252,456.269,160.668,-119.627,339.315,146.424,123.329,461.477,492.343,-2.12881,467.14,538.8,-98.9923,450.635,474.643,68.894,399.482,570.243,75.453,263.386,624.389,73.184,188.372,499.083,23.183,170.909,386.018,120.396,174.289,383.408,67.0404,472.665,401.169,170.338,391.305,771.363,84.2649,486.149,832.559,-7.06969,390.618,779.417,58.8542,282.966,743.991,77.6307,325.499,860.581
10,0,264.636,323.046,235.011,30.6553,452.383,227.523,-126.242,335.969,236.803,,,,264.227,343.908,130.651,207.386,447.285,162.76,-59.227,456.284,160.69,-119.643,339.322,146.424,123.346,461.504,492.335,-2.11607,467.161,538.802,-98.9796,450.674,474.651,68.8941,399.536,570.253,75.4681,263.431,624.397,73.1861,188.395,499.083,23.2008,170.95,385.991,120.381,174.314,383.432,67.0553,472.699,401.158,170.361,391.371,771.343,84.301,486.21,832.519,-7.03126,390.698,779.424,58.8804,283.028,744.028,77.6706,325.583,860.59
11,0,264.649,323.07,235.029,30.6768,452.315,227.492,-126.248,335.988,236.825,,,,264.23,343.899,130.64,207.386,447.296,162.757,-59.2263,456.295,160.694,-119.671,339.339,146.443,123.375,461.527,492.324,-2.09854,467.183,538.803,-98.9525,450.712,474.656,68.9216,399.58,570.254,75.4986,263.462,624.395,73.2086,188.415,499.067,23.2169,170.982,385.94,120.404,174.337,383.388,67.058,472.733,401.143,170.404,391.44,771.332,84.3492,486.275,832.485,-7.00688,390.772,779.42,58.8941,283.084,744.056,77.7031,325.678,860.612
12,0,264.67,323.063,235.017,30.6953,452.251,227.46,-126.237,335.985,236.831,,,,264.278,343.948,130.751,207.398,447.304,162.75,-59.2152,456.286,160.675,-119.665,339.339,146.455,123.41,461.542,492.31,-2.07555,467.205,538.797,-98.9322,450.729,474.656,68.9511,399.622,570.255,75.5222,263.499,624.401,73.2241,188.443,499.072,23.2223,171.014,385.952,120.398,174.366,383.389,67.0754,472.774,401.135,170.474,391.504,771.332,84.4033,486.348,832.466,-6.97171,390.842,779.401,58.9213,283.143,744.064,77.7319,325.757,860.639
13,0,264.678,323.065,235.001,30.6989,452.205,227.425,-126.237,335.981,236.828,,,,264.301,343.959,130.751,207.407,447.307,162.738,-59.2199,456.293,160.671,-119.676,339.349,146.453,123.427,461.556,492.28,-2.05757,467.227,538.78,-98.9117,450.756,474.647,68.9658,399.672,570.23,75.5462,263.533,624.394,73.2392,188.468,499.058,23.2374,171.047,385.93,120.415,174.372,383.388,67.1027,472.789,401.104,170.54,391.566,771.316,84.4412,486.41,832.438,-6.9354,390.916,779.37,58.9367,283.189,744.091,77.7615,325.832,860.648
14,0,264.679,323.083,235.006,30.7063,452.144,227.395,-126.235,335.966,236.818,,,,264.295,343.957,130.75,207.404,447.298,162.7,-59.2269,456.29,160.671,-119.684,339.342,146.449,123.44,461.586,492.258,-2.04558,467.244,538.765,-98.9029,450.782,474.645,68.9923,399.696,570.206,75.5664,263.562,624.405,73.2525,188.485,499.076,23.2635,171.073,385.915,120.427,174.39,383.419,67.1081,472.781,401.081,170.582,391.615,771.301,84.4782,486.464,832.408,-6.89589,390.991,779.353,58.9554,283.237,744.108,77.7855,325.909,860.661
15,0,264.688,323.093,235.003,30.7015,452.167,227.402,-126.238,335.964,236.824,,,,264.295,344.003,130.798,207.398,447.316,162.726,-59.233,456.301,160.693,-119.685,339.342,146.441,123.452,461.616,492.246,-2.02638,467.284,538.758,-98.8827,450.812,474.636,69.0071,399.753,570.205,75.6032,263.608,624.395,73.2808,188.516,499.078,23.2849,171.083,385.939,120.441,174.405,383.397,67.1133,472.779,401.057,170.617,391.648,771.287,84.5337,486.542,832.396,-6.84702,391.077,779.336,58.9785,283.301,744.109,77.8233,325.981,860.647
16,0,264.688,323.107,234.975,30.6967,452.192,227.427,-126.229,335.981,236.841,,,,264.291,344.037,130.787,207.392,447.352,162.756,-59.2292,456.327,160.709,-119.673,339.37,146.455,123.467,461.646,492.231,-2.00538,467.317,538.747,-98.8624,450.837,474.629,69.046,399.795,570.211,75.6402,263.651,624.382,73.302,188.542,499.077,23.2981,171.097,385.965,120.462,174.427,383.405,67.1304,472.814,401.038,170.645,391.68,771.26,84.5885,486.605,832.378,-6.78943,391.146,779.33,59.0042,283.356,744.096,77.8671,326.044,860.636
17,0,264.693,323.126,234.991,30.691,452.175,227.43,-126.237,335.968,236.833,,,,264.264,344.007,130.735,207.393,447.329,162.72,-59.245,456.312,160.715,-119.682,339.351,146.441,123.479,461.664,492.211,-1.98293,467.342,538.737,-98.8499,450.857,474.629,69.0613,399.811,570.201,75.6735,263.686,624.391,73.3276,188.565,499.096,23.3132,171.115,386.011,120.48,174.426,383.461,67.1425,472.832,401.015,170.679,391.71,771.25,84.638,486.652,832.37,-6.73036,391.212,779.318,59.0493,283.395,744.098,77.9156,326.098,860.626
18,0,264.69,323.123,234.976,30.6829,452.195,227.447,-126.24,335.978,236.848,,,,264.276,344.027,130.75,207.39,447.345,162.736,-59.242,456.323,160.725,-119.69,339.375,146.445,123.493,461.695,492.194,-1.96747,467.368,538.724,-98.8322,450.881,474.623,69.0719,399.859,570.205,75.7118,263.71,624.374,73.3548,188.586,499.078,23.334,171.125,386,120.502,174.441,383.439,67.1581,472.885,401.013,170.712,391.738,771.223,84.6856,486.693,832.35,-6.68134,391.275,779.321,59.1004,283.448,744.043,77.9619,326.152,860.612
19,0,264.688,323.128,234.963,30.6988,452.199,227.448,-126.228,335.993,236.847,,,,264.267,344.038,130.731,207.401,447.367,162.75,-59.2353,456.335,160.714,-119.683,339.389,146.453,123.513,461.722,492.199,-1.95096,467.387,538.713,-98.8106,450.899,474.623,69.094,399.881,570.2,75.7402,263.73,624.365,73.3786,188.603,499.073,23.3585,171.119,386.007,120.525,174.452,383.379,67.1683,472.904,400.991,170.74,391.769,771.217,84.741,486.732,832.345,-6.63393,391.324,779.326,59.1529,283.503,743.988,78.0083,326.19,860.612
20,0,264.69,323.134,234.973,30.7046,452.194,227.438,-126.219,335.987,236.841,,,,264.268,344.039,130.75,207.399,447.371,162.749,-59.2305,456.343,160.731,-119.68,339.387,146.443,123.527,461.737,492.198,-1.9282,467.408,538.716,-98.7915,450.905,474.626,69.115,399.886,570.188,75.7666,263.744,624.383,73.4092,188.618,499.096,23.3717,171.14,386.031,120.542,174.468,383.436,67.18,472.921,400.997,170.781,391.797,771.221,84.787,486.763,832.334,-6.59139,391.37,779.337,59.1907,283.535,744.017,78.0563,326.234,860.621
21,0,264.687,323.125,234.977,30.7142,452.213,227.444,-126.201,336.026,236.854,,,,264.276,344.035,130.759,207.419,447.37,162.743,-59.22,456.368,160.716,-119.673,339.41,146.45,123.541,461.763,492.187,-1.90263,467.424,538.718,-98.7734,450.925,474.629,69.1462,399.907,570.171,75.7933,263.758,624.365,73.4315,188.628,499.074,23.3903,171.153,386.021,120.569,174.474,383.427,67.1953,472.921,400.988,170.827,391.821,771.219,84.8426,486.799,832.319,-6.54904,391.409,779.334,59.2378,283.574,743.999,78.1078,326.269,860.622
22,0,264.701,323.139,234.976,30.7335,452.216,227.433,-126.208,336.032,236.856,,,,264.279,344.026,130.711,207.419,447.355,162.716,-59.2069,456.376,160.718,-119.667,339.423,146.457,123.565,461.771,492.197,-1.88161,467.427,538.722,-98.7564,450.931,474.64,69.162,399.909,570.172,75.8176,263.767,624.374,73.4578,188.645,499.089,23.4167,171.184,386.012,120.615,174.509,383.341,67.2061,472.922,400.986,170.862,391.827,771.21,84.903,486.834,832.31,-6.52292,391.436,779.344,59.2699,283.609,743.999,78.1645,326.303,860.629
23,0,264.726,323.133,234.95,30.8636,451.396,227.027,-126.196,336.051,236.87,,,,264.331,344.067,130.798,207.438,447.363,162.705,-59.1984,456.37,160.715,-119.67,339.431,146.478,123.587,461.772,492.207,-1.85583,467.44,538.725,-98.7355,450.934,474.647,69.1883,399.911,570.171,75.8532,263.773,624.371,73.4926,188.654,499.101,23.445,171.192,386.019,120.646,174.525,383.325,67.2161,472.938,400.988,170.914,391.825,771.198,84.9629,486.866,832.291,-6.49351,391.46,779.353,59.2934,283.635,744.023,78.2178,326.34,860.642
24,0,264.736,323.135,234.95,30.798,452.108,227.367,-126.177,336.056,236.882,,,,264.356,344.075,130.788,207.46,447.366,162.694,-59.1848,456.375,160.686,-119.642,339.413,146.476,123.612,461.779,492.205,-1.81952,467.446,538.733,-98.712,450.935,474.657,69.2029,399.918,570.171,75.8812,263.779,624.373,73.5237,188.662,499.095,23.4671,171.197,386.043,120.678,174.552,383.33,67.2408,472.971,401.013,170.967,391.835,771.187,85.0254,486.905,832.278,-6.45772,391.485,779.36,59.3235,283.646,744.06,78.2615,326.37,860.645
25,0,264.743,323.175,234.998,30.7995,452.102,227.363,-126.178,336.049,236.888,,,,264.346,344.041,130.74,207.464,447.356,162.685,-59.1811,456.365,160.699,-119.648,339.412,146.483,123.625,461.789,492.212,-1.80655,467.444,538.741,-98.7035,450.935,474.671,69.2262,399.899,570.169,75.9089,263.783,624.365,73.5515,188.667,499.098,23.4965,171.218,386.043,120.703,174.554,383.355,67.2499,472.975,401.011,171.005,391.839,771.178,85.0702,486.93,832.278,-6.42814,391.494,779.367,59.3425,283.656,744.09,78.2896,326.387,860.652
26,0,264.75,323.189,234.964,30.8027,452.116,227.363,-126.171,336.04,236.885,,,,264.339,344.053,130.73,207.462,447.371,162.684,-59.182,456.367,160.703,-119.646,339.404,146.484,123.639,461.824,492.23,-1.79672,467.454,538.749,-98.6868,450.935,474.678,69.2396,399.898,570.166,75.9394,263.792,624.36,73.5883,188.673,499.105,23.5205,171.23,386.021,120.73,174.569,383.296,67.2622,472.998,401.022,171.034,391.847,771.176,85.1164,486.953,832.26,-6.39754,391.511,779.374,59.3585,283.667,744.084,78.3185,326.406,860.651
27,0,264.751,323.207,234.967,30.7965,452.122,227.381,-126.157,336.031,236.893,,,,264.318,344.041,130.696,207.453,447.377,162.681,-59.1813,456.354,160.696,-119.631,339.379,146.484,123.655,461.838,492.245,-1.7817,467.47,538.775,-98.6695,450.949,474.71,69.2684,399.902,570.169,75.9656,263.794,624.362,73.6131,188.685,499.124,23.5467,171.229,386.04,120.752,174.587,383.332,67.2694,473.016,401.045,171.051,391.849,771.177,85.1569,486.968,832.265,-6.36914,391.52,779.38,59.3722,283.679,744.099,78.3435,326.422,860.655
28,0,264.754,323.203,234.96,30.8799,451.433,227.052,-126.153,336.054,236.922,,,,264.298,344.012,130.64,207.447,447.397,162.69,-59.1867,456.363,160.705,-119.624,339.352,146.473,123.662,461.858,492.247,-1.75859,467.486,538.785,-98.6531,450.951,474.718,69.2828,399.929,570.197,75.9933,263.799,624.366,73.6417,188.688,499.12,23.5768,171.25,386.015,120.783,174.594,383.343,67.2745,473.032,401.061,171.068,391.849,771.182,85.1801,486.975,832.275,-6.34649,391.529,779.385,59.3901,283.687,744.116,78.3576,326.429,860.664
29,0,264.762,323.233,234.985,30.7997,452.128,227.383,-126.142,336.055,236.931,,,,264.317,344.026,130.662,207.448,447.402,162.686,-59.1802,456.371,160.707,-119.624,339.37,146.498,123.689,461.863,492.244,-1.73084,467.488,538.784,-98.6337,450.958,474.72,69.3032,399.919,570.185,76.0248,263.805,624.372,73.6725,188.694,499.119,23.6109,171.263,385.984,120.811,174.604,383.32,67.2943,473.043,401.056,171.102,391.861,771.198,85.2192,486.977,832.284,-6.32533,391.546,779.393,59.4036,283.691,744.106,78.3747,326.434,860.659
30,0,264.758,323.201,234.97,30.9002,451.401,227.02,-126.139,336.034,236.914,,,,264.325,344.014,130.631,207.468,447.378,162.67,-59.1661,456.348,160.69,-119.621,339.364,146.498,123.718,461.848,492.24,-1.69615,467.482,538.776,-98.6079,450.945,474.72,69.3197,399.921,570.196,76.0496,263.809,624.384,73.7074,188.697,499.127,23.6439,171.265,386.008,120.839,174.606,383.339,67.3104,473.024,401.049,171.134,391.861,771.207,85.2523,486.961,832.312,-6.30343,391.548,779.417,59.4191,283.701,744.102,78.3922,326.422,860.662
