Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-3.51776,-5.69305,-619.826,-180002,12596,2289,70.3218,369.022,7.86,-1.8869,10.2737,-130.556,4574.62,-2797.12,1538.77,74.5753,749.961,-478
1,1,-2.90741,-3.862,-619.826,-180826,11405.8,3112.98,68.4016,370.352,7.86,-0.361021,7.22199,-125.673,4849.27,-3621.09,28.1506,67.1864,746.414,-478
1,2,-3.82294,-5.69305,-617.385,-178903,12596,2838.32,70.4021,368.391,7.86,-1.58172,5.39093,-129.946,4391.51,-2522.46,1676.1,76.5884,751.205,-478
1,3,-3.21258,-3.862,-618.605,-181101,12046.6,2700.99,69.4739,371.371,7.86,2.08039,6.00128,-132.387,4940.83,-4170.41,2088.09,64.4984,747.679,-478
1,4,-2.90741,-8.74481,-611.281,-180551,12229.7,2700.99,70.0068,373.98,7.86,-1.58172,5.69611,-134.828,4666.17,-8015.62,1676.1,36.5495,750.392,-478
1,5,-1.68671,-5.99823,-616.774,-182474,11772,2838.32,69.0864,374.467,7.86,-1.58172,4.17023,-132.997,4116.85,-3346.43,-109.179,70.8384,754.046,-478
1,6,-1.99188,-5.38788,-616.164,-181101,12229.7,1602.35,69.8482,372.531,7.86,0.859682,3.86505,-136.049,4483.06,-2247.8,1401.44,79.478,752.048,-478
1,7,-3.82294,-5.38788,-620.436,-181375,11955.1,2426.33,69.2688,370.95,7.86,-0.666197,1.11847,-134.218,3842.2,-3895.75,1126.78,66.9745,756.374,-478
1,8,-2.60223,-6.91376,-617.995,-180826,13694.6,2289,72.1597,371.216,7.86,-1.27655,2.94953,-137.27,4483.06,-3621.09,1401.44,69.6206,752.341,-478
1,9,-4.43329,-7.52411,-618.605,-182474,12412.8,2426.33,70.0659,373.591,7.86,-1.27655,6.00128,-132.387,4666.17,-3346.43,1401.44,70.7224,749.754,-478
2,0,-5.65399,-5.99823,-618.605,-180826,12412.8,1602.35,70.0659,370.927,7.86,-1.27655,2.64435,-132.387,4574.62,-3071.78,577.467,72.797,750.445,-478
2,1,-3.51776,-5.99823,-627.15,-180551,12229.7,2289,69.5005,366.507,7.86,-1.27655,3.86505,-131.777,4483.06,-325.194,1538.77,93.5322,750.98,-478
2,2,-3.51776,-5.99823,-617.385,-180826,13145.3,1739.68,71.2919,371.505,7.86,-0.0558454,4.4754,-131.166,5215.49,-3621.09,2362.75,68.3931,745.238,-478
2,3,-4.12811,-5.69305,-617.995,-181101,12229.7,1877.01,69.7894,371.66,7.86,-6.46454,4.4754,-132.997,4483.06,-4170.41,1538.77,64.6429,751.292,-478
2,4,-3.82294,-5.99823,-619.826,-181375,12321.3,2700.99,69.8786,371.238,7.86,-1.27655,5.39093,-131.777,4116.85,-50.536,2088.09,95.6165,753.759,-478
2,5,-4.12811,-5.99823,-618.605,-181101,11680.4,4074.28,68.8819,371.371,7.86,-0.0558454,5.39093,-129.335,4483.06,-2247.8,1813.43,78.6204,750.338,-478
2,6,-4.12811,-6.3034,-620.436,-181375,12412.8,2563.66,70.0066,370.95,7.86,-1.58172,4.78058,-130.556,4391.51,-3346.43,1401.44,70.3678,751.363,-478
2,7,-3.82294,-5.99823,-619.216,-182199,12687.5,2014.34,70.4896,372.857,7.86,-1.8869,7.52716,-130.556,5581.7,-3621.09,1401.44,68.2641,742.247,-478
2,8,-1.68671,-5.0827,-614.333,-181650,12504.4,2426.33,70.3544,374.301,7.86,-0.666197,6.91681,-132.387,4666.17,-4170.41,1950.76,64.4984,749.754,-478
2,9,-3.82294,-6.3034,-618.605,-181101,12046.6,2563.66,69.4739,371.371,7.86,-2.19208,6.61163,-131.166,4483.06,-3071.78,1264.11,72.5811,750.822,-478
3,0,-0.160826,-5.69305,-620.436,-181101,12229.7,2838.32,69.7115,370.507,7.86,3.30109,5.08576,-123.842,4757.72,-2522.46,1813.43,75.6317,746.582,-478
3,1,-5.04364,-5.69305,-612.502,-181101,12412.8,2426.33,70.2658,374.289,7.86,-1.27655,4.17023,-131.777,6039.46,-5818.36,1950.76,51.8468,739.169,-478
3,2,-3.21258,-4.47235,-617.385,-180826,11772,1465.03,69.0675,371.505,7.86,-2.49725,3.86505,-135.439,4574.62,-3071.78,577.467,73.3198,751.224,-478
3,3,-2.60223,-5.99823,-620.436,-180002,12321.3,2838.32,69.8591,368.737,7.86,-1.58172,3.55988,-134.828,4299.96,-3895.75,1264.11,67.1059,753.108,-478
3,4,1.9754,-5.69305,-619.216,-180826,11772,3112.98,69.0111,370.639,7.86,2.69074,2.034,-134.828,3659.09,-4170.41,989.454,65.0688,757.861,-478
3,5,-3.51776,-6.91376,-614.943,-180277,12321.3,91.7349,70.0365,371.775,7.86,-1.58172,2.94953,-134.828,4391.51,-5543.7,989.454,54.8833,752.429,-478
3,6,-1.68671,-5.38788,-616.774,-180551,11497.3,2563.66,68.6411,371.35,7.86,-2.19208,3.55988,-132.387,4574.62,-3346.43,1676.1,70.7224,750.445,-478
3,7,-4.73846,-6.60858,-613.723,-180551,12412.8,2289,70.2255,372.805,7.86,0.554506,5.69611,-134.828,4574.62,-3346.43,1401.44,71.1801,751.071,-478
3,8,-2.60223,-6.91376,-623.488,-184671,12046.6,3112.98,69.3214,374.805,7.86,-1.27655,4.17023,-131.166,3475.98,-2522.46,714.796,76.769,758.5,-478
3,9,-1.99188,-6.3034,-617.385,-180551,12779.1,503.722,70.6987,371.06,7.86,-2.19208,3.86505,-130.556,4391.51,-3071.78,1676.1,72.4716,751.363,-478
4,0,-3.82294,-5.99823,-619.216,-181650,12412.8,2563.66,70.0461,371.97,7.86,-0.971373,4.17023,-133.608,4757.72,-2797.12,1813.43,75.0647,749.39,-478
4,1,-6.56952,-6.60858,-618.605,-178079,12046.6,1877.01,69.4739,366.487,7.86,-2.80243,6.30646,-132.997,4483.06,-4445.07,2362.75,62.5778,751.292,-478
4,2,-3.21258,-6.60858,-620.436,-181375,12412.8,4623.6,70.0066,370.95,7.86,-1.8869,4.78058,-131.166,4757.72,-2522.46,989.454,76.769,748.728,-478
4,3,-4.73846,-6.3034,-618.605,-180551,12687.5,2151.67,70.5099,370.483,7.86,-0.666197,5.39093,-132.997,4757.72,-4170.41,1538.77,64.6429,749.227,-478
4,4,-2.60223,-2.94647,-619.216,-180551,12504.4,2426.33,70.1939,370.196,7.86,-0.0558454,6.91681,-123.232,4574.62,-2522.46,1538.77,75.5308,747.878,-478
4,5,-2.60223,-5.69305,-616.164,-176431,12779.1,2563.66,70.7397,364.953,7.86,-1.58172,5.39093,-131.166,5947.91,-5543.7,1950.76,53.7354,739.654,-478
4,6,-4.12811,-5.99823,-617.995,-180551,11955.1,3662.29,69.345,370.771,7.86,-0.361021,8.44269,-132.387,4757.72,-3621.09,1264.11,68.6477,749.062,-478
4,7,-3.51776,-6.91376,-617.995,-180002,12412.8,2426.33,70.0857,369.883,7.86,-0.971373,5.39093,-126.894,4483.06,-4445.07,1264.11,60.9702,749.671,-478
4,8,-0.466002,-5.69305,-617.995,-185220,12229.7,2838.32,69.7894,378.327,7.86,0.554506,3.55988,-133.608,4391.51,-3621.09,-795.824,68.8976,752.131,-478
4,9,-5.04364,-6.60858,-614.943,-178629,12412.8,503.722,70.1854,369.095,7.86,-0.666197,3.55988,-134.218,4666.17,-3346.43,1264.11,71.0672,750.234,-478
