Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,266.085,322.328,234.414,35.0372,455.074,224.684,-124.515,343.903,237.225,3.46428,200.014,212.828,260.488,334.72,128.376,211.252,446.417,160.336,-55.0303,461.708,159.125,-120.061,345.439,143.353,125.97,474.65,484.702,0.48852,482.322,531.482,-96.3908,465.203,467.594,69.6665,414.383,565.769,76.6515,278.938,623.199,74.0184,202.841,498.509,23.6774,182.539,386.151,120.861,184.979,383.201,70.0451,482.02,396.441,170.21,407.123,774.417,82.9383,496.563,841.925,-7.36074,405.789,779.22,59.4834,300.759,736.585,76.0948,334.348,856.299
2,0,266.092,322.32,234.414,35.0419,455.04,224.674,-124.514,343.898,237.229,3.46687,200,212.79,260.489,334.738,128.404,211.26,446.417,160.342,-55.0241,461.695,159.127,-120.047,345.408,143.324,125.962,474.623,484.715,0.479924,482.274,531.497,-96.3792,465.156,467.592,69.6554,414.329,565.78,76.6468,278.897,623.204,74.0204,202.807,498.493,23.6813,182.515,386.144,120.846,184.948,383.202,70.0456,481.974,396.448,170.202,407.08,774.437,82.9268,496.531,841.924,-7.38018,405.76,779.225,59.4593,300.719,736.593,76.0871,334.318,856.312
3,0,266.087,322.319,234.41,35.0439,455.016,224.673,-124.512,343.867,237.215,3.47002,199.987,212.803,260.435,334.939,129.01,211.267,446.43,160.372,-55.0269,461.679,159.122,-120.044,345.406,143.33,125.95,474.589,484.739,0.468154,482.227,531.52,-96.3833,465.12,467.608,69.6527,414.271,565.788,76.6455,278.845,623.18,74.011,202.769,498.499,23.673,182.469,386.159,120.846,184.927,383.206,70.0514,481.94,396.474,170.189,407.051,774.46,82.9116,496.496,841.926,-7.39432,405.726,779.224,59.4401,300.688,736.607,76.0761,334.284,856.329
4,0,266.084,322.316,234.424,35.0308,455,224.682,-124.515,343.857,237.216,3.4824,199.975,212.809,260.432,334.912,128.989,211.264,446.438,160.371,-55.0426,461.673,159.126,-120.057,345.397,143.339,125.931,474.569,484.775,0.449248,482.191,531.539,-96.3947,465.08,467.626,69.6279,414.233,565.802,76.6336,278.802,623.173,74.0061,202.723,498.51,23.6684,182.443,386.146,120.85,184.909,383.194,70.0373,481.931,396.497,170.163,407.017,774.482,82.8863,496.459,841.927,-7.41179,405.69,779.219,59.4044,300.635,736.656,76.049,334.243,856.34
5,0,266.09,322.34,234.422,35.0134,454.98,224.69,-124.522,343.841,237.214,3.48411,199.958,212.799,260.437,334.956,128.989,211.247,446.435,160.364,-55.0473,461.659,159.128,-120.068,345.365,143.332,125.906,474.543,484.792,0.436243,482.154,531.565,-96.4128,465.059,467.631,69.6175,414.165,565.815,76.6313,278.76,623.151,73.9996,202.687,498.5,23.6816,182.425,386.09,120.838,184.875,383.195,70.0233,481.926,396.523,170.126,406.964,774.492,82.8547,496.424,841.931,-7.43588,405.654,779.227,59.3778,300.608,736.652,76.0091,334.203,856.354
6,0,266.095,322.317,234.409,35.0134,454.995,224.727,-124.508,343.825,237.224,3.48237,199.948,212.771,260.434,334.969,128.975,211.255,446.455,160.383,-55.0453,461.669,159.159,-120.065,345.368,143.356,125.899,474.518,484.829,0.435501,482.119,531.584,-96.4228,465.039,467.647,69.5878,414.142,565.876,76.621,278.726,623.143,73.9927,202.661,498.5,23.6715,182.423,386.051,120.83,184.848,383.197,70.0167,481.946,396.576,170.106,406.931,774.52,82.825,496.391,841.941,-7.45833,405.615,779.23,59.3499,300.583,736.641,75.9655,334.157,856.365
7,0,266.098,322.318,234.401,35.017,454.993,224.744,-124.495,343.811,237.225,3.49027,199.933,212.786,260.432,335.011,128.973,211.259,446.473,160.406,-55.0414,461.67,159.148,-120.053,345.37,143.373,125.891,474.495,484.848,0.435587,482.091,531.601,-96.4229,465.028,467.648,69.2336,414.085,566.391,76.6051,278.692,623.132,73.9768,202.631,498.511,23.6658,182.4,386.037,120.827,184.82,383.202,70.0173,481.939,396.598,170.08,406.902,774.535,82.7953,496.348,841.957,-7.4792,405.581,779.228,59.3122,300.551,736.64,75.9224,334.107,856.362
8,0,266.108,322.323,234.4,35.0025,454.971,224.74,-124.498,343.776,237.2,3.50498,199.925,212.771,260.451,335.013,128.943,211.246,446.479,160.385,-55.0503,461.65,159.152,-120.064,345.316,143.356,125.877,474.459,484.847,0.431871,482.053,531.602,-96.4275,465.016,467.655,69.2202,414.031,566.387,76.589,278.63,623.128,73.9656,202.604,498.522,23.671,182.378,385.986,120.817,184.781,383.216,70.021,481.894,396.584,170.049,406.846,774.545,82.7522,496.289,841.974,-7.50783,405.534,779.227,59.2752,300.514,736.622,75.8732,334.062,856.362
9,0,266.112,322.297,234.375,34.999,454.949,224.738,-124.498,343.754,237.195,3.50913,199.921,212.772,260.453,335.001,128.909,211.254,446.464,160.368,-55.0513,461.624,159.152,-120.059,345.223,143.298,125.878,474.409,484.842,0.442218,482.009,531.608,-96.4256,464.985,467.642,69.2067,414,566.397,76.5778,278.596,623.128,73.9543,202.575,498.507,23.6657,182.365,385.979,120.8,184.771,383.192,70.0391,481.835,396.578,170.013,406.79,774.56,82.7088,496.232,841.986,-7.54341,405.499,779.227,59.2319,300.482,736.621,75.8197,334.011,856.362
