Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-7.17987,-4.77752,-619.826,-183847,11405.8,5722.23,68.4016,375.226,7.86,0.859682,8.13751,-129.335,3933.75,-1423.83,1813.43,84.9912,754.585,-478
1,1,-6.26434,-5.69305,-620.436,-183847,12687.5,3524.96,70.4493,374.934,7.86,0.859682,8.44269,-131.166,3842.2,-50.536,2912.06,95.6147,755.708,-478
1,2,-3.51776,-5.99823,-619.216,-183573,12596,3662.29,70.3418,375.075,7.86,1.16486,8.13751,-130.556,5123.93,-599.852,2500.08,91.4054,745.753,-478
1,3,-5.95917,-4.77752,-614.333,-184397,12596,2563.66,70.5035,378.772,7.86,1.16486,8.13751,-134.218,4208.41,-2247.8,2637.4,79.2526,753.645,-478
1,4,-7.17987,-5.69305,-618.605,-183298,12046.6,3662.29,69.4739,374.923,7.86,0.859682,9.35822,-131.166,3933.75,-599.852,1813.43,91.4268,755.009,-478
1,5,-2.60223,-5.69305,-619.826,-184671,12504.4,3662.29,70.1741,376.555,7.86,5.43732,9.66339,-123.842,4116.85,-599.852,2774.73,91.1563,751.757,-478
1,6,-6.56952,-5.99823,-610.671,-183298,12870.6,3387.63,71.0762,378.773,7.86,0.24933,11.1893,-129.335,6131.01,-3895.75,2774.73,65.8787,737.596,-478
1,7,-6.26434,-4.16717,-617.995,-184671,11772,2838.32,69.0487,377.438,7.86,0.24933,8.74786,-130.556,4299.96,-599.852,1676.1,91.4054,752.064,-478
1,8,-6.56952,-5.99823,-621.657,-183573,12870.6,3799.62,70.7037,373.91,7.86,1.77521,9.35822,-131.166,3933.75,-50.536,2500.08,95.6147,755.009,-478
1,9,-1.38153,-5.0827,-616.774,-184122,12504.4,3936.95,70.2739,377.139,7.86,3.30109,7.52716,-130.556,4025.3,-1149.17,2362.75,87.1979,754.168,-478
