Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,266.804,328,240.642,35.9962,459.963,222.736,-123.818,349.864,237.779,4.11479,205.308,220.879,265.128,331.914,131.359,212.887,448.597,160.378,-53.4372,464.024,155.712,-116.342,349.065,143.31,128.565,488.729,485.238,3.67917,500.215,532.595,-93.8542,484.129,470.008,71.859,431.417,565.485,76.074,299.736,626.276,70.2354,218.324,505.724,18.7201,196.753,394.214,115.779,195.672,392.403,72.4105,494.834,392.193,175.56,432.908,769.521,91.4149,530.919,828.883,-2.11534,435.741,779.1,61.8993,325.781,746.682,82.634,371.513,861.911
2,0,266.788,328.039,240.661,35.9873,459.993,222.736,-123.822,349.866,237.752,4.10997,205.307,220.942,265.124,331.941,131.37,212.881,448.615,160.374,-53.456,464.056,155.709,-116.34,349.066,143.303,128.572,488.741,485.227,3.69242,500.232,532.596,-93.8437,484.154,470.014,71.8759,431.396,565.453,76.0798,299.752,626.296,70.2372,218.339,505.751,18.716,196.762,394.243,115.781,195.677,392.406,72.4065,494.866,392.2,175.57,432.908,769.509,91.4413,530.943,828.872,-2.09301,435.762,779.088,61.9084,325.793,746.698,82.6477,371.531,861.904
3,0,266.789,328.079,240.661,35.9893,460.011,222.72,-123.824,349.875,237.747,4.11733,205.327,220.976,265.116,331.965,131.37,212.844,448.847,160.911,-53.4504,464.073,155.7,-116.333,349.07,143.295,128.583,488.742,485.22,3.70624,500.255,532.589,-93.8343,484.179,470.017,71.866,431.419,565.474,76.087,299.777,626.3,70.2396,218.349,505.753,18.7184,196.772,394.242,115.777,195.685,392.422,72.4176,494.858,392.204,175.593,432.904,769.494,91.4679,530.956,828.859,-2.07477,435.791,779.078,61.9138,325.812,746.688,82.6631,371.554,861.894
4,0,266.793,328.086,240.652,36.001,460.048,222.725,-123.8,349.907,237.759,4.11655,205.343,220.975,265.112,331.948,131.359,212.866,448.855,160.902,-53.4272,464.094,155.706,-116.323,349.082,143.307,128.604,488.76,485.228,3.71953,500.267,532.593,-93.8141,484.197,470.024,71.8934,431.423,565.478,76.0931,299.796,626.311,70.2549,218.366,505.768,18.7173,196.783,394.249,115.782,195.688,392.432,72.4339,494.856,392.203,175.602,432.911,769.484,91.5055,530.984,828.851,-2.04934,435.824,779.07,61.9133,325.834,746.674,82.6756,371.574,861.894
5,0,266.823,328.073,240.621,36.0105,460.061,222.708,-123.802,349.948,237.771,4.10845,205.359,221.037,265.143,331.952,131.357,212.879,448.851,160.867,-53.4066,464.084,155.652,-116.311,349.084,143.286,128.622,488.765,485.216,3.74184,500.28,532.594,-93.7965,484.212,470.028,71.9084,431.416,565.468,76.1011,299.805,626.32,70.2597,218.375,505.776,18.7126,196.792,394.263,115.775,195.705,392.427,72.4651,494.845,392.185,175.616,432.909,769.471,91.5244,531.011,828.821,-2.0253,435.856,779.064,61.9171,325.846,746.697,82.69,371.596,861.891
6,0,266.854,328.043,240.604,36.0312,460.05,222.663,-123.805,349.947,237.758,4.09991,205.357,221.162,265.197,331.932,131.332,212.9,448.853,160.846,-53.3967,464.043,155.595,-116.318,349.1,143.296,128.645,488.757,485.206,3.76661,500.293,532.603,-93.7767,484.22,470.033,71.9076,431.4,565.466,76.1033,299.817,626.332,70.2613,218.383,505.804,18.71,196.803,394.274,115.775,195.726,392.416,72.4995,494.814,392.168,175.632,432.911,769.457,91.5542,531.036,828.785,-2.00844,435.882,779.058,61.9362,325.867,746.694,82.7109,371.621,861.893
7,0,266.876,328.031,240.612,36.0454,460.061,222.646,-123.787,349.99,237.779,4.10648,205.391,221.141,265.231,331.909,131.338,212.915,448.858,160.84,-53.3679,464.038,155.564,-116.612,349.407,143.786,128.668,488.763,485.215,3.79214,500.297,532.621,-93.7571,484.228,470.048,71.9296,431.409,565.469,76.116,299.825,626.325,70.2718,218.39,505.803,18.7158,196.811,394.263,115.786,195.739,392.41,72.5343,494.799,392.169,175.661,432.919,769.445,91.5905,531.062,828.756,-1.98353,435.907,779.059,61.9568,325.9,746.675,82.7361,371.651,861.891
8,0,266.883,328.04,240.601,36.0469,460.089,222.638,-123.785,350.012,237.775,4.07887,205.4,221.198,265.254,331.909,131.352,212.928,448.873,160.825,-53.3609,464.029,155.542,-116.297,349.109,143.305,128.686,488.768,485.221,3.8182,500.315,532.637,-93.7321,484.247,470.062,71.9479,431.406,565.473,76.1236,299.828,626.32,70.275,218.389,505.809,18.7115,196.818,394.274,115.783,195.754,392.395,72.5483,494.816,392.183,175.678,432.932,769.431,91.6178,531.091,828.724,-1.95277,435.929,779.061,61.9676,325.914,746.675,82.7555,371.679,861.89
9,0,266.867,328.048,240.597,36.0336,460.115,222.625,-123.786,350.028,237.779,4.07373,205.408,221.309,265.242,331.944,131.355,212.921,448.863,160.793,-53.3736,464.041,155.519,-116.297,349.104,143.318,128.694,488.779,485.228,3.83347,500.328,532.657,-93.7237,484.277,470.079,71.9573,431.379,565.458,76.1346,299.835,626.316,70.2792,218.399,505.83,18.7114,196.833,394.257,115.779,195.767,392.388,72.5625,494.823,392.197,175.703,432.938,769.415,91.6275,531.119,828.702,-1.9315,435.957,779.059,61.9915,325.938,746.683,82.7711,371.708,861.897
10,0,266.854,328.094,240.617,36.0136,460.186,222.643,-123.783,350.019,237.756,4.06549,205.419,221.327,265.198,331.967,131.367,212.923,448.879,160.772,-53.39,464.091,155.53,-116.306,349.118,143.322,128.706,488.788,485.236,3.85641,500.353,532.678,-93.7074,484.303,470.093,71.9652,431.389,565.479,76.1368,299.844,626.327,70.2757,218.401,505.821,18.6991,196.841,394.281,115.778,195.788,392.365,72.5587,494.861,392.213,175.721,432.958,769.402,91.6314,531.148,828.681,-1.91052,435.983,779.058,62.0112,325.959,746.679,82.7929,371.745,861.902
11,0,266.842,328.136,240.632,36.0033,460.256,222.657,-123.775,350.049,237.773,4.05825,205.434,221.366,265.16,331.99,131.352,212.927,448.916,160.785,-53.4057,464.107,155.534,-116.302,349.121,143.318,128.717,488.806,485.249,3.8783,500.376,532.693,-93.694,484.341,470.112,71.9886,431.382,565.474,76.1437,299.853,626.321,70.2728,218.406,505.839,18.6913,196.855,394.265,115.759,195.792,392.361,72.5702,494.884,392.233,175.739,432.97,769.394,91.6428,531.175,828.666,-1.89178,436.006,779.062,62.0343,325.988,746.645,82.8109,371.773,861.903
12,0,266.839,328.18,240.644,35.9976,460.286,222.637,-123.774,350.067,237.77,4.05518,205.448,221.384,265.148,331.991,131.345,212.925,448.919,160.739,-53.4033,464.123,155.519,-116.291,349.122,143.317,128.739,488.819,485.263,3.90606,500.397,532.706,-93.6802,484.366,470.118,72.0209,431.37,565.467,76.1497,299.862,626.338,70.2742,218.412,505.864,18.6939,196.87,394.279,115.767,195.806,392.364,72.5851,494.888,392.242,175.753,432.981,769.383,91.6578,531.198,828.656,-1.87344,436.021,779.069,62.0515,326.011,746.635,82.8337,371.804,861.912
13,0,266.859,328.123,240.605,35.9988,460.291,222.598,-123.778,350.051,237.74,4.042,205.453,221.51,265.169,331.986,131.342,212.934,448.92,160.723,-53.3932,464.092,155.47,-116.297,349.13,143.304,128.763,488.809,485.254,3.92986,500.409,532.715,-93.6551,484.374,470.132,72.0269,431.367,565.465,76.1667,299.867,626.335,70.2768,218.419,505.886,18.6852,196.868,394.29,115.757,195.813,392.384,72.623,494.847,392.229,175.781,432.996,769.377,91.6746,531.204,828.643,-1.85882,436.037,779.067,62.0795,326.024,746.634,82.8581,371.817,861.911
14,0,266.893,328.116,240.599,36.0216,460.305,222.571,-123.776,350.089,237.764,4.03775,205.479,221.507,265.22,331.969,131.349,212.947,448.918,160.688,-53.3744,464.075,155.431,-116.302,349.146,143.31,128.789,488.799,485.25,3.96014,500.419,532.716,-93.6345,484.372,470.132,72.0235,431.375,565.489,76.1763,299.876,626.335,70.284,218.422,505.888,18.6866,196.869,394.295,115.758,195.822,392.355,72.6543,494.839,392.226,175.808,433.001,769.372,91.6985,531.207,828.631,-1.83832,436.047,779.069,62.0977,326.033,746.627,82.8847,371.824,861.905
